title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Barilla Collezione Tortellini Prosciutto & Formaggi (cheese and ham),/en/food/ready-made-meals/conserved-ready-made-meals/ravioli-pastagerichte/barilla-collezione-tortellini-prosciutto-formaggi-cheese-and-ham/p/4310242,250g,4.5,4.3,,,ready-made-meals,conserved-ready-made-meals,ravioli-pastagerichte
Ben's Original Chili con Carne,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/ben-s-original-chili-con-carne/p/5769611,250g,2.0,3.6,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Ben's Original Express Indian Rice,/en/food/ready-made-meals/conserved-ready-made-meals/rice-dishes/ben-s-original-express-indian-rice/p/3386509,250g,4.0,2.95,,,ready-made-meals,conserved-ready-made-meals,rice-dishes
Ben's Original Express Italian Rice with Mascarpone,/en/food/ready-made-meals/conserved-ready-made-meals/rice-dishes/ben-s-original-express-italian-rice-with-mascarpone/p/3891836,250g,5.0,2.95,,,ready-made-meals,conserved-ready-made-meals,rice-dishes
Ben's Original Express Mexican Rice,/en/food/ready-made-meals/conserved-ready-made-meals/rice-dishes/ben-s-original-express-mexican-rice/p/3447598,250g,4.5,2.7,,,ready-made-meals,conserved-ready-made-meals,rice-dishes
Ben's Original Express Paella Rice,/en/food/ready-made-meals/conserved-ready-made-meals/rice-dishes/ben-s-original-express-paella-rice/p/6081975,250g,3.5,3.6,,,ready-made-meals,conserved-ready-made-meals,rice-dishes
Ben's Original Express Reis Mediterran,/en/food/ready-made-meals/conserved-ready-made-meals/rice-dishes/ben-s-original-express-reis-mediterran/p/3386510,250g,4.5,2.7,,,ready-made-meals,conserved-ready-made-meals,rice-dishes
Ben's Original Express Risi Bisi Rice,/en/food/ready-made-meals/conserved-ready-made-meals/rice-dishes/ben-s-original-express-risi-bisi-rice/p/3447690,250g,4.0,2.95,,,ready-made-meals,conserved-ready-made-meals,rice-dishes
Betty Bossi Asia Dehydrated Soup 4 Portions,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/betty-bossi-asia-dehydrated-soup-4-portions/p/6376915,85g,3.0,2.2,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Betty Bossi Chili con Carne,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/betty-bossi-chili-con-carne/p/6384380,330g,5.0,5.45,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Betty Bossi Instant Soup Pho 4Prt,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/betty-bossi-instant-soup-pho-4prt/p/6376934,68g,3.0,2.4,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Betty Bossi Koftas & Couscous,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/betty-bossi-koftas-couscous/p/6756041,400g,3.5,6.5,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Betty Bossi Meatballs with Chicken & Sauce,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/betty-bossi-meatballs-with-chicken-sauce/p/6388092,330g,5.0,4.95,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Betty Bossi Ramen Noodles,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/betty-bossi-ramen-noodles/p/6801419,400g,1.5,4.95,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Canned Bolognese Ravioli,/en/food/ready-made-meals/conserved-ready-made-meals/ravioli-pastagerichte/canned-bolognese-ravioli/p/3020315,870g,4.5,4.2,,,ready-made-meals,conserved-ready-made-meals,ravioli-pastagerichte
Canned Chili con Carne,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/canned-chili-con-carne/p/3020941,430g,4.0,3.2,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Canned Neapolitan Ravioli,/en/food/ready-made-meals/conserved-ready-made-meals/ravioli-pastagerichte/canned-neapolitan-ravioli/p/3020314,1.17kg,4.0,4.2,,,ready-made-meals,conserved-ready-made-meals,ravioli-pastagerichte
