title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Avocado piece,/en/food/fruit-vegetables/salad-vegetables/avocadoes/avocado-piece/p/6869110,1PCE,3.0,1.55,,,fruit-vegetables,salad-vegetables,avocadoes
Beef Tomatoes 5 Pieces ca. 1kg,/en/food/fruit-vegetables/salad-vegetables/tomatoes/beef-tomatoes-5-pieces-ca/p/3090893,1kg,4.5,3.95,,,fruit-vegetables,salad-vegetables,tomatoes
Cherry Tomatoes on the Vine ca. 500g,/en/food/fruit-vegetables/salad-vegetables/tomatoes/cherry-tomatoes-on-the-vine-ca/p/3090581,500g,4.5,3.2,,,fruit-vegetables,salad-vegetables,tomatoes
Cherry Tomato Mix ca. 750g,/en/food/fruit-vegetables/salad-vegetables/tomatoes/cherry-tomato-mix-ca/p/3488949,750g,4.5,6.95,,,fruit-vegetables,salad-vegetables,tomatoes
Cucumber 1 Piece,/en/food/fruit-vegetables/salad-vegetables/cucumbers/cucumber-1-piece/p/3090897,1PCE,4.5,1.35,,,fruit-vegetables,salad-vegetables,cucumbers
Fragolino Tomatoes,/en/food/fruit-vegetables/salad-vegetables/tomatoes/fragolino-tomatoes/p/3819149,250g,4.5,3.95,,,fruit-vegetables,salad-vegetables,tomatoes
Naturaplan Bio Adora Tomatoes 300g,/en/food/fruit-vegetables/salad-vegetables/tomatoes/naturaplan-bio-adora-tomatoes/p/6383565,300g,4.5,3.95,,,fruit-vegetables,salad-vegetables,tomatoes
Naturaplan Bio Tomaten Cabomar ca. 500g,/en/food/fruit-vegetables/salad-vegetables/tomatoes/naturaplan-bio-tomaten-cabomar-ca/p/6571275,500g,4.5,3.0,,,fruit-vegetables,salad-vegetables,tomatoes
Naturaplan Organic Assorted Cherry Tomatoes,/en/food/fruit-vegetables/salad-vegetables/tomatoes/naturaplan-organic-assorted-cherry-tomatoes/p/5876441,350g,4.0,4.2,,,fruit-vegetables,salad-vegetables,tomatoes
Naturaplan Organic Avocado 1 Piece,/en/food/fruit-vegetables/salad-vegetables/avocadoes/naturaplan-organic-avocado-1-piece/p/3465933,1PCE,4.0,1.95,,,fruit-vegetables,salad-vegetables,avocadoes
Naturaplan Organic Coloured Bell Peppers,/en/food/fruit-vegetables/salad-vegetables/peppers/naturaplan-organic-coloured-bell-peppers/p/3853853,500g,4.5,2.95,,,fruit-vegetables,salad-vegetables,peppers
Naturaplan Organic Cucumber 1 Piece,/en/food/fruit-vegetables/salad-vegetables/cucumbers/naturaplan-organic-cucumber-1-piece/p/3091105,1PCE,4.5,1.7,,,fruit-vegetables,salad-vegetables,cucumbers
Naturaplan Organic Datterino Cherry Tomatoes ca. 350g,/en/food/fruit-vegetables/salad-vegetables/tomatoes/naturaplan-organic-datterino-cherry-tomatoes-ca/p/4952771,350g,4.5,2.2,2.6,Special offer,fruit-vegetables,salad-vegetables,tomatoes
Naturaplan Organic Radish 1 Bunch,/en/food/fruit-vegetables/salad-vegetables/radishes/naturaplan-organic-radish-1-bunch/p/3091038,150g,4.5,2.95,,,fruit-vegetables,salad-vegetables,radishes
Naturaplan Organic Tomatoes on the Vine ca. 600g,/en/food/fruit-vegetables/salad-vegetables/tomatoes/naturaplan-organic-tomatoes-on-the-vine-ca/p/5683617,600g,4.0,2.95,,,fruit-vegetables,salad-vegetables,tomatoes
Naturaplan Organic White Radishes 1 Piece 1PCE,/en/food/fruit-vegetables/salad-vegetables/radishes/naturaplan-organic-white-radishes-1-piece/p/3090590,1PCE,4.0,3.6,,,fruit-vegetables,salad-vegetables,radishes
Padron Peperoni 250g,/en/food/fruit-vegetables/salad-vegetables/peppers/padron-peperoni/p/3435787,250g,5.0,2.25,,,fruit-vegetables,salad-vegetables,peppers
