title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Acqua Panna natural mineral water with glass 4x  75cl,/en/food/drinks/mineral-water/still/acqua-panna-natural-mineral-water-with-glass/p/6718852,4x 75cl,5.0,8.8,,,drinks,mineral-water,still
Appenzeller Flauder Carbonated Water Elder Blossom 6x  50cl,/en/food/drinks/mineral-water/flavoured/appenzeller-flauder-carbonated-water-elder-blossom/p/3533317,6x 50cl,5.0,7.5,,,drinks,mineral-water,flavoured
Badoit Natural Mineral Water 6x1l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/badoit-natural-mineral-water-6x1l/p/3673391,6l,5.0,5.7,,,drinks,mineral-water,multipacks-more-than-1-liter
Contrex Natural Mineral Water 2x  300cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/contrex-natural-mineral-water/p/3541098,2x 300cl,5.0,10.8,,,drinks,mineral-water,multipacks-under-1-liter
Contrex Non Carbonated Natural Mineral Water 6x1.5l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/contrex-non-carbonated-natural-mineral-water-6x15l/p/3050520,9l,5.0,7.2,,,drinks,mineral-water,multipacks-more-than-1-liter
Eptinger Carbonated Mineral Water 6x150cl,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/eptinger-carbonated-mineral-water-6x150cl/p/3276832,9l,5.0,4.95,,,drinks,mineral-water,multipacks-more-than-1-liter
Evian + Grapefruit Basil 6x33cl,/en/food/drinks/mineral-water/flavoured/evian--grapefruit-basil-6x33cl/p/6741391,198cl,3.5,10.5,,,drinks,mineral-water,flavoured
Evian + Lime Ginger 6x33cl,/en/food/drinks/mineral-water/flavoured/evian--lime-ginger-6x33cl/p/6741393,198cl,3.0,10.5,,,drinks,mineral-water,flavoured
Evian 24x50cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/evian-24x50cl/p/6741404,1200cl,3.0,12.95,22.8,43%,drinks,mineral-water,multipacks-under-1-liter
evian Natural Mineral Water with Glass 4x  75cl,/en/food/drinks/mineral-water/still/evian-natural-mineral-water-with-glass/p/4071354,4x 75cl,4.5,7.8,,,drinks,mineral-water,still
evian Non Carbonated Mineral Water 6x1.5l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/evian-non-carbonated-mineral-water-6x15l/p/3050447,9l,5.0,5.95,,,drinks,mineral-water,multipacks-more-than-1-liter
evian Non Carbonated Mineral Water 6x1l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/evian-non-carbonated-mineral-water-6x1l/p/3465973,6l,5.0,5.7,,,drinks,mineral-water,multipacks-more-than-1-liter
evian Non Carbonated Mineral Water 6x50cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/evian-non-carbonated-mineral-water-6x50cl/p/3050537,300cl,4.5,5.2,,,drinks,mineral-water,multipacks-under-1-liter
evian Non Carbonated Mineral Water 6x75cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/evian-non-carbonated-mineral-water-6x75cl/p/4095248,450cl,5.0,5.8,,,drinks,mineral-water,multipacks-under-1-liter
evian Non Carbonated Mineral Water Junior Sports Bottle 12x33cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/evian-non-carbonated-mineral-water-junior-sports-bottle-12x33cl/p/3715699,396cl,4.5,8.75,,,drinks,mineral-water,multipacks-under-1-liter
Evian Plus Raspberry Ginseng 6x33cl,/en/food/drinks/mineral-water/flavoured/evian-plus-raspberry-ginseng-6x33cl/p/6741395,198cl,2.5,10.5,,,drinks,mineral-water,flavoured
FREE – Sanpellegrino Aranciata,/en/food/drinks/mineral-water/sparkling/free--sanpellegrino-aranciata/p/6666150,33cl,4.5,0.0,,Free,drinks,mineral-water,sparkling
Henniez Blue Non Carbonated Mineral Water 6x1.5l,/en/food/drinks/mineral-water/still/henniez-blue-non-carbonated-mineral-water-6x15l/p/3715023,9l,5.0,5.7,,,drinks,mineral-water,still
Henniez Carbonated Mineral Water 6x1.5l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/henniez-carbonated-mineral-water-6x15l/p/3051048,9l,4.5,5.7,,,drinks,mineral-water,multipacks-more-than-1-liter
Henniez Lightly Carbonated Mango Yuzu Mineral Water 6x50cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/henniez-lightly-carbonated-mango-yuzu-mineral-water-6x50cl/p/3541716,300cl,4.0,8.4,,,drinks,mineral-water,multipacks-under-1-liter
Henniez Slightly Carbonated Mineral Water 6x1.5l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/henniez-slightly-carbonated-mineral-water-6x15l/p/3050819,9l,4.5,5.7,,,drinks,mineral-water,multipacks-more-than-1-liter
Henniez Slightly Carbonated Mineral Water 6x50cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/henniez-slightly-carbonated-mineral-water-6x50cl/p/3050877,300cl,4.5,4.95,,,drinks,mineral-water,multipacks-under-1-liter
Knutwiler Blue Carbonated Mineral Water 6x1.5l,/en/food/drinks/mineral-water/sparkling/knutwiler-blue-carbonated-mineral-water-6x15l/p/3650245,9l,4.5,6.6,,,drinks,mineral-water,sparkling
Knutwiler Green Natural Mineral Water 6x1.5l,/en/food/drinks/mineral-water/still/knutwiler-green-natural-mineral-water-6x15l/p/4090466,9l,5.0,6.6,,,drinks,mineral-water,still
Knutwiler Redline Raspberry Lemon Balm Mineral Water 6x1.5l,/en/food/drinks/mineral-water/flavoured/knutwiler-redline-raspberry-lemon-balm-mineral-water-6x15l/p/4828485,9l,4.5,10.8,,,drinks,mineral-water,flavoured
Knutwiler Schnitz Water 6x1.5l,/en/food/drinks/mineral-water/flavoured/knutwiler-schnitz-water-6x15l/p/4828468,9l,5.0,10.8,,,drinks,mineral-water,flavoured
Naturaplan Organic Mint Mineral Water 6x1l,/en/food/drinks/mineral-water/flavoured/naturaplan-organic-mint-mineral-water-6x1l/p/6556746,6l,1.0,8.95,,25% on 2 or more,drinks,mineral-water,flavoured
Naturaplan Organic Mint Water 6x50cl,/en/food/drinks/mineral-water/flavoured/naturaplan-organic-mint-water-6x50cl/p/6326302,300cl,3.0,5.95,,,drinks,mineral-water,flavoured
Naturaplan Organic Schnitzwasser 6x1l,/en/food/drinks/mineral-water/flavoured/naturaplan-organic-schnitzwasser-6x1l/p/6326091,6l,5.0,8.95,,25% on 2 or more,drinks,mineral-water,flavoured
Naturaplan Organic Schnitzwasser 6x50cl,/en/food/drinks/mineral-water/flavoured/naturaplan-organic-schnitzwasser-6x50cl/p/6086628,300cl,5.0,5.95,,,drinks,mineral-water,flavoured
Perrier 6x50cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/perrier-6x50cl/p/6584467,300cl,4.5,6.0,,,drinks,mineral-water,multipacks-under-1-liter
Perrier Mineral Water 6x1l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/perrier-mineral-water-6x1l/p/6584469,6l,5.0,7.2,,,drinks,mineral-water,multipacks-more-than-1-liter
Prix Garantie Carbonated Mineral Water 6x1.5l,/en/food/drinks/mineral-water/sparkling/prix-garantie-carbonated-mineral-water-6x15l/p/3461198,9l,4.0,1.45,,,drinks,mineral-water,sparkling
Prix Garantie Natural Mineral Water 6x1.5l,/en/food/drinks/mineral-water/still/prix-garantie-natural-mineral-water-6x15l/p/3461291,9l,4.0,1.45,,,drinks,mineral-water,still
Rhäzünser Sparkling Mineral Water 6 x 1.5 l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/rhaezuenser-sparkling-mineral-water-6-x-15-l/p/3430492,9l,5.0,6.9,,,drinks,mineral-water,multipacks-more-than-1-liter
San Pellegrino Carbonated Mineral Water 12 x 50cl 2x  300cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/san-pellegrino-carbonated-mineral-water-12-x-50cl/p/3050688,2x 300cl,5.0,11.4,,,drinks,mineral-water,multipacks-under-1-liter
San Pellegrino Carbonated Mineral Water 4x  75cl,/en/food/drinks/mineral-water/sparkling/san-pellegrino-carbonated-mineral-water/p/6590149,4x 75cl,4.5,9.0,,,drinks,mineral-water,sparkling
San Pellegrino Carbonated Mineral Water 6x1.25l,/en/food/drinks/mineral-water/multipacks-more-than-1-liter/san-pellegrino-carbonated-mineral-water-6x125l/p/5897142,7.5l,5.0,6.3,,,drinks,mineral-water,multipacks-more-than-1-liter
Swiss Alpina+ Elderberry Carbonated Mineral Water 6x50cl,/en/food/drinks/mineral-water/multipacks-under-1-liter/swiss-alpina-elderberry-carbonated-mineral-water-6x50cl/p/6584989,300cl,0.0,5.7,,,drinks,mineral-water,multipacks-under-1-liter
Swiss Alpina+ Elderflower Mineral Water 6x1l,/en/food/drinks/mineral-water/flavoured/swiss-alpina-elderflower-mineral-water-6x1l/p/6585104,6l,4.0,7.8,,,drinks,mineral-water,flavoured
Swiss Alpina+ Green Apple 6x50cl,/en/food/drinks/mineral-water/flavoured/swiss-alpina-green-apple-6x50cl/p/6696959,300cl,5.0,5.7,,,drinks,mineral-water,flavoured
Swiss Alpina+ Passion Fruit 6x50cl,/en/food/drinks/mineral-water/flavoured/swiss-alpina-passion-fruit-6x50cl/p/6696961,300cl,4.0,5.7,,,drinks,mineral-water,flavoured
Swiss Alpina+ Raspberry Mineral Water 6x1l,/en/inspiration-gifts/specific-diets/vegan/beverages/swiss-alpina-raspberry-mineral-water-6x1l/p/6585101,6l,4.5,7.8,,,specific-diets,vegan,beverages
