title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
4-egg Spaetzle,/en/food/inventories/staples/pasta/noodles/4-egg-spaetzle/p/6769964,500g,0.0,2.7,,,inventories,staples,pasta
Arborio Risotto Rice,/en/food/inventories/staples/rice/risotto-vialone/arborio-risotto-rice/p/4438397,1000g,4.5,3.7,,,inventories,staples,rice
Assugrin Classic Sweetener 300 per Dispenser,/en/food/inventories/staples/flour-sugar/sweeteners/assugrin-classic-sweetener-300-per-dispenser/p/3031973,300PCE,4.0,3.95,,,inventories,staples,flour-sugar
Assugrin Classic Sweetener Refill Tablets,/en/food/inventories/staples/flour-sugar/sweeteners/assugrin-classic-sweetener-refill-tablets/p/3032342,600PCE,4.5,6.4,,,inventories,staples,flour-sugar
Assugrin Liquid Sweetener,/en/food/inventories/staples/flour-sugar/sweeteners/assugrin-liquid-sweetener/p/3452258,200ml,4.5,6.8,,,inventories,staples,flour-sugar
Baktat Roasted Salted Sunflower Seeds,/en/food/inventories/staples/grains-corn-semolina/seeds/baktat-roasted-salted-sunflower-seeds/p/4830133,150g,2.5,2.25,,,inventories,staples,grains-corn-semolina
Barilla Albronzo Linguine,/en/food/inventories/staples/pasta/spaghetti/barilla-albronzo-linguine/p/6860673,400g,0.0,3.2,,,inventories,staples,pasta
Barilla Albronzo Mezzi Rigatoni,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-albronzo-mezzi-rigatoni/p/6860675,400g,0.0,3.2,,,inventories,staples,pasta
Barilla Albronzo Spaghettoni,/en/food/inventories/staples/pasta/spaghetti/barilla-albronzo-spaghettoni/p/6860672,400g,5.0,3.2,,,inventories,staples,pasta
Barilla Bavette No. 13,/en/food/inventories/staples/pasta/noodles/barilla-bavette-no-13/p/3032228,500g,4.5,2.5,,,inventories,staples,pasta
Barilla Bucatini Nr. 9,/en/food/inventories/staples/pasta/spaghetti/barilla-bucatini-nr-9/p/3030674,500g,5.0,2.5,,,inventories,staples,pasta
Barilla Capellini Nr. 1,/en/food/inventories/staples/pasta/noodles/barilla-capellini-nr-1/p/3032077,500g,5.0,2.5,,,inventories,staples,pasta
Barilla Casarecce chickpeas,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-casarecce-chickpeas/p/6354543,250g,4.0,4.5,,,inventories,staples,pasta
Barilla Collezione Cannelloni n. 88,/en/food/inventories/staples/pasta/lasagna-sheets/barilla-collezione-cannelloni-n-88/p/3032107,250g,4.5,2.6,,,inventories,staples,pasta
Barilla Collezione Casarecce n. 87,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-collezione-casarecce-n-87/p/6724266,500g,5.0,2.8,,,inventories,staples,pasta
Barilla Collezione Castellane n. 280,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-collezione-castellane-n-280/p/3550655,500g,5.0,2.8,,,inventories,staples,pasta
Barilla Collezione Farfalle,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-collezione-farfalle/p/6860386,500g,0.0,2.5,,,inventories,staples,pasta
Barilla Collezione Fetuccine n. 166,/en/food/inventories/staples/pasta/noodles/barilla-collezione-fetuccine-n-166/p/3700358,500g,4.5,4.1,,,inventories,staples,pasta
Barilla Collezione Fusilli Bucati Corti n. 145,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-collezione-fusilli-bucati-corti-n-145/p/6724263,500g,4.0,2.8,,,inventories,staples,pasta
Barilla Collezione Lasagne green with spinach n. 200,/en/food/inventories/staples/pasta/lasagna-sheets/barilla-collezione-lasagne-green-with-spinach-n-200/p/3700500,500g,5.0,4.1,,,inventories,staples,pasta
Barilla Collezione Lasagne n. 189,/en/food/inventories/staples/pasta/lasagna-sheets/barilla-collezione-lasagne-n-189/p/3700499,500g,5.0,4.1,,,inventories,staples,pasta
Barilla Collezione Mezze Penne Tricolore n. 170,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-collezione-mezze-penne-tricolore-n-170/p/4219912,500g,5.0,3.2,,,inventories,staples,pasta
Barilla Collezione Orecchiette n. 56,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-collezione-orecchiette-n-56/p/3550656,500g,5.0,2.8,,,inventories,staples,pasta
Barilla Collezione Papiri,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-collezione-papiri/p/6756918,450g,5.0,2.8,,,inventories,staples,pasta
Barilla Collezione Tagliatelle green with spinach n. 167,/en/food/inventories/staples/pasta/noodles/barilla-collezione-tagliatelle-green-with-spinach-n-167/p/3700502,500g,5.0,4.1,,,inventories,staples,pasta
Barilla Collezione Tagliatelle n.16,/en/food/inventories/staples/pasta/noodles/barilla-collezione-tagliatelle-n16/p/3700501,500g,5.0,4.1,,,inventories,staples,pasta
Barilla Collezione Tortellini Prosciutto & Formaggi (cheese and ham),/en/food/ready-made-meals/conserved-ready-made-meals/ravioli-pastagerichte/barilla-collezione-tortellini-prosciutto-formaggi-cheese-and-ham/p/4310242,250g,4.5,4.3,,,ready-made-meals,conserved-ready-made-meals,ravioli-pastagerichte
Barilla Collezione Trofie n. 296,/en/food/inventories/staples/pasta/spirals-macaroni/barilla-collezione-trofie-n-296/p/4219939,500g,5.0,2.8,,,inventories,staples,pasta
Barilla Coquillettes glutenfree,/en/food/inventories/staples/pasta/spirals-macaroni/barilla-coquillettes-glutenfree/p/4798836,400g,4.5,3.5,,,inventories,staples,pasta
Barilla Emiliane Fettuccine Ricce,/en/food/inventories/staples/pasta/noodles/barilla-emiliane-fettuccine-ricce/p/4902339,250g,5.0,3.4,,,inventories,staples,pasta
Barilla Emiliane Tagliatelle,/en/food/inventories/staples/pasta/noodles/barilla-emiliane-tagliatelle/p/4458356,500g,5.0,4.85,,,inventories,staples,pasta
Barilla Fusilli 1kg,/en/food/inventories/staples/pasta/spirals-macaroni/barilla-fusilli-1kg/p/3874986,1000g,0.0,3.4,,,inventories,staples,pasta
Barilla Fusilli glutenfree,/en/food/inventories/staples/pasta/spirals-macaroni/barilla-fusilli-glutenfree/p/4798852,400g,5.0,3.5,,,inventories,staples,pasta
Barilla Fusilli No. 98 6x  500g,/en/food/inventories/staples/pasta/spirals-macaroni/barilla-fusilli-no-98/p/3032225,6x 500g,4.5,7.5,15.0,50%,inventories,staples,pasta
Barilla Fusilli red lentils,/en/food/inventories/staples/pasta/spirals-macaroni/barilla-fusilli-red-lentils/p/6354542,250g,4.0,4.5,,,inventories,staples,pasta
Barilla Gnocchi,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-gnocchi/p/3031315,500g,5.0,2.5,,,inventories,staples,pasta
Barilla Integrale Farfalle (whole wheat),/en/food/inventories/staples/pasta/wholegrain-pasta-products/barilla-integrale-farfalle-whole-wheat/p/3851767,500g,5.0,3.2,,,inventories,staples,pasta
Barilla Integrale Fusilli,/en/food/inventories/staples/pasta/wholegrain-pasta-products/barilla-integrale-fusilli/p/3587475,500g,5.0,3.2,,,inventories,staples,pasta
Barilla Integrale Linguine (whole wheat),/en/food/inventories/staples/pasta/wholegrain-pasta-products/barilla-integrale-linguine-whole-wheat/p/6696600,500g,5.0,3.2,,,inventories,staples,pasta
Barilla Integrale Penne Rigate (whole wheat),/en/food/inventories/staples/pasta/wholegrain-pasta-products/barilla-integrale-penne-rigate-whole-wheat/p/3587474,500g,5.0,3.2,,,inventories,staples,pasta
Barilla Integrale Spaghetti,/en/food/inventories/staples/pasta/wholegrain-pasta-products/barilla-integrale-spaghetti/p/3587476,500g,5.0,3.2,,,inventories,staples,pasta
Barilla Integrale Tortiglioni (whole wheat),/en/food/inventories/staples/pasta/wholegrain-pasta-products/barilla-integrale-tortiglioni-whole-wheat/p/6696597,500g,3.5,3.2,,,inventories,staples,pasta
Barilla Lasagne glutenfree,/en/food/inventories/staples/pasta/lasagna-sheets/barilla-lasagne-glutenfree/p/6444416,250g,4.5,3.5,,,inventories,staples,pasta
Barilla Maccheroni Nr. 44,/en/food/inventories/staples/pasta/spirals-macaroni/barilla-maccheroni-nr-44/p/3030672,500g,4.5,2.5,,,inventories,staples,pasta
Barilla Penne Lisce,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-penne-lisce/p/3032223,500g,4.5,2.5,,,inventories,staples,pasta
Barilla Penne Rigate 1kg,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-penne-rigate-1kg/p/3874987,1000g,5.0,3.4,,,inventories,staples,pasta
Barilla Penne Rigate glutenfree,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-penne-rigate-glutenfree/p/4798850,400g,4.5,3.5,,,inventories,staples,pasta
Barilla Penne Rigate No. 73 6x  500g,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-penne-rigate-no-73/p/3032227,6x 500g,4.5,7.5,15.0,50%,inventories,staples,pasta
Barilla Pipe Rigate,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-pipe-rigate/p/3032224,500g,0.0,2.5,,,inventories,staples,pasta
Barilla Rigatoni,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-rigatoni/p/3030673,500g,4.5,2.5,,,inventories,staples,pasta
Barilla Risoni,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-risoni/p/4094851,0.5kg,5.0,2.5,,,inventories,staples,pasta
"Barilla Risoni Rote Linsen, Kichererbsen und Erbsen",/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-risoni-rote-linsen-kichererbsen-und-erbsen/p/6696625,300g,4.5,4.5,,,inventories,staples,pasta
Barilla Risoni Rote Linsen und Kichererbsen,/en/food/inventories/staples/pasta/shaped-pasta-products/barilla-risoni-rote-linsen-und-kichererbsen/p/6696629,300g,4.5,4.5,,,inventories,staples,pasta
Barilla Spaghetti glutenfree,/en/food/inventories/staples/pasta/spaghetti/barilla-spaghetti-glutenfree/p/4798854,400g,5.0,3.5,,,inventories,staples,pasta
Barilla Spaghettini No. 3,/en/food/inventories/staples/pasta/spaghetti/barilla-spaghettini-no-3/p/3032602,500g,4.5,2.5,,,inventories,staples,pasta
Barilla Spaghetti No. 5,/en/food/inventories/staples/pasta/spaghetti/barilla-spaghetti-no-5/p/3033241,1kg,5.0,3.4,,,inventories,staples,pasta
Barilla Spaghetti No. 5 6x  500g,/en/food/inventories/staples/pasta/spaghetti/barilla-spaghetti-no-5/p/3032108,6x 500g,5.0,7.5,15.0,50%,inventories,staples,pasta
Barilla Spaghetti Pasta no. 5 6x500g,/en/food/inventories/staples/pasta/spaghetti/barilla-spaghetti-pasta-no-5-6x500g/p/6354693,3000g,0.0,7.5,15.0,50%,inventories,staples,pasta
Barilla Spaghetti red lentils,/en/food/inventories/staples/pasta/spaghetti/barilla-spaghetti-red-lentils/p/6499642,250g,5.0,4.5,,,inventories,staples,pasta
Barilla Spaghettoni No. 7 6x  500g,/en/food/inventories/staples/pasta/spaghetti/barilla-spaghettoni-no-7/p/3032109,6x 500g,5.0,7.5,15.0,50%,inventories,staples,pasta
"Barilla Spaghettoni Nr. 7, 1kg",/en/food/inventories/staples/pasta/spaghetti/barilla-spaghettoni-nr-7-1kg/p/4940251,1000g,0.0,3.4,,,inventories,staples,pasta
Barilla Tagliatelle glutenfree,/en/food/inventories/staples/pasta/noodles/barilla-tagliatelle-glutenfree/p/6111512,300g,4.5,3.5,,,inventories,staples,pasta
Barilla Torsades / Girandole,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-torsades--girandole/p/6111470,500g,5.0,2.5,,,inventories,staples,pasta
Barilla Tortiglioni,/en/food/inventories/staples/pasta/penne-hollow-pasta/barilla-tortiglioni/p/3032111,500g,5.0,2.5,,,inventories,staples,pasta
Ben's Original Basmati Rice 2x  1000g,/en/food/inventories/staples/rice/basmati-perfumed/ben-s-original-basmati-rice/p/4938038,2x 1000g,4.5,12.7,15.9,20%,inventories,staples,rice
Ben's Original Express Basmati Rice,/en/food/inventories/staples/rice/basmati-perfumed/ben-s-original-express-basmati-rice/p/4474740,250g,4.5,2.7,,20% 2 or more,inventories,staples,rice
Ben's Original Express Long Grain Rice,/en/food/inventories/staples/rice/long-grain-vitamin/ben-s-original-express-long-grain-rice/p/3386507,250g,5.0,2.7,,20% on 2 or more,inventories,staples,rice
Ben's Original Jasmin Rice,/en/food/inventories/staples/rice/basmati-perfumed/ben-s-original-jasmin-rice/p/4947815,1000g,3.0,6.95,,,inventories,staples,rice
Ben's Original Long Grain Rice 10 min. 2x  1000g,/en/food/inventories/staples/rice/long-grain-vitamin/ben-s-original-long-grain-rice-10-min/p/3639191,2x 1000g,4.5,9.5,11.9,20%,inventories,staples,rice
Ben's Original Long Grain Rice 10 min. 8 Bags,/en/food/inventories/staples/rice/long-grain-vitamin/ben-s-original-long-grain-rice-10-min-8-bags/p/3956022,1000g,4.5,5.95,,,inventories,staples,rice
Ben's Original Long Grain Rice 20 min.,/en/food/inventories/staples/rice/long-grain-vitamin/ben-s-original-long-grain-rice-20-min/p/3639190,2000g,5.0,7.2,,,inventories,staples,rice
Ben's Original Long Grain Rice 20 min. 2x  1000g,/en/food/inventories/staples/rice/long-grain-vitamin/ben-s-original-long-grain-rice-20-min/p/3639118,2x 1000g,5.0,9.1,11.4,20%,inventories,staples,rice
Ben's Original Risotto 15 Min.,/en/food/inventories/staples/rice/risotto-vialone/ben-s-original-risotto-15-min/p/4972001,2000g,0.0,9.95,,,inventories,staples,rice
