title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Appenzeller Pork Cordon Bleu 1 Piece ca. 180g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/appenzeller-pork-cordon-bleu-1-piece-ca/p/4022773,180g,3.5,6.0,,,meat-fish,breaded-ready-to-cook,meat-fish
Beef Burgers 2x120g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/beef-burgers-2x120g/p/3060881,240g,2.5,6.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell BBQ Mini Beef Burgers 6x30g,/en/inspiration-gifts/seasonal-promotions/super-bowl/meat/bell-bbq-mini-beef-burgers-6x30g/p/6278576,180g,5.0,4.95,,,seasonal-promotions,super-bowl,meat
Bell Beef Brasato with Sauce approx. 550g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-beef-brasato-with-sauce-approx/p/6786542,550g,3.5,18.15,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Beefburger with Bacon,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-beefburger-with-bacon/p/3819929,250g,4.5,6.25,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Beefburger with Provençal Herbs,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-beefburger-with-provencal-herbs/p/3819931,250g,3.5,6.25,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Fricandeaux 2 Pieces 310g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-fricandeaux-2-pieces/p/4374976,310g,3.5,9.1,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Grisons Pork Cordon Bleu 1 Piece ca. 180g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-grisons-pork-cordon-bleu-1-piece-ca/p/4022772,180g,3.5,5.85,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Naturabeef Big Triple B Burger,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-naturabeef-big-triple-b-burger/p/6354926,200g,4.0,6.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Naturabeef Limousin Burgers 2x125g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-naturabeef-limousin-burgers-2x125g/p/6098193,250g,3.0,7.65,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Natura-Beef Simmentaler Burger,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-natura-beef-simmentaler-burger/p/6122765,250g,0.0,7.65,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Plain Meatballs,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-plain-meatballs/p/3819925,250g,4.5,6.75,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Pork cordon bleu with vegetables approx. 180g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-pork-cordon-bleu-with-vegetables-approx/p/6862006,180g,0.0,6.0,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Veal Ossobuco Sous Vide Sauce approx. 600g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-veal-ossobuco-sous-vide-sauce-approx/p/6799245,600g,4.0,27.0,,,meat-fish,breaded-ready-to-cook,meat-fish
Bell Veal Shoulder Roast 600g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/bell-veal-shoulder-roast/p/6799244,600g,5.0,17.7,27.0,34%,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Beef Carpaccio,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-beef-carpaccio/p/6712163,110g,5.0,6.5,,,meat-fish,breaded-ready-to-cook,betty-bossi-beef-carpaccio
Betty Bossi Beef Köttbullar with Cream Sauce,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-beef-koettbullar-with-cream-sauce/p/6688169,600g,3.0,8.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-beef-koettbullar-with-cream-sauce
Betty Bossi Beef Meatballs cooked 12-pack,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-beef-meatballs-cooked-12-pack/p/6690789,100g,5.0,3.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-beef-meatballs-cooked-12-pack
Betty Bossi Beef Meatballs with Tomato Dip,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-beef-meatballs-with-tomato-dip/p/6695081,145g,0.0,4.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-beef-meatballs-with-tomato-dip
Betty Bossi Beef Stroganoff Pie,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-beef-stroganoff-pie/p/6769288,210g,4.0,5.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken and Mushroom Pie,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-and-mushroom-pie/p/6769290,210g,3.0,5.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Balls filled with curry,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-balls-filled-with-curry/p/6768487,200g,2.5,5.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Breast Grilled,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-chicken-breast-grilled/p/6690821,110g,4.5,4.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-chicken-breast-grilled
Betty Bossi Chicken Breast in Pastry with Herbs,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-breast-in-pastry-with-herbs/p/6769644,370g,4.0,9.95,11.95,16%,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Casimir Pie,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-casimir-pie/p/6769285,210g,4.5,5.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Cordon Bleu 2 Pieces,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-cordon-bleu-2-pieces/p/6658168,260g,3.5,7.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Delight,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-delight/p/6658164,300g,3.5,6.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Meatballs cooked 12-pack,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-chicken-meatballs-cooked-12-pack/p/6690825,100g,0.0,3.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-chicken-meatballs-cooked-12-pack
Betty Bossi Chicken Nuggets,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-nuggets/p/6658292,225g,4.0,4.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Nuggets Cheesy,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-nuggets-cheesy/p/6746443,250g,1.0,5.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Piccata 2x3-pack 300g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-piccata-2x3-pack/p/6697784,300g,0.0,5.95,9.4,36%,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Pieces Curry,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-chicken-pieces-curry/p/6690823,130g,5.0,4.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-chicken-pieces-curry
Betty Bossi Chicken Schnitzel with Tomato and Mozzarella,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-chicken-schnitzel-with-tomato-and-mozzarella/p/6746442,310g,1.0,6.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Chicken Strips Herbs,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-chicken-strips-herbs/p/6661312,130g,5.0,5.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-chicken-strips-herbs
Betty Bossi Chicken Strips Paprika & Honey,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-chicken-strips-paprika-honey/p/6661313,130g,0.0,5.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-chicken-strips-paprika-honey
Betty Bossi Chicken Strips Salt & Pepper,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-chicken-strips-salt-pepper/p/6661314,130g,0.0,5.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-chicken-strips-salt-pepper
Betty Bossi Chicken Strips Wild Garlic,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-chicken-strips-wild-garlic/p/6782407,130g,0.0,5.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-chicken-strips-wild-garlic
Betty Bossi Coq au vin,/en/food/ready-made-meals/fresh-ready-made-products/more-fresh-ready-made-meals/betty-bossi-coq-au-vin/p/6666587,500g,4.0,12.95,,,ready-made-meals,fresh-ready-made-products,more-fresh-ready-made-meals
Betty Bossi Crispy Chicken 2 Pieces,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-crispy-chicken-2-pieces/p/6658167,220g,0.0,5.45,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Crispy Chicken Burgers 2x80g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-crispy-chicken-burgers-2x80g/p/6658169,160g,0.0,4.6,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Crunchy Chicken Nuggets ca. 450g,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-crunchy-chicken-nuggets-ca/p/6658297,450g,4.0,8.75,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Dark Beer Beef,/en/food/ready-made-meals/fresh-ready-made-products/more-fresh-ready-made-meals/betty-bossi-dark-beer-beef/p/6666589,500g,5.0,13.95,,,ready-made-meals,fresh-ready-made-products,more-fresh-ready-made-meals
Betty Bossi Emmental Veal Schnitzel,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-emmental-veal-schnitzel/p/6749042,120g,3.0,3.5,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Meatballs filled with cream cheese and jalapeno,/en/food/meat-fish/breaded-ready-to-cook/meat-fish/betty-bossi-meatballs-filled-with-cream-cheese-and-jalapeno/p/6768482,200g,3.5,5.95,,,meat-fish,breaded-ready-to-cook,meat-fish
Betty Bossi Meatballs in a Cream Sauce,/en/food/meat-fish/breaded-ready-to-cook/betty-bossi-meatballs-in-a-cream-sauce/p/6688163,600g,5.0,7.95,,,meat-fish,breaded-ready-to-cook,betty-bossi-meatballs-in-a-cream-sauce
