title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Apéro Breaded Veal Pâté ca. 300g,/en/food/meat-fish/cold-cuts-sausage-products/pates-terrines-sausage-spread/apero-breaded-veal-pate-ca/p/3361086,300g,4.0,12.0,,,meat-fish,cold-cuts-sausage-products,pates-terrines-sausage-spread
Appenzell Alpine Salami ca. 120g,/en/food/meat-fish/cold-cuts-sausage-products/dried-meat-salami/salami-cold-cuts/appenzell-alpine-salami-ca/p/3437753,120g,4.5,6.05,,,meat-fish,cold-cuts-sausage-products,dried-meat-salami
Appenzell Country Sausage,/en/food/meat-fish/cold-cuts-sausage-products/sausages/smoked-sausage-saucisson/appenzell-country-sausage/p/3407067,420g,5.0,9.2,,,meat-fish,cold-cuts-sausage-products,sausages
Appenzeller Alpine Cured Ham ca. 80g,/en/food/meat-fish/cold-cuts-sausage-products/dried-meat-salami/raw-ham/appenzeller-alpine-cured-ham-ca/p/3423672,80g,4.5,4.05,,,meat-fish,cold-cuts-sausage-products,dried-meat-salami
Appenzeller Mostbröckli ca. 300g,/en/food/meat-fish/cold-cuts-sausage-products/dried-meat-salami/more-dried-meat/appenzeller-mostbroeckli-ca/p/3470022,300g,4.5,25.35,,,meat-fish,cold-cuts-sausage-products,dried-meat-salami
Appenzell Smoked Beef ca. 60g,/en/food/meat-fish/cold-cuts-sausage-products/dried-meat-salami/more-dried-meat/appenzell-smoked-beef-ca/p/3067008,60g,5.0,5.6,,,meat-fish,cold-cuts-sausage-products,dried-meat-salami
Appenzell Thinly Sliced Country Sausage ca. 115g,/en/food/meat-fish/cold-cuts-sausage-products/dried-meat-salami/salami-cold-cuts/appenzell-thinly-sliced-country-sausage-ca/p/3363542,115g,5.0,3.95,,,meat-fish,cold-cuts-sausage-products,dried-meat-salami
Arnaud Terrine de campagne,/en/food/meat-fish/cold-cuts-sausage-products/pates-terrines-sausage-spread/arnaud-terrine-de-campagne/p/5642283,180g,5.0,5.95,,,meat-fish,cold-cuts-sausage-products,pates-terrines-sausage-spread
Arnaud Terrine Piment d'Espelette,/en/food/meat-fish/cold-cuts-sausage-products/pates-terrines-sausage-spread/arnaud-terrine-piment-d-espelette/p/5642284,180g,5.0,5.95,,,meat-fish,cold-cuts-sausage-products,pates-terrines-sausage-spread
Aspic with Deli-Meat,/en/food/meat-fish/cold-cuts-sausage-products/pates-terrines-sausage-spread/aspic-with-deli-meat/p/3376223,200g,5.0,3.2,,,meat-fish,cold-cuts-sausage-products,pates-terrines-sausage-spread
Bacon Slices,/en/food/meat-fish/cold-cuts-sausage-products/bacon-diced-ham/bacon/bacon-slices/p/5749725,50g,4.0,3.3,,,meat-fish,cold-cuts-sausage-products,bacon-diced-ham
Bacon Strips 190g,/en/food/meat-fish/cold-cuts-sausage-products/bacon-diced-ham/bacon/bacon-strips/p/3635456,190g,5.0,4.65,,,meat-fish,cold-cuts-sausage-products,bacon-diced-ham
BBQ saucisse rôtir spirale,/en/food/meat-fish/cold-cuts-sausage-products/sausages/grilling-sausages/bbq-saucisse-rotir-spirale/p/6846096,400g,0.0,5.0,,,meat-fish,cold-cuts-sausage-products,sausages
Bell 1/2 Dried Ham Roast ca. 380g,/en/food/meat-fish/cold-cuts-sausage-products/bacon-diced-ham/ham-pork-shoulder/bell-12-dried-ham-roast-ca/p/4848475,380g,0.0,17.65,,,meat-fish,cold-cuts-sausage-products,bacon-diced-ham
Bell Angus Beef Sticks,/en/food/meat-fish/cold-cuts-sausage-products/snacks-appetizers/bell-angus-beef-sticks/p/6149503,40g,3.5,2.95,,,meat-fish,cold-cuts-sausage-products,snacks-appetizers
Bellavista Deli-Meat ca. 110g,/en/food/meat-fish/cold-cuts-sausage-products/ham-cold-cuts/cold-cuts/bellavista-deli-meat-ca/p/4878953,110g,4.0,4.1,,,meat-fish,cold-cuts-sausage-products,ham-cold-cuts
Bell Basel Cervelas Sausages,/en/food/meat-fish/cold-cuts-sausage-products/sausages/sausages-cervelas/bell-basel-cervelas-sausages/p/3482253,260g,4.5,5.95,,,meat-fish,cold-cuts-sausage-products,sausages
Bell Bauernbratwurst am Meter,/en/food/meat-fish/cold-cuts-sausage-products/sausages/grilling-sausages/bell-bauernbratwurst-am-meter/p/3448279,350g,1.0,8.95,,,meat-fish,cold-cuts-sausage-products,sausages
Bell BBQ Cooked Merguez 6 Pieces,/en/food/meat-fish/cold-cuts-sausage-products/sausages/grilling-sausages/bell-bbq-cooked-merguez-6-pieces/p/3958618,210g,3.5,6.3,,,meat-fish,cold-cuts-sausage-products,sausages
Bell Beef Brisket ca. 110g,/en/food/meat-fish/cold-cuts-sausage-products/dried-meat-salami/more-dried-meat/bell-beef-brisket-ca/p/5859587,110g,3.5,6.05,,,meat-fish,cold-cuts-sausage-products,dried-meat-salami
