title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Apricot Skimmed Milk Quark 2x125g,/en/food/dairy-products-eggs/quark/flavoured-quark/apricot-skimmed-milk-quark-2x125g/p/4214663,250g,4.5,1.2,,,dairy-products-eggs,quark,flavoured-quark
Chäs-Hütte Chestnut Quark,/en/food/dairy-products-eggs/quark/flavoured-quark/chaes-huette-chestnut-quark/p/6500923,130g,5.0,1.6,,,dairy-products-eggs,quark,flavoured-quark
Chäs Hütte Mocca Quark,/en/food/dairy-products-eggs/quark/flavoured-quark/chaes-huette-mocca-quark/p/6500933,130g,5.0,1.6,,,dairy-products-eggs,quark,flavoured-quark
Chäs-Hütte Raspberry Fruit Quark,/en/food/dairy-products-eggs/quark/flavoured-quark/chaes-huette-raspberry-fruit-quark/p/4912658,130g,5.0,1.6,,,dairy-products-eggs,quark,flavoured-quark
Chäs-Hütte Vanilla Quark,/en/food/dairy-products-eggs/quark/flavoured-quark/chaes-huette-vanilla-quark/p/4912677,130g,5.0,1.6,,,dairy-products-eggs,quark,flavoured-quark
Danone Petit Suisse Gervais Natural 3.9% Fat 6x60g,/en/food/dairy-products-eggs/quark/natural-quark/danone-petit-suisse-gervais-natural-39-fat-6x60g/p/4637640,360g,5.0,4.95,,,dairy-products-eggs,quark,natural-quark
Danonino banana strawberry & apricot quark 6x50g,/en/food/dairy-products-eggs/quark/flavoured-quark/danonino-banana-strawberry-apricot-quark-6x50g/p/3657292,300g,4.5,2.6,,,dairy-products-eggs,quark,flavoured-quark
Danonino reduced sugar quark 6x50g,/en/food/dairy-products-eggs/quark/flavoured-quark/danonino-reduced-sugar-quark-6x50g/p/6543323,300g,5.0,2.75,,,dairy-products-eggs,quark,flavoured-quark
Danonino strawberry & apricot quark 4x100g,/en/food/dairy-products-eggs/quark/flavoured-quark/danonino-strawberry-apricot-quark-4x100g/p/3735918,400g,4.5,3.5,,,dairy-products-eggs,quark,flavoured-quark
Danonino strawberry cherry & raspberry quark 12x50g,/en/food/dairy-products-eggs/quark/flavoured-quark/danonino-strawberry-cherry-raspberry-quark-12x50g/p/3657295,600g,4.5,5.2,,,dairy-products-eggs,quark,flavoured-quark
Danonino strawberry cherry & raspberry quark 6x50g,/en/food/dairy-products-eggs/quark/flavoured-quark/danonino-strawberry-cherry-raspberry-quark-6x50g/p/3657293,300g,4.5,2.6,,,dairy-products-eggs,quark,flavoured-quark
Fairtrade Banana Fruit Quark 2x125g,/en/food/dairy-products-eggs/quark/flavoured-quark/fairtrade-banana-fruit-quark-2x125g/p/5671754,250g,4.5,1.2,,,dairy-products-eggs,quark,flavoured-quark
Fairtrade Maxi Red Petit Suisse 4x100g,/en/food/dairy-products-eggs/quark/flavoured-quark/fairtrade-maxi-red-petit-suisse-4x100g/p/6077515,400g,4.5,2.8,,,dairy-products-eggs,quark,flavoured-quark
Fairtrade Red Petit Suisse 6x50g,/en/food/dairy-products-eggs/quark/flavoured-quark/fairtrade-red-petit-suisse-6x50g/p/6077518,300g,5.0,2.45,,,dairy-products-eggs,quark,flavoured-quark
Free From Lactose Free Natural Slim Quark,/en/food/dairy-products-eggs/quark/natural-quark/free-from-lactose-free-natural-slim-quark/p/3543694,250g,4.5,1.35,,,dairy-products-eggs,quark,natural-quark
isey Lactose Free Stracciatella Skyr,/en/food/dairy-products-eggs/quark/flavoured-quark/isey-lactose-free-stracciatella-skyr/p/6622977,170g,4.5,2.2,,,dairy-products-eggs,quark,flavoured-quark
isey Lemon Cheesecake Skyr,/en/food/dairy-products-eggs/quark/flavoured-quark/isey-lemon-cheesecake-skyr/p/5763987,170g,4.5,2.05,,,dairy-products-eggs,quark,flavoured-quark
Isey Natural Skyr,/en/food/dairy-products-eggs/quark/natural-quark/isey-natural-skyr/p/4846718,170g,5.0,2.05,,,dairy-products-eggs,quark,natural-quark
Isey Skyr Blueberry & Raspberry lactose-free,/en/food/dairy-products-eggs/quark/flavoured-quark/isey-skyr-blueberry-raspberry-lactose-free/p/6782753,170g,4.5,2.2,,,dairy-products-eggs,quark,flavoured-quark
isey SKYR Kokosnuss lactose free,/en/food/dairy-products-eggs/quark/flavoured-quark/isey-skyr-kokosnuss-lactose-free/p/6418155,170g,4.5,2.2,,,dairy-products-eggs,quark,flavoured-quark
"Isey Skyr Popcorn-Caramel, lactose-free",/en/food/dairy-products-eggs/quark/flavoured-quark/isey-skyr-popcorn-caramel-lactose-free/p/6808036,170g,3.5,2.2,,,dairy-products-eggs,quark,flavoured-quark
Isey Vanilla Skyr,/en/food/dairy-products-eggs/quark/flavoured-quark/isey-vanilla-skyr/p/4961731,170g,4.5,2.05,,,dairy-products-eggs,quark,flavoured-quark
Natural Cream Quark,/en/food/dairy-products-eggs/quark/natural-quark/natural-cream-quark/p/3080157,150g,5.0,1.15,,,dairy-products-eggs,quark,natural-quark
Natural Half-Fat Quark,/en/food/dairy-products-eggs/quark/natural-quark/natural-half-fat-quark/p/3080155,250g,5.0,1.45,,,dairy-products-eggs,quark,natural-quark
Natural Half-Fat Quark,/en/food/dairy-products-eggs/quark/natural-quark/natural-half-fat-quark/p/4217659,500g,4.5,2.85,,,dairy-products-eggs,quark,natural-quark
Natural Skimmed Quark 0.2% Fat,/en/food/dairy-products-eggs/quark/natural-quark/natural-skimmed-quark-02-fat/p/5732895,250g,5.0,0.8,,,dairy-products-eggs,quark,natural-quark
Naturaplan organic blueberry fruit quark,/en/food/dairy-products-eggs/quark/flavoured-quark/naturaplan-organic-blueberry-fruit-quark/p/6774873,150g,3.0,1.15,,,dairy-products-eggs,quark,flavoured-quark
Naturaplan organic cherry fruit quark,/en/food/dairy-products-eggs/quark/flavoured-quark/naturaplan-organic-cherry-fruit-quark/p/6775402,150g,0.0,1.15,,,dairy-products-eggs,quark,flavoured-quark
