title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
2go Energy Drinks 6x25cl,/en/food/drinks/soft-drinks/sport-energy-drinks/energy-drinks/2go-energy-drinks-6x25cl/p/6097874,150cl,4.0,6.0,,,drinks,soft-drinks,sport-energy-drinks
2 go Sugarfree Energy Drinks 6x25cl,/en/food/drinks/soft-drinks/sport-energy-drinks/energy-drinks/2-go-sugarfree-energy-drinks-6x25cl/p/6097875,150cl,5.0,6.0,,,drinks,soft-drinks,sport-energy-drinks
All i need. Green Tea 6x  25cl,/en/food/drinks/soft-drinks/ice-tea/special-ice-tea/all-i-need-green-tea/p/6477459,6x 25cl,5.0,11.7,,,drinks,soft-drinks,ice-tea
"Appenzeller Flauder Carbonated Water Elder Blossom 6x1,5l",/en/food/drinks/soft-drinks/cola-limonades/other-limonades/appenzeller-flauder-carbonated-water-elder-blossom-6x15l/p/3533450,9l,4.5,11.4,,,drinks,soft-drinks,cola-limonades
Arizona Honey Green Ice Tea 6x  50cl,/en/food/drinks/soft-drinks/ice-tea/special-ice-tea/arizona-honey-green-ice-tea/p/4121061,6x 50cl,4.5,9.9,,,drinks,soft-drinks,ice-tea
Beeren Sirup,/en/food/drinks/soft-drinks/syrup/beeren-sirup/p/6575199,75cl,5.0,3.0,,,drinks,soft-drinks,syrup
Blood Orange Syrup,/en/food/drinks/soft-drinks/syrup/blood-orange-syrup/p/6328097,75cl,5.0,2.15,,,drinks,soft-drinks,syrup
BraTee Peach 4x  75cl,/en/food/drinks/soft-drinks/ice-tea/peach-ice-tea/bratee-peach/p/6766857,4x 75cl,2.5,10.0,,,drinks,soft-drinks,ice-tea
BraTee Pomegranate 4x  75cl,/en/food/drinks/soft-drinks/ice-tea/special-ice-tea/bratee-pomegranate/p/6766859,4x 75cl,5.0,10.0,,,drinks,soft-drinks,ice-tea
BraTee Watermelon 4x  75cl,/en/food/drinks/soft-drinks/ice-tea/special-ice-tea/bratee-watermelon/p/6766855,4x 75cl,5.0,10.0,,,drinks,soft-drinks,ice-tea
Bundaberg Ginger Beer 4x37.5cl,/en/food/drinks/soft-drinks/cola-limonades/other-limonades/bundaberg-ginger-beer-4x375cl/p/6590780,150cl,5.0,15.6,,,drinks,soft-drinks,cola-limonades
C'Ice Swiss Hemp Ice Tea 6x  25cl,/en/food/drinks/soft-drinks/ice-tea/special-ice-tea/c-ice-swiss-hemp-ice-tea/p/3617053,6x 25cl,4.0,9.0,,,drinks,soft-drinks,ice-tea
Charitea Mate,/en/food/drinks/soft-drinks/cola-limonades/other-limonades/charitea-mate/p/6043082,33cl,5.0,2.8,,,drinks,soft-drinks,cola-limonades
Coca-Cola 12x15cl,/en/food/drinks/soft-drinks/multipacks-under-1-liter/coca-cola-12x15cl/p/6029422,180cl,5.0,6.95,,,drinks,soft-drinks,multipacks-under-1-liter
Coca-Cola 6x1.5l,/en/food/drinks/soft-drinks/multipacks-more-than-1-liter/coca-cola-6x15l/p/3374743,9l,4.5,12.6,,50% 3 or more,drinks,soft-drinks,multipacks-more-than-1-liter
Coca-Cola 6x2l,/en/food/drinks/soft-drinks/multipacks-more-than-1-liter/coca-cola-6x2l/p/3050530,12l,4.5,14.1,,,drinks,soft-drinks,multipacks-more-than-1-liter
Coca Cola classic 18x50cl,/en/food/drinks/soft-drinks/cola-limonades/cola/coca-cola-classic-18x50cl/p/6736605,900cl,3.0,23.4,,50% on 2 or more,drinks,soft-drinks,cola-limonades
Coca-Cola Classic 6x45cl,/en/food/drinks/soft-drinks/cola-limonades/cola/coca-cola-classic-6x45cl/p/6363018,270cl,2.5,7.2,,,drinks,soft-drinks,cola-limonades
Coca-Cola Classic 6x75cl,/en/food/drinks/soft-drinks/cola-limonades/cola/coca-cola-classic-6x75cl/p/6365512,450cl,3.0,8.1,,,drinks,soft-drinks,cola-limonades
Coca Cola Lemon 6x  25cl,/en/food/drinks/soft-drinks/cola-limonades/cola/coca-cola-lemon/p/6364310,6x 25cl,4.0,6.0,,,drinks,soft-drinks,cola-limonades
Coca-Cola Light 6x1.5l,/en/food/drinks/soft-drinks/multipacks-more-than-1-liter/coca-cola-light-6x15l/p/3374915,9l,4.5,12.6,,50% on 3 or more,drinks,soft-drinks,multipacks-more-than-1-liter
Coca-Cola Light 6x45cl,/en/food/drinks/soft-drinks/cola-limonades/cola/coca-cola-light-6x45cl/p/6364129,270cl,3.0,7.2,,,drinks,soft-drinks,cola-limonades
Coca-Cola Original 6x25cl,/en/food/drinks/soft-drinks/multipacks-under-1-liter/coca-cola-original-6x25cl/p/3822054,150cl,4.5,6.95,,,drinks,soft-drinks,multipacks-under-1-liter
Coca-Cola Original 6x33cl,/en/food/drinks/soft-drinks/multipacks-under-1-liter/coca-cola-original-6x33cl/p/3519294,198cl,5.0,4.8,,,drinks,soft-drinks,multipacks-under-1-liter
Coca-Cola Vanilla 6x  25cl,/en/food/drinks/soft-drinks/cola-limonades/cola/coca-cola-vanilla/p/4298900,6x 25cl,5.0,5.1,,,drinks,soft-drinks,cola-limonades
Coca-Cola Zero 12x15cl,/en/food/drinks/soft-drinks/multipacks-under-1-liter/coca-cola-zero-12x15cl/p/5935466,180cl,4.5,6.95,,,drinks,soft-drinks,multipacks-under-1-liter
Coca Cola zero 18x50cl,/en/food/drinks/soft-drinks/cola-limonades/cola/coca-cola-zero-18x50cl/p/6736608,900cl,5.0,23.4,,50% on 2 or more,drinks,soft-drinks,cola-limonades
Coca-Cola Zero 6x1.5l,/en/food/drinks/soft-drinks/multipacks-more-than-1-liter/coca-cola-zero-6x15l/p/3604133,9l,4.5,12.6,,50% on 3 or more,drinks,soft-drinks,multipacks-more-than-1-liter
Coca-Cola Zero 6x2l,/en/food/drinks/soft-drinks/multipacks-more-than-1-liter/coca-cola-zero-6x2l/p/3822147,12l,4.5,14.1,,,drinks,soft-drinks,multipacks-more-than-1-liter
