title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Appenzeller Cordon Bleu,/en/food/meat-fish/your-butcher-shop/appenzeller-cordon-bleu/p/3924571,220g,4.5,8.55,,,meat-fish,your-butcher-shop,appenzeller-cordon-bleu
Chicken Breast,/en/food/meat-fish/your-butcher-shop/chicken-breast/p/4268918,150g,5.0,5.25,,,meat-fish,your-butcher-shop,chicken-breast
Chicken Breast Steak,/en/food/meat-fish/your-butcher-shop/chicken-breast-steak/p/3478845,200g,4.5,5.1,,,meat-fish,your-butcher-shop,chicken-breast-steak
Chicken Drumsticks,/en/food/meat-fish/your-butcher-shop/chicken-drumsticks/p/6104877,200g,4.5,3.0,,,meat-fish,your-butcher-shop,chicken-drumsticks
Chicken Wings,/en/meat-cut/wing/chicken-wings/p/4392407,200g,5.0,2.9,,,wing,chicken-wings,p
Grisons Cordon Bleu,/en/food/meat-fish/your-butcher-shop/grisons-cordon-bleu/p/3924572,220g,3.0,8.0,,,meat-fish,your-butcher-shop,grisons-cordon-bleu
Head Cheese Cordon Bleu,/en/food/meat-fish/your-butcher-shop/head-cheese-cordon-bleu/p/3066420,150g,5.0,3.75,,,meat-fish,your-butcher-shop,head-cheese-cordon-bleu
Lamb Chops,/en/food/meat-fish/your-butcher-shop/lamb-chops/p/3441295,75g,5.0,4.75,,,meat-fish,your-butcher-shop,lamb-chops
Lamb Fillet,/en/food/meat-fish/your-butcher-shop/lamb-fillet/p/3443863,200g,4.5,11.6,,,meat-fish,your-butcher-shop,lamb-fillet
Lamb Racks,/en/food/meat-fish/your-butcher-shop/lamb-racks/p/3443868,250g,5.0,15.6,,,meat-fish,your-butcher-shop,lamb-racks
Leg of Veal,/en/food/meat-fish/your-butcher-shop/leg-of-veal/p/3060310,250g,4.0,8.05,10.35,22%,meat-fish,your-butcher-shop,leg-of-veal
Natura-Beef Beef Brochettes,/en/food/meat-fish/your-butcher-shop/natura-beef-beef-brochettes/p/3348758,150g,4.5,8.75,,,meat-fish,your-butcher-shop,natura-beef-beef-brochettes
Natura-Beef Beef Entrecote,/en/food/meat-fish/your-butcher-shop/natura-beef-beef-entrecote/p/4688451,200g,4.5,22.8,,,meat-fish,your-butcher-shop,natura-beef-beef-entrecote
Naturabeef Beef Ragout,/en/food/meat-fish/your-butcher-shop/naturabeef-beef-ragout/p/3066215,150g,4.5,5.85,,,meat-fish,your-butcher-shop,naturabeef-beef-ragout
Natura-Beef Beef Ribeye Steak,/en/food/meat-fish/your-butcher-shop/natura-beef-beef-ribeye-steak/p/4688449,200g,4.0,16.2,,,meat-fish,your-butcher-shop,natura-beef-beef-ribeye-steak
Natura-Beef Beef Ribs,/en/food/meat-fish/your-butcher-shop/natura-beef-beef-ribs/p/4688450,450g,4.0,34.2,,,meat-fish,your-butcher-shop,natura-beef-beef-ribs
Natura-Beef Boilling Beef,/en/food/meat-fish/your-butcher-shop/natura-beef-boilling-beef/p/3066453,200g,4.5,5.9,,,meat-fish,your-butcher-shop,natura-beef-boilling-beef
Naturabeef Braised Steak,/en/food/meat-fish/your-butcher-shop/naturabeef-braised-steak/p/3394364,150g,5.0,7.35,,,meat-fish,your-butcher-shop,naturabeef-braised-steak
Natura-Beef Dry Aged Meat Clubsteak with Bone,/en/food/meat-fish/your-butcher-shop/natura-beef-dry-aged-meat-clubsteak-with-bone/p/5846097,450g,1.5,37.55,,,meat-fish,your-butcher-shop,natura-beef-dry-aged-meat-clubsteak-with-bone
Natura-Beef Entrecote,/en/food/meat-fish/your-butcher-shop/natura-beef-entrecote/p/3061432,200g,5.0,19.7,,,meat-fish,your-butcher-shop,natura-beef-entrecote
Natura-Beef Minute Beef Steak,/en/food/meat-fish/your-butcher-shop/natura-beef-minute-beef-steak/p/3394208,200g,4.5,11.5,,,meat-fish,your-butcher-shop,natura-beef-minute-beef-steak
Natura-Beef Roast Shoulder,/en/food/meat-fish/your-butcher-shop/natura-beef-roast-shoulder/p/3066246,200g,3.5,7.9,,,meat-fish,your-butcher-shop,natura-beef-roast-shoulder
Naturabeef Rumpsteak,/en/food/meat-fish/your-butcher-shop/naturabeef-rumpsteak/p/3066964,250g,4.5,24.6,,,meat-fish,your-butcher-shop,naturabeef-rumpsteak
Natura-Beef Sliced Beef,/en/food/meat-fish/your-butcher-shop/natura-beef-sliced-beef/p/3066212,150g,5.0,7.1,,,meat-fish,your-butcher-shop,natura-beef-sliced-beef
Natura-Beef Swiss Beef Fillet,/en/food/meat-fish/your-butcher-shop/natura-beef-swiss-beef-fillet/p/3066226,200g,4.5,23.3,,,meat-fish,your-butcher-shop,natura-beef-swiss-beef-fillet
Naturabeef Swiss Ribeye,/en/food/meat-fish/your-butcher-shop/naturabeef-swiss-ribeye/p/3066224,250g,4.0,15.85,,,meat-fish,your-butcher-shop,naturabeef-swiss-ribeye
Natura-Beef T-Bone Steak,/en/food/meat-fish/your-butcher-shop/natura-beef-t-bone-steak/p/4687976,600g,5.0,58.2,,,meat-fish,your-butcher-shop,natura-beef-t-bone-steak
Naturafarm Assorted Grilling Meat,/en/food/meat-fish/your-butcher-shop/naturafarm-assorted-grilling-meat/p/4020277,180g,5.0,8.9,,,meat-fish,your-butcher-shop,naturafarm-assorted-grilling-meat
Naturafarm Breaded Pork Escalope,/en/food/meat-fish/your-butcher-shop/naturafarm-breaded-pork-escalope/p/3348663,140g,1.0,3.95,,,meat-fish,your-butcher-shop,naturafarm-breaded-pork-escalope
Naturafarm pork chops,/en/food/meat-fish/your-butcher-shop/naturafarm-pork-chops/p/3347620,250g,4.5,6.75,,,meat-fish,your-butcher-shop,naturafarm-pork-chops
Naturafarm pork chops with rind,/en/food/meat-fish/your-butcher-shop/naturafarm-pork-chops-with-rind/p/4862259,250g,4.5,3.75,,,meat-fish,your-butcher-shop,naturafarm-pork-chops-with-rind
Naturafarm Pork Escalope,/en/food/meat-fish/your-butcher-shop/naturafarm-pork-escalope/p/3064882,150g,3.5,4.05,,,meat-fish,your-butcher-shop,naturafarm-pork-escalope
Naturafarm Pork Fillet,/en/food/meat-fish/your-butcher-shop/naturafarm-pork-fillet/p/3437903,200g,4.5,11.9,,,meat-fish,your-butcher-shop,naturafarm-pork-fillet
Naturafarm Pork Fillet Brochettes with Bacon,/en/food/meat-fish/your-butcher-shop/naturafarm-pork-fillet-brochettes-with-bacon/p/3349061,200g,4.5,11.9,,,meat-fish,your-butcher-shop,naturafarm-pork-fillet-brochettes-with-bacon
Naturafarm Pork Shoulder Schnitzel,/en/food/meat-fish/your-butcher-shop/naturafarm-pork-shoulder-schnitzel/p/3064880,200g,5.0,3.9,,,meat-fish,your-butcher-shop,naturafarm-pork-shoulder-schnitzel
Naturafarm pork steak with bacon,/en/food/meat-fish/your-butcher-shop/naturafarm-pork-steak-with-bacon/p/3431734,220g,5.0,9.2,,,meat-fish,your-butcher-shop,naturafarm-pork-steak-with-bacon
Naturafarm Pork Stewing Meat,/en/food/meat-fish/your-butcher-shop/naturafarm-pork-stewing-meat/p/3060536,200g,5.0,3.7,,,meat-fish,your-butcher-shop,naturafarm-pork-stewing-meat
Naturafarm rack of pork,/en/food/meat-fish/your-butcher-shop/naturafarm-rack-of-pork/p/4033908,300g,4.5,9.3,,,meat-fish,your-butcher-shop,naturafarm-rack-of-pork
Naturafarm Swiss Pork Fillet,/en/food/meat-fish/your-butcher-shop/naturafarm-swiss-pork-fillet/p/3063549,100g,5.0,3.85,,,meat-fish,your-butcher-shop,naturafarm-swiss-pork-fillet
