title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Becel Gold Margarine,/en/food/dairy-products-eggs/butter-margarine/margarine/becel-gold-margarine/p/4682207,250g,4.5,3.1,,,dairy-products-eggs,butter-margarine,margarine
Becel Light Margarine,/en/food/dairy-products-eggs/butter-margarine/margarine/becel-light-margarine/p/3081450,250g,5.0,2.4,,,dairy-products-eggs,butter-margarine,margarine
Becel Pro Activ Margarine,/en/food/dairy-products-eggs/butter-margarine/margarine/becel-pro-activ-margarine/p/3081767,250g,3.5,5.5,,,dairy-products-eggs,butter-margarine,margarine
Belfina Balance Plant Oil Creme,/en/food/dairy-products-eggs/butter-margarine/cooking-butter-cooking-fat/belfina-balance-plant-oil-creme/p/4079535,500ml,0.0,5.4,,,dairy-products-eggs,butter-margarine,cooking-butter-cooking-fat
Belfina Classic Vegetable Greese Cream,/en/food/dairy-products-eggs/butter-margarine/cooking-butter-cooking-fat/belfina-classic-vegetable-greese-cream/p/4079536,500ml,4.5,4.3,,,dairy-products-eggs,butter-margarine,cooking-butter-cooking-fat
Belfina Extra Lard,/en/food/dairy-products-eggs/butter-margarine/cooking-butter-cooking-fat/belfina-extra-lard/p/4079538,400g,5.0,2.95,,,dairy-products-eggs,butter-margarine,cooking-butter-cooking-fat
Beurre du Pays Pasteurized Butter Stick,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/beurre-du-pays-pasteurized-butter-stick/p/3081359,200g,5.0,3.85,,,dairy-products-eggs,butter-margarine,unsalted-butter
Bruno's Herb Butter,/en/food/dairy-products-eggs/butter-margarine/seasoned-butter/bruno-s-herb-butter/p/3676375,75g,5.0,4.95,,,dairy-products-eggs,butter-margarine,seasoned-butter
Café de Paris Mousse 6x10g,/en/food/dairy-products-eggs/butter-margarine/seasoned-butter/cafe-de-paris-mousse-6x10g/p/3434303,60g,4.0,4.1,,,dairy-products-eggs,butter-margarine,seasoned-butter
Coconut Grease,/en/food/dairy-products-eggs/butter-margarine/cooking-butter-cooking-fat/coconut-grease/p/6548590,450g,5.0,4.3,,,dairy-products-eggs,butter-margarine,cooking-butter-cooking-fat
Cremo Fridge-Speadable Butter,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/cremo-fridge-speadable-butter/p/4405912,200g,5.0,4.4,,,dairy-products-eggs,butter-margarine,unsalted-butter
EchtEntlebuch Hay Milk Butter,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/echtentlebuch-hay-milk-butter/p/6548165,150g,4.0,3.3,,,dairy-products-eggs,butter-margarine,unsalted-butter
Emmi Butter with Rapeseed Oil,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/emmi-butter-with-rapeseed-oil/p/5713334,200g,5.0,3.95,,,dairy-products-eggs,butter-margarine,unsalted-butter
Fine Food Organic Butter with Guérande Sea Salt,/en/food/dairy-products-eggs/butter-margarine/seasoned-butter/fine-food-organic-butter-with-guerande-sea-salt/p/3680792,100g,4.5,3.35,,,dairy-products-eggs,butter-margarine,seasoned-butter
Flora 100% vegetable,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/flora-100-vegetable/p/6547795,250g,4.5,3.25,,,dairy-products-eggs,butter-margarine,unsalted-butter
Floralp Premium Butter Stick,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/floralp-premium-butter-stick/p/3081181,200g,5.0,3.3,,,dairy-products-eggs,butter-margarine,unsalted-butter
Floralp Premium Butter Stick,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/floralp-premium-butter-stick/p/3081182,100g,5.0,1.95,,,dairy-products-eggs,butter-margarine,unsalted-butter
Floralp Premium Butter Tub,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/floralp-premium-butter-tub/p/3081201,200g,5.0,4.2,,,dairy-products-eggs,butter-margarine,unsalted-butter
Floralp Tub of Preferential Butter,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/floralp-tub-of-preferential-butter/p/3761178,100g,5.0,2.2,,,dairy-products-eggs,butter-margarine,unsalted-butter
Free From Lactose Free Premium Butter,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/free-from-lactose-free-premium-butter/p/5691426,200g,4.5,4.95,,,dairy-products-eggs,butter-margarine,unsalted-butter
Gourmet La Crème Clarified Cream,/en/food/dairy-products-eggs/butter-margarine/cooking-butter-cooking-fat/gourmet-la-creme-clarified-cream/p/3022751,400ml,4.5,9.2,,,dairy-products-eggs,butter-margarine,cooking-butter-cooking-fat
Gourmet Le Beurre Clarified Butter,/en/food/dairy-products-eggs/butter-margarine/cooking-butter-cooking-fat/gourmet-le-beurre-clarified-butter/p/3080168,450g,5.0,8.7,,,dairy-products-eggs,butter-margarine,cooking-butter-cooking-fat
Half-Fat Butter 50% Less Fat,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/half-fat-butter-50-less-fat/p/5732762,200g,4.5,3.25,,,dairy-products-eggs,butter-margarine,unsalted-butter
Herb butter 6x10g,/en/food/dairy-products-eggs/butter-margarine/seasoned-butter/herb-butter-6x10g/p/6726105,60g,0.0,4.6,,,dairy-products-eggs,butter-margarine,seasoned-butter
Herb Butter Roll,/en/food/dairy-products-eggs/butter-margarine/seasoned-butter/herb-butter-roll/p/3567984,100g,4.5,2.85,,,dairy-products-eggs,butter-margarine,seasoned-butter
Hirz Herb Butter 4x15g,/en/food/dairy-products-eggs/butter-margarine/seasoned-butter/hirz-herb-butter-4x15g/p/3361016,60g,3.5,2.35,,,dairy-products-eggs,butter-margarine,seasoned-butter
Lätta Classic Margarine,/en/food/dairy-products-eggs/butter-margarine/margarine/laetta-classic-margarine/p/3933814,500g,5.0,3.25,,,dairy-products-eggs,butter-margarine,margarine
Lätta Half-Fat Margarine,/en/food/dairy-products-eggs/butter-margarine/margarine/laetta-half-fat-margarine/p/3081198,250g,5.0,2.75,,,dairy-products-eggs,butter-margarine,margarine
Lätta vegan,/en/food/dairy-products-eggs/butter-margarine/margarine/laetta-vegan/p/6863538,250g,3.0,3.25,,,dairy-products-eggs,butter-margarine,margarine
Le Beurre Pasteurized Butter in a Tub,/en/food/dairy-products-eggs/butter-margarine/cooking-butter-cooking-fat/le-beurre-pasteurized-butter-in-a-tub/p/3080192,250g,5.0,3.95,,,dairy-products-eggs,butter-margarine,cooking-butter-cooking-fat
Le Beurre Pasteurized Butter Stick,/en/food/dairy-products-eggs/butter-margarine/cooking-butter-cooking-fat/le-beurre-pasteurized-butter-stick/p/3081185,250g,5.0,3.45,,,dairy-products-eggs,butter-margarine,cooking-butter-cooking-fat
Le Marechal Cheesemaker Butter,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/le-marechal-cheesemaker-butter/p/4970774,150g,4.5,3.45,,,dairy-products-eggs,butter-margarine,unsalted-butter
Milco Traditional Butter,/en/food/dairy-products-eggs/butter-margarine/unsalted-butter/milco-traditional-butter/p/3877779,150g,4.5,3.95,,,dairy-products-eggs,butter-margarine,unsalted-butter
