title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Actimel Multifruit Yoghurt 4x115 g,/en/food/drinks/frozen-milk-drinks/yogurt-drinks-buttermilk/actimel-multifruit-yoghurt-4x115-g/p/6764961,460g,0.0,3.95,,,drinks,frozen-milk-drinks,yogurt-drinks-buttermilk
Actimel multifruit yoghurt drink 10x100g,/en/food/drinks/frozen-milk-drinks/probiotic-drinks/actimel-multifruit-yoghurt-drink-10x100g/p/6559657,1000g,4.5,8.25,,,drinks,frozen-milk-drinks,probiotic-drinks
Actimel Raspberry & Pomegranate Yoghurt 4x115g,/en/food/drinks/frozen-milk-drinks/yogurt-drinks-buttermilk/actimel-raspberry-pomegranate-yoghurt-4x115g/p/6764770,460g,0.0,3.95,,,drinks,frozen-milk-drinks,yogurt-drinks-buttermilk
Actimel strawberry yoghurt drink 10x100g,/en/food/drinks/frozen-milk-drinks/probiotic-drinks/actimel-strawberry-yoghurt-drink-10x100g/p/6346423,1000g,4.0,8.25,,,drinks,frozen-milk-drinks,probiotic-drinks
Alpro Almond Coffee Drink 2x  235ml,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/alpro-almond-coffee-drink/p/6345622,2x 235ml,4.0,4.6,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Alpro Caramel Soya Coffee Drink 2x  235ml,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/alpro-caramel-soya-coffee-drink/p/6345624,2x 235ml,4.0,4.6,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Alpro Protein Drink Chocolate 2x  1l,/en/food/drinks/frozen-milk-drinks/chocolate-milk-drinks/alpro-protein-drink-chocolate/p/6706775,2x 1l,4.0,6.6,,,drinks,frozen-milk-drinks,chocolate-milk-drinks
Benecol Special Blueberry Yogurt Drinks 12x65ml,/en/food/drinks/frozen-milk-drinks/probiotic-drinks/benecol-special-blueberry-yogurt-drinks-12x65ml/p/5748027,780ml,5.0,9.2,11.2,17%,drinks,frozen-milk-drinks,probiotic-drinks
Benecol Special Blueberry Yogurt Drinks 6x65ml,/en/food/drinks/frozen-milk-drinks/probiotic-drinks/benecol-special-blueberry-yogurt-drinks-6x65ml/p/4884972,390ml,4.5,5.6,,,drinks,frozen-milk-drinks,probiotic-drinks
Benecol Special Multi-Fruit Yogurt Drinks 6x65ml,/en/food/drinks/frozen-milk-drinks/probiotic-drinks/benecol-special-multi-fruit-yogurt-drinks-6x65ml/p/5876774,390ml,3.0,5.6,,,drinks,frozen-milk-drinks,probiotic-drinks
Benecol Special Strawberry Yogurt Drinks 12x65ml,/en/food/drinks/frozen-milk-drinks/probiotic-drinks/benecol-special-strawberry-yogurt-drinks-12x65ml/p/4827242,780ml,4.0,9.2,11.2,17%,drinks,frozen-milk-drinks,probiotic-drinks
Benecol Special Strawberry Yogurt Drinks 6x65ml,/en/food/drinks/frozen-milk-drinks/probiotic-drinks/benecol-special-strawberry-yogurt-drinks-6x65ml/p/3845535,390ml,4.5,5.6,,,drinks,frozen-milk-drinks,probiotic-drinks
Bifidus Berries Yoghurt no added sugar lactose-free,/en/food/drinks/frozen-milk-drinks/yogurt-drinks-buttermilk/bifidus-berries-yoghurt-no-added-sugar-lactose-free/p/6841778,,0.0,2.25,,,drinks,frozen-milk-drinks,yogurt-drinks-buttermilk
Bifidus Tropical Yoghurt no added sugar lactose-free,/en/food/drinks/frozen-milk-drinks/yogurt-drinks-buttermilk/bifidus-tropical-yoghurt-no-added-sugar-lactose-free/p/6841715,500ml,0.0,2.25,,,drinks,frozen-milk-drinks,yogurt-drinks-buttermilk
Caffè Lattesso Espresso Coffee 2x  250ml,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/caffe-lattesso-espresso-coffee/p/4419798,2x 250ml,5.0,4.8,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Caffè Lattesso Fit Coffee with Lactose Free Milk,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/caffe-lattesso-fit-coffee-with-lactose-free-milk/p/4656311,250ml,4.5,2.4,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Caffè Lattesso Macchiato Coffee,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/caffe-lattesso-macchiato-coffee/p/4419753,250ml,5.0,2.4,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Caffè Lattesso Zero,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/caffe-lattesso-zero/p/6852955,250ml,1.0,2.4,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Cailler Drink Choco Dream,/en/food/drinks/frozen-milk-drinks/chocolate-milk-drinks/cailler-drink-choco-dream/p/6631824,330ml,4.5,2.25,,,drinks,frozen-milk-drinks,chocolate-milk-drinks
Chiefs Banana Beach Protein Milk 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/chiefs-banana-beach-protein-milk/p/6548472,2x 330ml,5.0,5.9,,,drinks,frozen-milk-drinks,milkshakes-lassi
Chiefs Choco Mountain Milk Protein Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/chiefs-choco-mountain-milk-protein-drink/p/5668359,2x 330ml,5.0,5.9,,,drinks,frozen-milk-drinks,milkshakes-lassi
Chiefs Milk Protein Coffee County Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/chiefs-milk-protein-coffee-county-drink/p/5849496,2x 330ml,4.5,5.9,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Chiefs Protein Milk Limited Edition 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/chiefs-protein-milk-limited-edition/p/6706279,2x 330ml,4.0,5.9,,,drinks,frozen-milk-drinks,milkshakes-lassi
Chiefs Strawberry Protein Milk Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/yogurt-drinks-buttermilk/chiefs-strawberry-protein-milk-drink/p/6118987,2x 330ml,5.0,5.9,,,drinks,frozen-milk-drinks,yogurt-drinks-buttermilk
