title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Green Leek ca. 500g,/en/food/fruit-vegetables/more-vegetables/leek-fennel/green-leek-ca/p/3090931,500g,5.0,2.3,,,fruit-vegetables,more-vegetables,leek-fennel
Bio Champignons braun,/en/food/fruit-vegetables/more-vegetables/mushrooms/bio-champignons-braun/p/6086638,225g,5.0,3.95,,,fruit-vegetables,more-vegetables,mushrooms
Naturaplan Organic Zurich Region Shiitake Mushrooms ca. 100g,/en/food/fruit-vegetables/more-vegetables/mushrooms/naturaplan-organic-zurich-region-shiitake-mushrooms-ca/p/4825921,100g,5.0,3.2,,,fruit-vegetables,more-vegetables,mushrooms
Naturaplan Organic Shiitake Mushrooms ca. 100g,/en/food/fruit-vegetables/more-vegetables/mushrooms/naturaplan-organic-shiitake-mushrooms-ca/p/3090576,100g,5.0,3.2,,,fruit-vegetables,more-vegetables,mushrooms
Betty Bossi Squash Cubes,/en/food/fruit-vegetables/more-vegetables/prepared-vegetables/betty-bossi-squash-cubes/p/4542971,400g,5.0,3.95,,,fruit-vegetables,more-vegetables,prepared-vegetables
Rondini Zucchini ca. 500g,/en/food/fruit-vegetables/more-vegetables/courgettes-pumpkin-aubergines/rondini-zucchini-ca/p/6101149,500g,5.0,1.7,,,fruit-vegetables,more-vegetables,courgettes-pumpkin-aubergines
Mini Zucchini 200g,/en/food/fruit-vegetables/more-vegetables/courgettes-pumpkin-aubergines/mini-zucchini/p/3486335,200g,5.0,4.95,,,fruit-vegetables,more-vegetables,courgettes-pumpkin-aubergines
Champignons weiss,/en/food/fruit-vegetables/more-vegetables/mushrooms/champignons-weiss/p/5971337,300g,5.0,2.65,,,fruit-vegetables,more-vegetables,mushrooms
Naturaplan Organic Betty Bossi Spinach,/en/food/fruit-vegetables/more-vegetables/leaf-vegetables-artichokes/naturaplan-organic-betty-bossi-spinach/p/4986110,200g,5.0,4.5,,,fruit-vegetables,more-vegetables,leaf-vegetables-artichokes
Betty Bossi Squash Cubes,/en/food/fruit-vegetables/more-vegetables/prepared-vegetables/betty-bossi-squash-cubes/p/6133999,400g,5.0,3.3,,,fruit-vegetables,more-vegetables,prepared-vegetables
Assorted Sliced Mushrooms,/en/food/fruit-vegetables/more-vegetables/mushrooms/assorted-sliced-mushrooms/p/6300714,200g,5.0,6.95,,,fruit-vegetables,more-vegetables,mushrooms
Naturaplan Organic Zucchini,/en/food/fruit-vegetables/more-vegetables/courgettes-pumpkin-aubergines/naturaplan-organic-zucchini/p/3679182,500g,4.5,2.8,,,fruit-vegetables,more-vegetables,courgettes-pumpkin-aubergines
Zucchini ca. 500g,/en/food/fruit-vegetables/more-vegetables/courgettes-pumpkin-aubergines/zucchini-ca/p/3844219,500g,4.5,1.5,,,fruit-vegetables,more-vegetables,courgettes-pumpkin-aubergines
Aubergines ca. 500g,/en/food/fruit-vegetables/more-vegetables/courgettes-pumpkin-aubergines/aubergines-ca/p/3090945,500g,4.5,1.5,,,fruit-vegetables,more-vegetables,courgettes-pumpkin-aubergines
Fennel ca. 500g,/en/food/fruit-vegetables/more-vegetables/leek-fennel/fennel-ca/p/3090888,500g,4.5,1.5,,,fruit-vegetables,more-vegetables,leek-fennel
Betty Bossi Carrot Sticks,/en/food/fruit-vegetables/more-vegetables/prepared-vegetables/betty-bossi-carrot-sticks/p/4406602,400g,4.5,3.5,,,fruit-vegetables,more-vegetables,prepared-vegetables
Naturaplan Organic Green Asparagus,/en/food/fruit-vegetables/more-vegetables/asparagus/naturaplan-organic-green-asparagus/p/3433156,500g,4.5,9.95,,,fruit-vegetables,more-vegetables,asparagus
Naturaplan Organic White Mushrooms,/en/food/fruit-vegetables/more-vegetables/mushrooms/naturaplan-organic-white-mushrooms/p/6086635,225g,4.5,3.95,,,fruit-vegetables,more-vegetables,mushrooms
Betty Bossi Market Vegetables,/en/food/fruit-vegetables/more-vegetables/prepared-vegetables/betty-bossi-market-vegetables/p/4854250,250g,4.5,3.95,,,fruit-vegetables,more-vegetables,prepared-vegetables
Naturaplan Organic Green Beans,/en/food/fruit-vegetables/more-vegetables/sweetcorn-peas-beans/naturaplan-organic-green-beans/p/3689452,500g,4.5,4.95,,,fruit-vegetables,more-vegetables,sweetcorn-peas-beans
Coco Beans,/en/food/fruit-vegetables/more-vegetables/sweetcorn-peas-beans/coco-beans/p/4044837,500g,4.5,2.95,,,fruit-vegetables,more-vegetables,sweetcorn-peas-beans
Naturaplan Organic Fennel ca. 500g,/en/food/fruit-vegetables/more-vegetables/leek-fennel/naturaplan-organic-fennel-ca/p/6408582,500g,4.5,2.2,,,fruit-vegetables,more-vegetables,leek-fennel
Betty Bossi Shanghai Asian Wok,/en/food/fruit-vegetables/more-vegetables/prepared-vegetables/betty-bossi-shanghai-asian-wok/p/4981397,300g,4.5,5.3,,,fruit-vegetables,more-vegetables,prepared-vegetables
Naturaplan Organic Spinach,/en/food/fruit-vegetables/more-vegetables/leaf-vegetables-artichokes/naturaplan-organic-spinach/p/3409659,300g,4.5,6.5,,,fruit-vegetables,more-vegetables,leaf-vegetables-artichokes
Naturaplan Organic Oyster Mushrooms ca. 100g,/en/food/fruit-vegetables/more-vegetables/mushrooms/naturaplan-organic-oyster-mushrooms-ca/p/3673328,100g,4.5,2.95,,,fruit-vegetables,more-vegetables,mushrooms
Prix Garantie aubergines,/en/food/fruit-vegetables/more-vegetables/courgettes-pumpkin-aubergines/prix-garantie-aubergines/p/6507326,700g,4.5,1.9,,,fruit-vegetables,more-vegetables,courgettes-pumpkin-aubergines
Artichoke 1 Piece,/en/food/fruit-vegetables/more-vegetables/leaf-vegetables-artichokes/artichoke-1-piece/p/6293683,1PCE,4.5,1.95,,,fruit-vegetables,more-vegetables,leaf-vegetables-artichokes
Naturaplan organic aubergines approx. 500g,/en/food/fruit-vegetables/more-vegetables/courgettes-pumpkin-aubergines/naturaplan-organic-aubergines-approx/p/3396993,500g,4.5,2.1,,,fruit-vegetables,more-vegetables,courgettes-pumpkin-aubergines
BBQ Grill Sweetcorn,/en/food/fruit-vegetables/more-vegetables/sweetcorn-peas-beans/bbq-grill-sweetcorn/p/6374456,440g,4.5,2.95,,,fruit-vegetables,more-vegetables,sweetcorn-peas-beans
Mini Snow Peas,/en/food/fruit-vegetables/more-vegetables/sweetcorn-peas-beans/mini-snow-peas/p/4672571,250g,4.5,3.1,,,fruit-vegetables,more-vegetables,sweetcorn-peas-beans
Swiss Chard,/en/food/fruit-vegetables/more-vegetables/leaf-vegetables-artichokes/swiss-chard/p/6389403,500g,4.5,3.95,,,fruit-vegetables,more-vegetables,leaf-vegetables-artichokes
Green Beans,/en/food/fruit-vegetables/more-vegetables/sweetcorn-peas-beans/green-beans/p/3090917,500g,4.0,2.4,2.95,18%,fruit-vegetables,more-vegetables,sweetcorn-peas-beans
Green Asparagus,/en/food/fruit-vegetables/more-vegetables/asparagus/green-asparagus/p/3090915,1kg,4.0,9.1,,,fruit-vegetables,more-vegetables,asparagus
Betty Bossi Naturaplan Organic Grated Celeriac,/en/food/fruit-vegetables/more-vegetables/prepared-vegetables/betty-bossi-naturaplan-organic-grated-celeriac/p/4909489,230g,4.0,2.95,,,fruit-vegetables,more-vegetables,prepared-vegetables
Prix Garantie Fennel,/en/food/fruit-vegetables/more-vegetables/leek-fennel/prix-garantie-fennel/p/6554280,1kg,4.0,2.7,,,fruit-vegetables,more-vegetables,leek-fennel
Organic Green Leek,/en/food/fruit-vegetables/more-vegetables/leek-fennel/organic-green-leek/p/6530359,400g,4.0,4.95,,,fruit-vegetables,more-vegetables,leek-fennel
Leek,/en/food/fruit-vegetables/more-vegetables/leek-fennel/leek/p/6349353,420g,4.0,2.5,,,fruit-vegetables,more-vegetables,leek-fennel
Spargeln grün extra fein,/en/food/fruit-vegetables/more-vegetables/asparagus/spargeln-gruen-extra-fein/p/3377434,750g,4.0,10.4,,,fruit-vegetables,more-vegetables,asparagus
White Asparagus Tips,/en/food/fruit-vegetables/more-vegetables/asparagus/white-asparagus-tips/p/4128848,300g,4.0,7.95,,,fruit-vegetables,more-vegetables,asparagus
Mini Artichokes 4 Pieces,/en/food/fruit-vegetables/more-vegetables/leaf-vegetables-artichokes/mini-artichokes-4-pieces/p/3582348,1PCE,4.0,3.95,,,fruit-vegetables,more-vegetables,leaf-vegetables-artichokes
Naturaplan Organic Artichokes,/en/inspiration-gifts/culinary-journey/mediterranean/naturaplan-organic-artichokes/p/4240373,250g,4.0,2.2,,,culinary-journey,mediterranean,naturaplan-organic-artichokes
Naturaplan Organic Assorted Mushrooms,/en/food/fruit-vegetables/more-vegetables/mushrooms/naturaplan-organic-assorted-mushrooms/p/4904253,125g,4.0,5.95,,,fruit-vegetables,more-vegetables,mushrooms
White Asparagus env. 1kg,/en/food/fruit-vegetables/more-vegetables/asparagus/white-asparagus-env/p/3090911,1kg,3.5,15.95,,,fruit-vegetables,more-vegetables,asparagus
White Asparagus Tips,/en/food/fruit-vegetables/more-vegetables/asparagus/white-asparagus-tips/p/4025403,300g,3.5,4.9,,,fruit-vegetables,more-vegetables,asparagus
Bio Lauch grün ca. 500g,/en/food/fruit-vegetables/more-vegetables/leek-fennel/bio-lauch-gruen-ca/p/6324870,500g,3.5,4.5,,,fruit-vegetables,more-vegetables,leek-fennel
Extra Thin Green Asparagus ca. 500g,/en/food/fruit-vegetables/more-vegetables/asparagus/extra-thin-green-asparagus-ca/p/4126978,500g,3.5,6.95,,,fruit-vegetables,more-vegetables,asparagus
Brown mushrooms ca. 100g,/en/food/fruit-vegetables/more-vegetables/mushrooms/brown-mushrooms-ca/p/6824675,100g,3.5,0.95,,,fruit-vegetables,more-vegetables,mushrooms
Prix Garantie mushrooms,/en/food/fruit-vegetables/more-vegetables/mushrooms/prix-garantie-mushrooms/p/6767718,500g,3.5,2.0,,,fruit-vegetables,more-vegetables,mushrooms
Swiss Dried Beans,/en/food/fruit-vegetables/more-vegetables/sweetcorn-peas-beans/swiss-dried-beans/p/6431571,100g,3.0,4.5,,,fruit-vegetables,more-vegetables,sweetcorn-peas-beans
