title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Achva Halva Sesamstengel,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/achva-halva-sesamstengel/p/3001163,100g,5.0,1.95,,,sweets-snacks,crisps-snacks,cereal-bars
Ape Chilli Coco Puffs Snacks,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/flips-puff-chips/ape-chilli-coco-puffs-snacks/p/6623088,25g,4.5,1.95,,,sweets-snacks,crisps-snacks,crisps-popcorn
Balisto Chocolate & Apple Cereal Bars 8 Pieces,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-with-chocolate/balisto-chocolate-apple-cereal-bars-8-pieces/p/3616132,240g,4.0,4.2,,,sweets-snacks,crisps-snacks,cereal-bars
Balisto Chocolate Chip Cereal Bars 6 Pieces,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-with-chocolate/balisto-chocolate-chip-cereal-bars-6-pieces/p/3002747,156g,4.5,3.95,,,sweets-snacks,crisps-snacks,cereal-bars
Balisto Peanuts Cereal Bars  6 Pieces,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/balisto-peanuts-cereal-bars-6-pieces/p/3002746,156g,4.5,3.95,,,sweets-snacks,crisps-snacks,cereal-bars
Be-Kind Maple Glazed Pecan Sea Salt Bar 12x  40g,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/be-kind-maple-glazed-pecan-sea-salt-bar/p/6409614,12x 40g,4.0,35.4,,,sweets-snacks,crisps-snacks,cereal-bars
Be-Kind Peanut Butter Dark Chocolate Bar 12x  40g,/en/food/sweets-snacks/crisps-snacks/cereal-bars/be-kind-peanut-butter-dark-chocolate-bar/p/6409423,12x 40g,0.0,35.4,,,sweets-snacks,crisps-snacks,cereal-bars
BE-KIND Protein Crunchy Peanut Butter,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/be-kind-protein-crunchy-peanut-butter/p/6622772,50g,4.0,3.5,,,sweets-snacks,crisps-snacks,cereal-bars
BE-KIND Protein Dark Chocolate Nut,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/be-kind-protein-dark-chocolate-nut/p/6622771,50g,4.0,3.5,,,sweets-snacks,crisps-snacks,cereal-bars
Camille Bloch So Nuts Coffee,/en/food/sweets-snacks/crisps-snacks/salted-nuts/almonds-pistachios/camille-bloch-so-nuts-coffee/p/6809384,120g,5.0,3.85,,,sweets-snacks,crisps-snacks,salted-nuts
Chiefs Protein Bar Crispy Cookie,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/chiefs-protein-bar-crispy-cookie/p/6807847,165g,5.0,7.95,,,sweets-snacks,crisps-snacks,cereal-bars
Chiefs Protein Bar Strawberry,/en/food/sweets-snacks/health-and-sports/proteins/chiefs-protein-bar-strawberry/p/6822719,55g,4.5,2.95,,,sweets-snacks,health-and-sports,proteins
Chio Jumpy's sunny Paprika,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/flips-puff-chips/chio-jumpy-s-sunny-paprika/p/3376576,100g,5.0,2.5,,,sweets-snacks,crisps-snacks,crisps-popcorn
Chio Maxi Mix Snacks,/en/food/sweets-snacks/crisps-snacks/savoury-snacks-breadsticks/savoury-snacks/chio-maxi-mix-snacks/p/3152086,250g,4.0,3.4,,,sweets-snacks,crisps-snacks,savoury-snacks-breadsticks
Chio Maxi Mix Snacks,/en/food/sweets-snacks/crisps-snacks/savoury-snacks-breadsticks/savoury-snacks/chio-maxi-mix-snacks/p/6535707,1000g,0.0,9.95,,,sweets-snacks,crisps-snacks,savoury-snacks-breadsticks
Chio Minions Maissticks,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/flips-puff-chips/chio-minions-maissticks/p/6032731,75g,5.0,1.95,,,sweets-snacks,crisps-snacks,crisps-popcorn
Chio Nacho Tortilla Chips with Cheese,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/nachos-graneos/chio-nacho-tortilla-chips-with-cheese/p/3526862,125g,5.0,2.6,,,sweets-snacks,crisps-snacks,crisps-popcorn
Chio Ovenchips Paprika,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/paprika-chili-crisps/chio-ovenchips-paprika/p/4420533,150g,4.5,3.95,,,sweets-snacks,crisps-snacks,crisps-popcorn
Chio Oven Chips Sour Cream,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/vinegar-seasonnings-crisps/chio-oven-chips-sour-cream/p/4420536,150g,4.5,3.95,,,sweets-snacks,crisps-snacks,crisps-popcorn
Chio Oven Jumpys Seasalt,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/plain-crisps/chio-oven-jumpys-seasalt/p/6638067,90g,5.0,2.5,,,sweets-snacks,crisps-snacks,crisps-popcorn
Chio Party Mix Snacks,/en/food/sweets-snacks/crisps-snacks/savoury-snacks-breadsticks/savoury-snacks/chio-party-mix-snacks/p/3396006,200g,5.0,2.7,,,sweets-snacks,crisps-snacks,savoury-snacks-breadsticks
Chio Peanut Flips,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/flips-puff-chips/chio-peanut-flips/p/3154045,200g,5.0,1.95,,,sweets-snacks,crisps-snacks,crisps-popcorn
Chio Pom-Bär Original Puffed Potato Bears 6x25g,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/flips-puff-chips/chio-pom-baer-original-puffed-potato-bears-6x25g/p/4252647,150g,5.0,3.95,,,sweets-snacks,crisps-snacks,crisps-popcorn
Chio Wild Paprika Flavoured Tortilla Chips,/en/food/sweets-snacks/crisps-snacks/crisps-popcorn/nachos-graneos/chio-wild-paprika-flavoured-tortilla-chips/p/3530741,125g,5.0,2.6,,,sweets-snacks,crisps-snacks,crisps-popcorn
CLIF BAR blueberry crisp,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/clif-bar-blueberry-crisp/p/6089723,68g,0.0,2.95,,,sweets-snacks,crisps-snacks,cereal-bars
CLIF BAR crunchy peanut butter,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/clif-bar-crunchy-peanut-butter/p/6089699,68g,0.0,2.95,,,sweets-snacks,crisps-snacks,cereal-bars
CLIF BAR Peanut Butter,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/clif-bar-peanut-butter/p/6618503,50g,4.5,3.2,,,sweets-snacks,crisps-snacks,cereal-bars
