title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
4 Fruit Jam,/en/food/inventories/spreads/jam/mixed-fruit/4-fruit-jam/p/6323429,460g,4.5,1.95,,,inventories,spreads,jam
Akazienhonig,/en/food/inventories/spreads/honey/akazienhonig/p/5753966,550g,4.0,8.6,,,inventories,spreads,honey
Apimiel Chestnut Honey,/en/food/inventories/spreads/honey/apimiel-chestnut-honey/p/6453334,250g,0.0,8.95,,,inventories,spreads,honey
Apimiel Swiss Honey,/en/food/inventories/spreads/honey/apimiel-swiss-honey/p/4420305,250g,4.5,8.5,,,inventories,spreads,honey
Apimiel Swiss Honey,/en/food/inventories/spreads/honey/apimiel-swiss-honey/p/4420306,500g,4.5,15.95,,,inventories,spreads,honey
Apimiel Tuscan Honey,/en/food/inventories/spreads/honey/apimiel-tuscan-honey/p/3411351,500g,4.0,10.5,,,inventories,spreads,honey
Apricot Jam,/en/food/inventories/spreads/jam/apricot-peach/apricot-jam/p/6323260,460g,3.5,2.5,,,inventories,spreads,jam
Argeta Chicken Paté Spread,/en/food/inventories/spreads/salty-spreads/argeta-chicken-pate-spread/p/3659757,95g,4.5,1.75,,,inventories,spreads,salty-spreads
Argeta Halal Chicken Pâté,/en/food/inventories/spreads/salty-spreads/argeta-halal-chicken-pate/p/5903005,95g,3.5,1.8,,,inventories,spreads,salty-spreads
Argeta Halal Orient Poultry Spread,/en/food/inventories/spreads/salty-spreads/argeta-halal-orient-poultry-spread/p/6367061,95g,4.0,1.95,,,inventories,spreads,salty-spreads
Argeta Hühnerfleisch Kiki Creme Junior,/en/food/inventories/spreads/salty-spreads/argeta-huehnerfleisch-kiki-creme-junior/p/6766907,95g,0.0,1.85,,,inventories,spreads,salty-spreads
Argeta Junior Chicken Pâté,/en/food/inventories/spreads/salty-spreads/argeta-junior-chicken-pate/p/5902910,95g,5.0,1.85,,,inventories,spreads,salty-spreads
Argeta Spicy Chicken Pate,/en/food/inventories/spreads/salty-spreads/argeta-spicy-chicken-pate/p/4686229,95g,4.0,1.8,,,inventories,spreads,salty-spreads
Argeta Tuna Paté,/en/food/inventories/spreads/salty-spreads/argeta-tuna-pate/p/3843171,95g,4.5,1.95,,,inventories,spreads,salty-spreads
Assorted Jam Portions 6x25g,/en/food/inventories/spreads/jam/jam-portions/assorted-jam-portions-6x25g/p/6367600,150g,2.0,2.4,,,inventories,spreads,jam
Betty Bossi Redcurrant Jelly,/en/food/inventories/spreads/jam/forest-garden-berries/betty-bossi-redcurrant-jelly/p/4943396,475g,3.0,3.5,,,inventories,spreads,jam
Bio Blütenhonig cremig,/en/food/inventories/spreads/honey/bio-bluetenhonig-cremig/p/6834857,500g,5.0,5.95,,,inventories,spreads,honey
Bitter Orange Jam,/en/food/inventories/spreads/jam/citrus-fruit-exotic-fruit/bitter-orange-jam/p/6323453,460g,4.0,1.95,,,inventories,spreads,jam
Blackberry Jam,/en/food/inventories/spreads/jam/forest-garden-berries/blackberry-jam/p/6323427,460g,4.5,2.5,,,inventories,spreads,jam
Black Cherry Jam,/en/food/inventories/spreads/jam/forest-garden-berries/black-cherry-jam/p/6323424,460g,4.5,3.3,,,inventories,spreads,jam
Blueberry Jam,/en/food/inventories/spreads/jam/forest-garden-berries/blueberry-jam/p/6323426,460g,4.5,3.5,,,inventories,spreads,jam
Bonne Maman Apricot Jam,/en/food/inventories/spreads/jam/apricot-peach/bonne-maman-apricot-jam/p/3032076,370g,4.5,3.95,,,inventories,spreads,jam
Bonne Maman Bitter Orange Jam,/en/food/inventories/spreads/jam/citrus-fruit-exotic-fruit/bonne-maman-bitter-orange-jam/p/3030587,370g,4.5,3.95,,,inventories,spreads,jam
Bonne Maman Blackberry Jam,/en/food/inventories/spreads/jam/forest-garden-berries/bonne-maman-blackberry-jam/p/6485056,370g,5.0,4.5,,,inventories,spreads,jam
Bonne Maman Black Cherry Jam,/en/food/inventories/spreads/jam/mixed-fruit/bonne-maman-black-cherry-jam/p/3031334,370g,4.5,4.95,,,inventories,spreads,jam
Bonne Maman Blackcurrant Jam,/en/food/inventories/spreads/jam/forest-garden-berries/bonne-maman-blackcurrant-jam/p/3032334,370g,4.5,3.95,,,inventories,spreads,jam
Bonne Maman Blueberry Jam,/en/food/inventories/spreads/jam/forest-garden-berries/bonne-maman-blueberry-jam/p/3030415,370g,4.5,4.95,,,inventories,spreads,jam
Bonne Maman Cherry Intense Jam,/en/food/inventories/spreads/jam/mixed-fruit/bonne-maman-cherry-intense-jam/p/6862866,335g,0.0,4.95,,,inventories,spreads,jam
Bonne Maman Chestnut Jam,/en/food/inventories/spreads/jam/mixed-fruit/bonne-maman-chestnut-jam/p/3030414,370g,4.5,4.5,,,inventories,spreads,jam
Bonne Maman Hazelnut Spread,/en/food/inventories/spreads/other-sweet-spreads/bonne-maman-hazelnut-spread/p/6799562,360g,5.0,5.95,,,inventories,spreads,other-sweet-spreads
Bonne Maman Intense Apricot Jam,/en/food/inventories/spreads/jam/apricot-peach/bonne-maman-intense-apricot-jam/p/6254400,335g,4.5,4.95,,,inventories,spreads,jam
Bonne Maman Intense Blueberry Jam,/en/food/inventories/spreads/jam/forest-garden-berries/bonne-maman-intense-blueberry-jam/p/6254398,335g,5.0,4.95,,,inventories,spreads,jam
Bonne Maman Intense Mirabelle Jam,/en/food/inventories/spreads/jam/mixed-fruit/bonne-maman-intense-mirabelle-jam/p/6387658,335g,0.0,4.95,,,inventories,spreads,jam
