title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Bio Eier Schweiz 10 ST 53g+,/en/food/dairy-products-eggs/eggs/raw-eggs/bio-eier-schweiz-10-st-53g/p/6622051,10PCE,5.0,7.95,,,dairy-products-eggs,eggs,raw-eggs
Free Range Easter Eggs 53g+ 12 Pieces,/en/food/dairy-products-eggs/eggs/hard-boiled-eggs/free-range-easter-eggs-53g-12-pieces/p/6352671,12PCE,5.0,7.8,,,dairy-products-eggs,eggs,hard-boiled-eggs
Naturafarm Easter Free Range Eggs 53g+ 6 Pieces,/en/food/dairy-products-eggs/eggs/hard-boiled-eggs/naturafarm-easter-free-range-eggs-53g-6-pieces/p/3532715,6PCE,4.5,4.95,,,dairy-products-eggs,eggs,hard-boiled-eggs
Naturafarm free-range Easter eggs 4 eggs,/en/food/dairy-products-eggs/eggs/hard-boiled-eggs/naturafarm-free-range-easter-eggs-4-eggs/p/3462939,4PCE,4.0,3.35,,,dairy-products-eggs,eggs,hard-boiled-eggs
Naturafarm Free Range Eggs 53g+ 10 Pieces,/en/food/dairy-products-eggs/eggs/raw-eggs/naturafarm-free-range-eggs-53g-10-pieces/p/3407653,10PCE,5.0,5.95,,,dairy-products-eggs,eggs,raw-eggs
Naturafarm Free Range Eggs 53g+ 6 Pieces,/en/food/dairy-products-eggs/eggs/raw-eggs/naturafarm-free-range-eggs-53g-6-pieces/p/3080069,6PCE,4.5,3.95,,,dairy-products-eggs,eggs,raw-eggs
Naturafarm Free Range Eggs 63g+ 4 Pieces,/en/food/dairy-products-eggs/eggs/raw-eggs/naturafarm-free-range-eggs-63g-4-pieces/p/3080733,4PCE,5.0,2.95,,,dairy-products-eggs,eggs,raw-eggs
Naturafarm Free Range Eggs 70g+ 6 Pieces,/en/food/dairy-products-eggs/eggs/raw-eggs/naturafarm-free-range-eggs-70g-6-pieces/p/3758902,6PCE,5.0,4.95,,,dairy-products-eggs,eggs,raw-eggs
Naturafarm Kunst Easter Free Range Eggs 53g+ 6 Pieces,/en/food/dairy-products-eggs/eggs/hard-boiled-eggs/naturafarm-kunst-easter-free-range-eggs-53g-6-pieces/p/4274528,6PCE,0.0,5.25,,,dairy-products-eggs,eggs,hard-boiled-eggs
Naturaplan Bio Picnic eggs 50 g+ with Herbamare 2 eggs,/en/food/dairy-products-eggs/eggs/hard-boiled-eggs/naturaplan-bio-picnic-eggs-50-g-with-herbamare-2-eggs/p/6767454,2PCE,4.0,2.95,,,dairy-products-eggs,eggs,hard-boiled-eggs
Naturaplan organic Easter eggs Switzerland 50g+ 6 eggs,/en/food/dairy-products-eggs/eggs/hard-boiled-eggs/naturaplan-organic-easter-eggs-switzerland-50g-6-eggs/p/4937203,6PCE,5.0,5.8,,,dairy-products-eggs,eggs,hard-boiled-eggs
Naturaplan Organic Free Range Eggs 45g+ 6 Pieces,/en/food/dairy-products-eggs/eggs/raw-eggs/naturaplan-organic-free-range-eggs-45g-6-pieces/p/4849796,6PCE,5.0,5.95,,,dairy-products-eggs,eggs,raw-eggs
