title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Arbi Cleaned Frozen Calamari,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/arbi-cleaned-frozen-calamari/p/3447845,400g,4.5,7.5,,,frozen,meat-fish,fish-seafood
Arbi Condiscampi Sugo mare ASC & MSC,/en/food/frozen/meat-fish/fish-seafood/arbi-condiscampi-sugo-mare-asc-msc/p/6823082,450g,0.0,6.2,,,frozen,meat-fish,fish-seafood
Arbi Condi Vongola MSC,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/arbi-condi-vongola-msc/p/6808963,450g,0.0,6.2,,,frozen,meat-fish,fish-seafood
Arbi Fritto Misto MSC/ASC,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/arbi-fritto-misto-mscasc/p/6728381,250g,5.0,6.2,,,frozen,meat-fish,fish-seafood
Arbi Frozen Octopus,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/arbi-frozen-octopus/p/3447907,500g,5.0,10.95,,,frozen,meat-fish,fish-seafood
Arbi Misto scoglio ASC & MSC,/en/food/frozen/meat-fish/fish-seafood/arbi-misto-scoglio-asc-msc/p/6847386,300g,0.0,5.95,,,frozen,meat-fish,fish-seafood
ASC Salmon Fillets,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/asc-salmon-fillets/p/6466912,250g,4.5,7.95,,,frozen,meat-fish,fish-seafood
ASC Salmon Fillets,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/asc-salmon-fillets/p/6460763,1000g,4.0,18.95,31.8,40%,frozen,meat-fish,fish-seafood
ASC Shelled Raw Shrimp,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/asc-shelled-raw-shrimp/p/6608727,600g,4.0,19.95,,,frozen,meat-fish,fish-seafood
ASC Shrimp,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/asc-shrimp/p/6608741,600g,5.0,19.95,,,frozen,meat-fish,fish-seafood
Bell Angus Burgers 2 Pieces,/en/food/frozen/meat-fish/meat-poultry/meat-products/bell-angus-burgers-2-pieces/p/6543159,250g,5.0,8.6,,,frozen,meat-fish,meat-poultry
Bell breaded chicken nuggets,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/bell-breaded-chicken-nuggets/p/6757970,300g,5.0,7.95,,,frozen,meat-fish,meat-poultry
Bell Simmentaler Burgers 2 Pieces,/en/food/frozen/meat-fish/meat-poultry/meat-products/bell-simmentaler-burgers-2-pieces/p/6543155,250g,4.5,8.6,,,frozen,meat-fish,meat-poultry
Breaded cod fillet chunks,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/breaded-cod-fillet-chunks/p/6767696,1000g,0.0,13.2,22.0,40%,frozen,meat-fish,fish-seafood
Breaded cod fillet chunks,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/breaded-cod-fillet-chunks/p/6767693,400g,0.0,8.8,,,frozen,meat-fish,fish-seafood
Calamari Rings ca. 250g,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/calamari-rings-ca/p/4386232,250g,4.5,6.85,,,frozen,meat-fish,fish-seafood
Chicken Breast,/en/food/frozen/meat-fish/meat-poultry/chicken-breast/p/6644873,1000g,5.0,14.6,,,frozen,meat-fish,meat-poultry
Chicken Breast,/en/food/frozen/meat-fish/meat-poultry/meat-products/chicken-breast/p/6644874,1500g,0.0,14.95,21.9,31%,frozen,meat-fish,meat-poultry
Chicken Nuggets,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/chicken-nuggets/p/6663082,500g,2.0,9.6,,,frozen,meat-fish,meat-poultry
Chicken Pops with Chili Sauce,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/chicken-pops-with-chili-sauce/p/6606277,350g,0.0,6.95,,,frozen,meat-fish,meat-poultry
Chicken schnitzel,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/chicken-schnitzel/p/6716823,1000g,4.0,14.95,,,frozen,meat-fish,meat-poultry
Coconut Crevetten ASC,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/coconut-crevetten-asc/p/6392086,275g,3.5,7.95,,,frozen,meat-fish,fish-seafood
Crispy chicken,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/crispy-chicken/p/6716825,770g,0.0,11.6,,,frozen,meat-fish,meat-poultry
Crunchy Chicken Nuggets,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/crunchy-chicken-nuggets/p/5858586,350g,4.5,8.6,,,frozen,meat-fish,meat-poultry
Crunchy shrimps ASC,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/crunchy-shrimps-asc/p/6608747,300g,4.0,7.95,,,frozen,meat-fish,fish-seafood
Curry Chicken Balls,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/curry-chicken-balls/p/6587382,250g,4.0,4.8,,,frozen,meat-fish,meat-poultry
Escal Frozen Snails 24 Pieces,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/escal-frozen-snails-24-pieces/p/5679289,194g,4.5,12.95,,,frozen,meat-fish,fish-seafood
FdG Jakobsnüsse überbacken,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/fdg-jakobsnuesse-ueberbacken/p/6802205,220g,5.0,6.8,,,frozen,meat-fish,fish-seafood
Findus Alaska Pollock Fish Sticks 15 Pieces,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/findus-alaska-pollock-fish-sticks-15-pieces/p/3349114,450g,4.5,5.4,,,frozen,meat-fish,fish-seafood
Findus Alaska Pollock Fish Sticks 24 Pieces,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/findus-alaska-pollock-fish-sticks-24-pieces/p/3276724,720g,5.0,8.4,,,frozen,meat-fish,fish-seafood
Findus Alpine Trout ASC,/en/food/frozen/meat-fish/fish-seafood/findus-alpine-trout-asc/p/6820926,240g,0.0,9.95,,,frozen,meat-fish,fish-seafood
Findus Crunchy-Coated Fish Fingers MSC,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/findus-crunchy-coated-fish-fingers-msc/p/6825339,480g,0.0,9.7,,,frozen,meat-fish,fish-seafood
Findus Frozen ASC Norwegian Fjord Salmon,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/findus-frozen-asc-norwegian-fjord-salmon/p/6655271,240g,4.0,11.95,,,frozen,meat-fish,fish-seafood
Findus Frozen Beef Farmburgers 4 Pieces,/en/food/frozen/meat-fish/meat-poultry/meat-products/findus-frozen-beef-farmburgers-4-pieces/p/3010497,360g,4.5,9.5,,,frozen,meat-fish,meat-poultry
Findus Frozen Bordelaise Oven Baked Fish,/en/food/frozen/meat-fish/fish-seafood/fish-dishes/findus-frozen-bordelaise-oven-baked-fish/p/3682005,400g,4.5,9.5,,,frozen,meat-fish,fish-seafood
Findus Frozen Chicken Nuggets,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/findus-frozen-chicken-nuggets/p/5653696,300g,4.0,9.5,,,frozen,meat-fish,meat-poultry
Findus Frozen Crispy Fillets MSC,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/findus-frozen-crispy-fillets-msc/p/6034535,300g,4.0,6.95,,,frozen,meat-fish,fish-seafood
Findus Frozen Fish Fillets with Seeds,/en/food/frozen/meat-fish/fish-seafood/fish-dishes/findus-frozen-fish-fillets-with-seeds/p/6034496,340g,4.5,7.7,,,frozen,meat-fish,fish-seafood
Findus Frozen Fish Nuggets,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/findus-frozen-fish-nuggets/p/6279967,400g,4.0,6.6,,,frozen,meat-fish,fish-seafood
Findus Frozen Julienne Oven Baked Fish,/en/food/frozen/meat-fish/fish-seafood/fish-dishes/findus-frozen-julienne-oven-baked-fish/p/3682100,450g,4.5,9.95,,,frozen,meat-fish,fish-seafood
Findus Frozen MSC Atlantic Cod,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/findus-frozen-msc-atlantic-cod/p/6655230,350g,4.0,11.95,,,frozen,meat-fish,fish-seafood
Findus Frozen MSC Fish Sticks 10 Pieces,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/findus-frozen-msc-fish-sticks-10-pieces/p/3682000,300g,5.0,6.5,,,frozen,meat-fish,fish-seafood
Findus Frozen Provençal Oven Baked Fish,/en/food/frozen/meat-fish/fish-seafood/fish-dishes/findus-frozen-provencal-oven-baked-fish/p/3640114,200g,4.5,5.6,,,frozen,meat-fish,fish-seafood
Findus GC Seastyle Sticks,/en/food/frozen/meat-fish/fish-seafood/fish-dishes/findus-gc-seastyle-sticks/p/6878716,400g,0.0,5.95,,,frozen,meat-fish,fish-seafood
Findus MSC Perch Fish Sticks,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/findus-msc-perch-fish-sticks/p/6472918,230g,5.0,9.95,,,frozen,meat-fish,fish-seafood
Findus Peru Oven Fillet,/en/food/frozen/meat-fish/fish-seafood/fish-dishes/findus-peru-oven-fillet/p/6878715,400g,0.0,9.95,,,frozen,meat-fish,fish-seafood
Findus Thai Oven Fillet,/en/food/frozen/meat-fish/fish-seafood/findus-thai-oven-fillet/p/6878714,400g,0.0,9.95,,,frozen,meat-fish,fish-seafood
Fine Food Frozen Beefsteak Tartar 2 Pieces,/en/food/frozen/meat-fish/meat-poultry/meat-products/fine-food-frozen-beefsteak-tartar-2-pieces/p/3541146,260g,4.5,14.95,,,frozen,meat-fish,meat-poultry
Free From Chicken Nuggets,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/free-from-chicken-nuggets/p/6591534,500g,5.0,8.6,,,frozen,meat-fish,meat-poultry
Free From Frozen Gluten & Lactose Free MSC Fish Sticks 10 Pieces,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/free-from-frozen-gluten-lactose-free-msc-fish-sticks-10-pieces/p/4803854,300g,4.5,3.95,,,frozen,meat-fish,fish-seafood
Frozen Beef Hamburgers 8 Pieces,/en/food/frozen/meat-fish/meat-poultry/meat-products/frozen-beef-hamburgers-8-pieces/p/5653427,640g,4.0,11.95,,,frozen,meat-fish,meat-poultry
Frozen Bordelaise Oven Baked Fish,/en/food/frozen/meat-fish/fish-seafood/fish-dishes/frozen-bordelaise-oven-baked-fish/p/5853402,400g,4.5,5.95,,,frozen,meat-fish,fish-seafood
Frozen Chicken Liver,/en/food/frozen/meat-fish/meat-poultry/meat-products/frozen-chicken-liver/p/3471672,350g,4.5,3.5,,,frozen,meat-fish,meat-poultry
Frozen Deep Fried Squid Rings,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/frozen-deep-fried-squid-rings/p/4170344,250g,4.5,3.5,,,frozen,meat-fish,fish-seafood
Frozen Hake MSC Fish Sticks,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/frozen-hake-msc-fish-sticks/p/4959593,450g,4.5,2.95,,,frozen,meat-fish,fish-seafood
Frozen Hamburgers 30 Pieces,/en/food/frozen/meat-fish/meat-poultry/meat-products/frozen-hamburgers-30-pieces/p/5714220,2.4kg,3.0,22.0,44.8,50%,frozen,meat-fish,meat-poultry
Frozen Mini Meatballs,/en/food/frozen/meat-fish/meat-poultry/meat-products/frozen-mini-meatballs/p/4382808,400g,5.0,9.6,,,frozen,meat-fish,meat-poultry
Frozen MSC Alaskan Pollock Fillets,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/frozen-msc-alaskan-pollock-fillets/p/5865394,1000g,4.5,9.95,,,frozen,meat-fish,fish-seafood
Frozen MSC Cod Fish Sticks 10 Pieces,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/frozen-msc-cod-fish-sticks-10-pieces/p/5884468,300g,3.5,3.75,,,frozen,meat-fish,fish-seafood
Frozen MSC Pacific Cod Fillets,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/frozen-msc-pacific-cod-fillets/p/5866033,1200g,2.5,17.6,29.4,40%,frozen,meat-fish,fish-seafood
Frozen MSC Pacific Cod Fillets 2 Pieces,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/frozen-msc-pacific-cod-fillets-2-pieces/p/5865395,250g,4.5,6.5,,,frozen,meat-fish,fish-seafood
Frozen MSC Plaice Fish Sticks 2 Pieces,/en/food/frozen/meat-fish/fish-seafood/breaded-fish/frozen-msc-plaice-fish-sticks-2-pieces/p/4480693,200g,4.5,3.25,,,frozen,meat-fish,fish-seafood
Frozen Pangasius Fillets,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/frozen-pangasius-fillets/p/5950489,900g,4.5,9.95,,,frozen,meat-fish,fish-seafood
Frozen Provençale Oven Bake MSC Fish,/en/food/frozen/meat-fish/fish-seafood/fish-dishes/frozen-provencale-oven-bake-msc-fish/p/5885581,400g,4.0,7.2,,,frozen,meat-fish,fish-seafood
Frozen Raw Chicken Thighs,/en/food/frozen/meat-fish/meat-poultry/meat-products/frozen-raw-chicken-thighs/p/3010527,1500g,4.5,12.95,,,frozen,meat-fish,meat-poultry
Frozen Seafood Cocktail,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/frozen-seafood-cocktail/p/4359045,400g,4.5,9.95,,,frozen,meat-fish,fish-seafood
Gold Star BT Tail-on Shrimps ASC,/en/food/frozen/meat-fish/fish-seafood/gold-star-bt-tail-on-shrimps-asc/p/6608360,800g,0.0,39.95,,,frozen,meat-fish,fish-seafood
Gold Star Doraden ganz ASC,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/gold-star-doraden-ganz-asc/p/6691997,1000g,4.5,14.95,,,frozen,meat-fish,fish-seafood
Gold Star Vongole MSC,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/gold-star-vongole-msc/p/5991057,1kg,5.0,6.75,,,frozen,meat-fish,fish-seafood
JaMaDu Frozen Animal Chicken Nuggets 8 Pieces,/en/food/frozen/meat-fish/meat-poultry/breaded-meat/jamadu-frozen-animal-chicken-nuggets-8-pieces/p/4907967,320g,4.0,7.8,,,frozen,meat-fish,meat-poultry
Kalmarringe natur,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/kalmarringe-natur/p/4374973,600g,5.0,12.95,,,frozen,meat-fish,fish-seafood
Mövenpick Frozen Beef Tartar 2 Portions,/en/food/frozen/meat-fish/meat-poultry/meat-products/moevenpick-frozen-beef-tartar-2-portions/p/5860452,380g,5.0,14.95,,,frozen,meat-fish,meat-poultry
MSC Cocktail Shrimp,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/msc-cocktail-shrimp/p/6460762,800g,5.0,16.95,,,frozen,meat-fish,fish-seafood
MSC Frozen Scallops,/en/food/frozen/meat-fish/fish-seafood/shellfish-seafood/msc-frozen-scallops/p/5654876,300g,4.0,16.95,,,frozen,meat-fish,fish-seafood
MSC Pacific Cod Fillets,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/msc-pacific-cod-fillets/p/6361086,400g,4.5,9.8,,,frozen,meat-fish,fish-seafood
MSC Perch Fillet with Skin,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/msc-perch-fillet-with-skin/p/6329703,300g,3.0,8.8,,,frozen,meat-fish,fish-seafood
MSC Plaice Fillets,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/msc-plaice-fillets/p/3938888,300g,5.0,6.2,,,frozen,meat-fish,fish-seafood
MSC Tuna Steak,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/msc-tuna-steak/p/6689616,250g,5.0,7.5,,,frozen,meat-fish,fish-seafood
MSC Wild Sockeye Salmon,/en/food/frozen/meat-fish/fish-seafood/whole-fish-fillets/msc-wild-sockeye-salmon/p/6605285,250g,5.0,8.5,,,frozen,meat-fish,fish-seafood
