title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Agustson Lumpfish Roe MSC,/en/food/meat-fish/packaged-fish/fish-specialities-roe/agustson-lumpfish-roe-msc/p/6807260,50g,1.0,3.5,,,meat-fish,packaged-fish,fish-specialities-roe
Agustson Trout Roe ASC,/en/food/meat-fish/packaged-fish/fish-specialities-roe/agustson-trout-roe-asc/p/6807312,50g,0.0,5.95,,,meat-fish,packaged-fish,fish-specialities-roe
Alaskan Pollock MSC breaded,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/alaskan-pollock-msc-breaded/p/6756920,110g,0.0,4.95,,,meat-fish,packaged-fish,packaged-fresh-fish
Arbi prawn tails ASC,/en/food/meat-fish/packaged-fish/shellfish-seafood/arbi-prawn-tails-asc/p/6823084,200g,0.0,8.2,,,meat-fish,packaged-fish,shellfish-seafood
ASC Asian Shrimp,/en/food/meat-fish/packaged-fish/shellfish-seafood/asc-asian-shrimp/p/6358291,100g,0.0,6.5,,,meat-fish,packaged-fish,shellfish-seafood
ASC Breaded Torpedos Shrimp 10 Pieces,/en/food/meat-fish/packaged-fish/shellfish-seafood/asc-breaded-torpedos-shrimp-10-pieces/p/6699326,540g,0.0,14.9,21.3,30%,meat-fish,packaged-fish,shellfish-seafood
ASC Cooked Shrimp 41-60 Pieces 200g,/en/food/meat-fish/packaged-fish/shellfish-seafood/asc-cooked-shrimp-41-60-pieces/p/6561238,200g,0.0,9.3,,,meat-fish,packaged-fish,shellfish-seafood
ASC Emicé de saumon env. 195g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-emice-de-saumon-env/p/6875498,195g,0.0,5.75,,,meat-fish,packaged-fish,packaged-fresh-fish
ASC Fil. de saumon s/p 2x200g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-fil-de-saumon-sp-2x200g/p/6876570,400g,0.0,14.95,21.6,30%,meat-fish,packaged-fish,packaged-fresh-fish
ASC Fil de saumon a/p,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-fil-de-saumon-ap/p/6876499,140g,0.0,7.5,,,meat-fish,packaged-fish,packaged-fresh-fish
"ASC Fil de saumon royal,env. 240g",/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-fil-de-saumon-royalenv/p/6876492,240g,0.0,16.4,,,meat-fish,packaged-fish,packaged-fresh-fish
ASC Filet de saumon env. 250g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-filet-de-saumon-env/p/6875495,250g,0.0,13.5,,,meat-fish,packaged-fish,packaged-fresh-fish
ASC Fil saumone a/p citron-thym.env. 280g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-fil-saumone-ap-citron-thymenv/p/6830594,280g,0.0,15.4,,,meat-fish,packaged-fish,packaged-fresh-fish
ASC no. 3 Cooked Whole Shrimp ca. 250g,/en/food/meat-fish/packaged-fish/shellfish-seafood/asc-no-3-cooked-whole-shrimp-ca/p/6724389,250g,4.0,8.0,,,meat-fish,packaged-fish,shellfish-seafood
ASC Papillote salmon 2x100g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-papillote-salmon-2x100g/p/6805802,100g,0.0,6.95,,,meat-fish,packaged-fish,packaged-fresh-fish
ASC Salmon Trout Fillet ca. 185g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-salmon-trout-fillet-ca/p/4936834,185g,4.5,6.65,,,meat-fish,packaged-fish,packaged-fresh-fish
ASC saumon flammemar.,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-saumon-flammemar/p/6881540,100g,0.0,7.95,,,meat-fish,packaged-fish,packaged-fresh-fish
ASC Sea Bass with Skin ca. 225g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/asc-sea-bass-with-skin-ca/p/6665830,225g,4.0,8.85,,,meat-fish,packaged-fish,packaged-fresh-fish
ASC Trout Fillet with Sun Dried Tomatoes,/en/food/meat-fish/packaged-fish/smoked-fish/asc-trout-fillet-with-sun-dried-tomatoes/p/5912406,125g,5.0,3.95,,,meat-fish,packaged-fish,smoked-fish
Bell ASC fil. saumon a/p mar. env. 180g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/bell-asc-fil-saumon-ap-mar-env/p/6881811,180g,0.0,9.9,,,meat-fish,packaged-fish,packaged-fresh-fish
Bell ASC Plateau grill poisson env. 250g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/bell-asc-plateau-grill-poisson-env/p/6875510,250g,0.0,12.35,,,meat-fish,packaged-fish,packaged-fresh-fish
Bell Fil. thon smokey mar. env. 250g,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/bell-fil-thon-smokey-mar-env/p/6881539,250g,0.0,17.35,,,meat-fish,packaged-fish,packaged-fresh-fish
Bell Retro ASC Salmon with Knife,/en/food/meat-fish/packaged-fish/packaged-fresh-fish/bell-retro-asc-salmon-with-knife/p/6672254,600g,5.0,24.95,,,meat-fish,packaged-fish,packaged-fresh-fish
Bell tentac. pulpos marnié env. 200g,/en/food/meat-fish/packaged-fish/shellfish-seafood/bell-tentac-pulpos-marnie-env/p/6881538,200g,0.0,11.9,,,meat-fish,packaged-fish,shellfish-seafood
Breaded Pangasius Fillet Bites ASC,/en/food/meat-fish/packaged-fish/fish-specialities-roe/breaded-pangasius-fillet-bites-asc/p/4429083,250g,4.5,4.95,,,meat-fish,packaged-fish,fish-specialities-roe
Cocktail Shrimp,/en/food/meat-fish/packaged-fish/shellfish-seafood/cocktail-shrimp/p/5937566,200g,4.5,5.95,,,meat-fish,packaged-fish,shellfish-seafood
Coraya Collection from the Sea MSC Mix,/en/food/meat-fish/packaged-fish/fish-specialities-roe/coraya-collection-from-the-sea-msc-mix/p/6120742,180g,4.0,4.75,,,meat-fish,packaged-fish,fish-specialities-roe
Coraya MSC Fish&Dip Cocktail 3x210g,/en/food/meat-fish/packaged-fish/fish-specialities-roe/coraya-msc-fish-dip-cocktail-3x210g/p/6567279,630g,0.0,14.85,,,meat-fish,packaged-fish,fish-specialities-roe
Coraya MSC Fish & Dip with Cocktail Sauce,/en/food/meat-fish/packaged-fish/fish-specialities-roe/coraya-msc-fish-dip-with-cocktail-sauce/p/5955163,210g,3.5,4.95,,,meat-fish,packaged-fish,fish-specialities-roe
Coraya MSC Surimi Sticks,/en/food/meat-fish/packaged-fish/fish-specialities-roe/coraya-msc-surimi-sticks/p/3640081,180g,4.0,4.75,,,meat-fish,packaged-fish,fish-specialities-roe
