title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Barilla Amatriciana Tomato Sauce,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/tomato-sauce-with-meat/barilla-amatriciana-tomato-sauce/p/3550256,400g,4.0,3.95,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla Arrabbiata Tomato Sauce,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/vegetable-tomato-sauce/barilla-arrabbiata-tomato-sauce/p/3023360,400g,5.0,2.9,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla Base for Bolognese,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/tomato-sauce-with-meat/barilla-base-for-bolognese/p/6835077,400g,0.0,2.95,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla Basil Chili Pesto,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/pesto-carbonara/barilla-basil-chili-pesto/p/6595128,195g,4.5,3.95,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla Basil Tomato Sauce,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/vegetable-tomato-sauce/barilla-basil-tomato-sauce/p/6493742,200g,4.5,2.2,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla Bolognese Sauce,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/tomato-sauce-with-meat/barilla-bolognese-sauce/p/3020017,400g,4.5,3.9,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla Genovese Pesto without Garlic,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/pesto-carbonara/barilla-genovese-pesto-without-garlic/p/6509012,190g,4.5,3.75,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla i Pesti Basil Arugula Sauce,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/pesto-carbonara/barilla-i-pesti-basil-arugula-sauce/p/4688952,190g,4.5,3.95,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla i Pesti Sicilian Sauce with Ricotta & Nuts,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/pesto-carbonara/barilla-i-pesti-sicilian-sauce-with-ricotta-nuts/p/3023243,190g,5.0,4.5,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
Barilla i Pesti Sun Dried Tomato Sauce,/en/food/inventories/pasta-warm-sauces/pesto-pasta-sauces/pesto-carbonara/barilla-i-pesti-sun-dried-tomato-sauce/p/4142584,200g,5.0,4.45,,,inventories,pasta-warm-sauces,pesto-pasta-sauces
