title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Aargauer Traum,/en/food/dairy-products-eggs/cheese-counter/aargauer-traum/p/3814795,250g,5.0,6.0,,,dairy-products-eggs,cheese-counter,aargauer-traum
AOP Mild Le Gruyère,/en/food/dairy-products-eggs/cheese-counter/aop-mild-le-gruyere/p/3080221,250g,5.0,5.25,,,dairy-products-eggs,cheese-counter,aop-mild-le-gruyere
AOP Premium Emmental,/en/food/dairy-products-eggs/cheese-counter/aop-premium-emmental/p/3080217,250g,5.0,6.0,,,dairy-products-eggs,cheese-counter,aop-premium-emmental
AOP Premium Le Gruyère,/en/food/dairy-products-eggs/cheese-counter/aop-premium-le-gruyere/p/3080229,250g,5.0,6.25,,,dairy-products-eggs,cheese-counter,aop-premium-le-gruyere
Bernese Cheese,/en/food/dairy-products-eggs/cheese-counter/bernese-cheese/p/3080205,250g,5.0,6.35,,,dairy-products-eggs,cheese-counter,bernese-cheese
Brebiou,/en/food/dairy-products-eggs/cheese-counter/brebiou/p/3080058,150g,5.0,5.45,,,dairy-products-eggs,cheese-counter,brebiou
Cambozola,/en/food/dairy-products-eggs/cheese-counter/cambozola/p/3080361,150g,5.0,4.25,,,dairy-products-eggs,cheese-counter,cambozola
Cathedral City Cheddar,/en/food/dairy-products-eggs/cheese-counter/cathedral-city-cheddar/p/4476542,250g,4.5,6.25,,,dairy-products-eggs,cheese-counter,cathedral-city-cheddar
Chaumes,/en/food/dairy-products-eggs/cheese-counter/chaumes/p/3080436,150g,4.5,5.3,,,dairy-products-eggs,cheese-counter,chaumes
Crémoulin,/en/food/dairy-products-eggs/cheese-counter/cremoulin/p/3080402,200g,5.0,6.5,,,dairy-products-eggs,cheese-counter,cremoulin
Der edle Maxx 365,/en/food/dairy-products-eggs/cheese-counter/der-edle-maxx-365/p/4098519,250g,5.0,8.0,,,dairy-products-eggs,cheese-counter,der-edle-maxx-365
Der scharfe Maxx,/en/food/dairy-products-eggs/cheese-counter/der-scharfe-maxx/p/3516081,250g,4.5,7.0,,,dairy-products-eggs,cheese-counter,der-scharfe-maxx
Emmi Classic Winzer Cheese,/en/food/dairy-products-eggs/cheese-counter/emmi-classic-winzer-cheese/p/3080207,250g,5.0,7.35,,,dairy-products-eggs,cheese-counter,emmi-classic-winzer-cheese
Emmi Couronne,/en/food/dairy-products-eggs/cheese-counter/emmi-couronne/p/3080407,150g,5.0,4.35,,,dairy-products-eggs,cheese-counter,emmi-couronne
Emmi Lucerne Creamy Cheese,/en/food/dairy-products-eggs/cheese-counter/emmi-lucerne-creamy-cheese/p/3080254,250g,4.5,5.85,7.35,20%,dairy-products-eggs,cheese-counter,emmi-lucerne-creamy-cheese
Emmi Rustico Luzerner Cheese,/en/food/dairy-products-eggs/cheese-counter/emmi-rustico-luzerner-cheese/p/3954198,250g,5.0,7.6,,,dairy-products-eggs,cheese-counter,emmi-rustico-luzerner-cheese
Emmi Sennen Mutschli,/en/food/dairy-products-eggs/cheese-counter/emmi-sennen-mutschli/p/3080280,250g,4.5,6.25,,,dairy-products-eggs,cheese-counter,emmi-sennen-mutschli
Extra Old Gouda,/en/food/dairy-products-eggs/cheese-counter/extra-old-gouda/p/3716085,250g,4.5,8.1,,,dairy-products-eggs,cheese-counter,extra-old-gouda
Fine Food DOP Stilton,/en/food/dairy-products-eggs/cheese-counter/fine-food-dop-stilton/p/4456844,250g,5.0,9.6,,,dairy-products-eggs,cheese-counter,fine-food-dop-stilton
Fine Food Le Gruyère,/en/food/dairy-products-eggs/cheese-counter/fine-food-le-gruyere/p/4981190,250g,5.0,8.25,,,dairy-products-eggs,cheese-counter,fine-food-le-gruyere
Fine Food Manchego Gran Riserva,/en/food/dairy-products-eggs/cheese-counter/fine-food-manchego-gran-riserva/p/4664252,250g,5.0,9.25,,,dairy-products-eggs,cheese-counter,fine-food-manchego-gran-riserva
Fol Epi,/en/food/dairy-products-eggs/cheese-counter/fol-epi/p/3080451,250g,5.0,8.1,,,dairy-products-eggs,cheese-counter,fol-epi
Fondue House Mix,/en/food/dairy-products-eggs/cheese-counter/fondue-house-mix/p/3080910,250g,4.5,7.5,,,dairy-products-eggs,cheese-counter,fondue-house-mix
Füürwehr Filled Brie,/en/food/dairy-products-eggs/cheese-counter/fueuerwehr-filled-brie/p/3629322,150g,5.0,6.0,,,dairy-products-eggs,cheese-counter,fueuerwehr-filled-brie
Galbani Eccellenza Gorgonzola,/en/food/dairy-products-eggs/cheese-counter/galbani-eccellenza-gorgonzola/p/3080078,150g,4.5,3.15,,,dairy-products-eggs,cheese-counter,galbani-eccellenza-gorgonzola
Garlic Raclette,/en/food/dairy-products-eggs/cheese-counter/garlic-raclette/p/3080510,250g,5.0,6.85,,,dairy-products-eggs,cheese-counter,garlic-raclette
Gorgonzola with Mascarpone,/en/food/dairy-products-eggs/cheese-counter/gorgonzola-with-mascarpone/p/3080327,150g,5.0,4.25,,,dairy-products-eggs,cheese-counter,gorgonzola-with-mascarpone
Gottardo,/en/food/dairy-products-eggs/cheese-counter/gottardo/p/3081426,250g,5.0,5.75,,,dairy-products-eggs,cheese-counter,gottardo
Kaltbach AOP Emmental,/en/food/dairy-products-eggs/cheese-counter/kaltbach-aop-emmental/p/3080218,250g,4.5,6.4,8.0,20%,dairy-products-eggs,cheese-counter,kaltbach-aop-emmental
Kaltbach Creamy Spicy Cheese,/en/food/dairy-products-eggs/cheese-counter/kaltbach-creamy-spicy-cheese/p/4373669,250g,5.0,8.1,,,dairy-products-eggs,cheese-counter,kaltbach-creamy-spicy-cheese
Kaltbach Le Gruyère,/en/food/dairy-products-eggs/cheese-counter/kaltbach-le-gruyere/p/3409660,250g,5.0,6.75,8.5,20%,dairy-products-eggs,cheese-counter,kaltbach-le-gruyere
Le Maréchal,/en/food/dairy-products-eggs/cheese-counter/le-marechal/p/3080969,250g,5.0,5.85,6.85,14%,dairy-products-eggs,cheese-counter,le-marechal
Le Truffé,/en/food/dairy-products-eggs/cheese-counter/le-truffe/p/4011251,75g,5.0,3.65,,,dairy-products-eggs,cheese-counter,le-truffe
Le vieux Chevrier,/en/food/dairy-products-eggs/cheese-counter/le-vieux-chevrier/p/3080104,250g,4.5,7.35,,,dairy-products-eggs,cheese-counter,le-vieux-chevrier
Manchego,/en/food/dairy-products-eggs/cheese-counter/manchego/p/3080920,250g,4.5,5.85,,,dairy-products-eggs,cheese-counter,manchego
Mazot Premium Raclette Cheese,/en/food/dairy-products-eggs/cheese-counter/mazot-premium-raclette-cheese/p/3081312,250g,4.5,7.0,,,dairy-products-eggs,cheese-counter,mazot-premium-raclette-cheese
Mild Tilsiter,/en/food/dairy-products-eggs/cheese-counter/mild-tilsiter/p/3080245,250g,4.0,4.5,,,dairy-products-eggs,cheese-counter,mild-tilsiter
Moitié-Moitié Fondue Mix,/en/food/dairy-products-eggs/cheese-counter/moitie-moitie-fondue-mix/p/3080986,250g,4.5,7.75,,,dairy-products-eggs,cheese-counter,moitie-moitie-fondue-mix
Naturaplan Organic Helvetikuss Cheese,/en/food/dairy-products-eggs/cheese-counter/naturaplan-organic-helvetikuss-cheese/p/4590442,250g,5.0,6.1,,,dairy-products-eggs,cheese-counter,naturaplan-organic-helvetikuss-cheese
Naturaplan Organic Luzerner Cheese,/en/food/dairy-products-eggs/cheese-counter/naturaplan-organic-luzerner-cheese/p/5641468,250g,4.5,6.6,,,dairy-products-eggs,cheese-counter,naturaplan-organic-luzerner-cheese
Naturaplan Organic Mild Emmental Cheese,/en/food/dairy-products-eggs/cheese-counter/naturaplan-organic-mild-emmental-cheese/p/3080784,250g,5.0,6.5,,,dairy-products-eggs,cheese-counter,naturaplan-organic-mild-emmental-cheese
Naturaplan Organic Mont Vully Cheese,/en/food/dairy-products-eggs/cheese-counter/naturaplan-organic-mont-vully-cheese/p/3422504,250g,4.5,6.75,,,dairy-products-eggs,cheese-counter,naturaplan-organic-mont-vully-cheese
Naturaplan Organic Raclette Cheese,/en/food/dairy-products-eggs/cheese-counter/naturaplan-organic-raclette-cheese/p/3080674,250g,0.0,6.85,,,dairy-products-eggs,cheese-counter,naturaplan-organic-raclette-cheese
Naturaplan Organic Regional Urkräuter Cheese,/en/food/dairy-products-eggs/cheese-counter/naturaplan-organic-regional-urkraeuter-cheese/p/3507185,250g,5.0,6.5,,,dairy-products-eggs,cheese-counter,naturaplan-organic-regional-urkraeuter-cheese
Naturaplan Organic Val Poschiavo,/en/food/dairy-products-eggs/cheese-counter/naturaplan-organic-val-poschiavo/p/3080291,250g,5.0,5.75,,,dairy-products-eggs,cheese-counter,naturaplan-organic-val-poschiavo
Naturaplan Organic Wiesenzauber Cheese,/en/food/dairy-products-eggs/cheese-counter/naturaplan-organic-wiesenzauber-cheese/p/3896634,250g,5.0,5.85,,,dairy-products-eggs,cheese-counter,naturaplan-organic-wiesenzauber-cheese
Nostrano Goat Cheese,/en/food/dairy-products-eggs/cheese-counter/nostrano-goat-cheese/p/3629323,250g,5.0,7.85,,,dairy-products-eggs,cheese-counter,nostrano-goat-cheese
Organic Demeter Bûche,/en/food/dairy-products-eggs/cheese-counter/organic-demeter-buche/p/6121611,130g,3.0,4.8,,,dairy-products-eggs,cheese-counter,organic-demeter-buche
Organic Demeter Renan,/en/food/dairy-products-eggs/cheese-counter/organic-demeter-renan/p/6117773,250g,5.0,6.5,,,dairy-products-eggs,cheese-counter,organic-demeter-renan
Organic Demeter Ur-Buur,/en/food/dairy-products-eggs/cheese-counter/organic-demeter-ur-buur/p/6112608,250g,4.5,7.35,,,dairy-products-eggs,cheese-counter,organic-demeter-ur-buur
Parmigiano Reggiano,/en/food/dairy-products-eggs/cheese-counter/parmigiano-reggiano/p/3367435,250g,5.0,9.35,,,dairy-products-eggs,cheese-counter,parmigiano-reggiano
