title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Aemmitaler Meringues,/en/food/sweets-snacks/cookies-sweet-biscuits/meringues/aemmitaler-meringues/p/3549911,130g,5.0,5.8,,,sweets-snacks,cookies-sweet-biscuits,meringues
Bambi Lane Cookies,/en/food/sweets-snacks/cookies-sweet-biscuits/cookies-without-chocolate/other-cookies/bambi-lane-cookies/p/3861500,300g,4.5,3.2,,,sweets-snacks,cookies-sweet-biscuits,cookies-without-chocolate
Basler Leckerli Biscuits,/en/food/sweets-snacks/cookies-sweet-biscuits/hueppen-wafers-laeckerli/basler-leckerli-biscuits/p/3151460,300g,3.5,3.8,,,sweets-snacks,cookies-sweet-biscuits,hueppen-wafers-laeckerli
Bauli Apricot Croissants 6 Pieces,/en/food/sweets-snacks/cookies-sweet-biscuits/sweet-bread-rolls-panettone/bauli-apricot-croissants-6-pieces/p/6383995,300g,3.0,2.95,,,sweets-snacks,cookies-sweet-biscuits,sweet-bread-rolls-panettone
Bauli Chocolate Croissants 6 Pieces,/en/food/sweets-snacks/cookies-sweet-biscuits/sweet-bread-rolls-panettone/bauli-chocolate-croissants-6-pieces/p/6384092,300g,4.0,2.95,,,sweets-snacks,cookies-sweet-biscuits,sweet-bread-rolls-panettone
Bauli Cream Croissants 6 Pieces,/en/food/sweets-snacks/cookies-sweet-biscuits/sweet-bread-rolls-panettone/bauli-cream-croissants-6-pieces/p/6383814,300g,3.5,2.95,,,sweets-snacks,cookies-sweet-biscuits,sweet-bread-rolls-panettone
Bear Paw Cookies,/en/food/sweets-snacks/cookies-sweet-biscuits/cookies-without-chocolate/cookies-with-nuts/bear-paw-cookies/p/6432472,380g,5.0,2.95,,,sweets-snacks,cookies-sweet-biscuits,cookies-without-chocolate
Berman Chocolate Chip Cookies,/en/food/sweets-snacks/cookies-sweet-biscuits/cookies-with-chocolate/chocolate-added/berman-chocolate-chip-cookies/p/5823922,200g,0.0,4.35,,,sweets-snacks,cookies-sweet-biscuits,cookies-with-chocolate
Betty Bossi bird's nest cookies 2x  100g,/en/food/bread-baked-goods/cakes-sweet-pastries/cakes-tarts/betty-bossi-bird-s-nest-cookies/p/3431133,2x 100g,0.0,4.6,,,bread-baked-goods,cakes-sweet-pastries,cakes-tarts
Betty Bossi Kirsch Amaretti,/en/food/sweets-snacks/cookies-sweet-biscuits/cookies-with-chocolate/chocolate-covered/betty-bossi-kirsch-amaretti/p/4279376,120g,3.0,7.5,,,sweets-snacks,cookies-sweet-biscuits,cookies-with-chocolate
Betty Bossi Pfaffenhut triangle biscuits 2x  100g,/en/food/bread-baked-goods/cakes-sweet-pastries/cakes-tarts/betty-bossi-pfaffenhut-triangle-biscuits/p/6739419,2x 100g,0.0,4.6,,,bread-baked-goods,cakes-sweet-pastries,cakes-tarts
