title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Coffee Cream Portions 15% Fat 40x12g,/en/food/dairy-products-eggs/cream/coffee-cream/coffee-cream-portions-15-fat-40x12g/p/3890751,480g,4.5,2.25,,,dairy-products-eggs,cream,coffee-cream
Crème Fraîche Herbs 2x  200g,/en/food/dairy-products-eggs/cream/cream-specialities/creme-fraiche-herbs/p/6741442,2x 200g,5.0,4.45,5.6,20%,dairy-products-eggs,cream,cream-specialities
Crème Fraîche nature,/en/food/dairy-products-eggs/cream/cream-specialities/creme-fraiche-nature/p/6741069,200g,0.0,2.75,,,dairy-products-eggs,cream,cream-specialities
Double Crème 45% Fat,/en/food/dairy-products-eggs/cream/cream-specialities/double-creme-45-fat/p/4084378,200ml,4.5,3.55,,,dairy-products-eggs,cream,cream-specialities
Emmi Pasteurized Whole Cream 35% Fat 2x  330ml,/en/food/dairy-products-eggs/cream/full-fat-cream-half-fat-cream/emmi-pasteurized-whole-cream-35-fat/p/3869656,2x 330ml,4.5,6.5,8.1,19%,dairy-products-eggs,cream,full-fat-cream-half-fat-cream
Emmi UHT Coffee Cream Portions 200 Pieces,/en/food/dairy-products-eggs/cream/coffee-cream/emmi-uht-coffee-cream-portions-200-pieces/p/3081204,2400g,4.0,13.25,,,dairy-products-eggs,cream,coffee-cream
Floralp full cream sweetened,/en/food/dairy-products-eggs/cream/whipped-cream/floralp-full-cream-sweetened/p/6809394,250g,0.0,4.95,,,dairy-products-eggs,cream,whipped-cream
Floralp Whipping Cream Single Cream Can no added sugar 30% Milk Fat UHT,/en/food/dairy-products-eggs/cream/whipped-cream/floralp-whipping-cream-single-cream-can-no-added-sugar-30-milk-fat-uht/p/3081815,250g,4.5,3.95,,,dairy-products-eggs,cream,whipped-cream
Free From Lactose Free Coffee Cream 15% Fat 10 Portions,/en/food/dairy-products-eggs/cream/coffee-cream/free-from-lactose-free-coffee-cream-15-fat-10-portions/p/4665660,120g,4.5,1.5,,,dairy-products-eggs,cream,coffee-cream
Free From Lactose Free Light Cream UHT,/en/food/dairy-products-eggs/cream/full-fat-cream-half-fat-cream/free-from-lactose-free-light-cream-uht/p/4171334,250ml,5.0,2.7,,,dairy-products-eggs,cream,full-fat-cream-half-fat-cream
Free From Lactose Free Mascarpone,/en/food/dairy-products-eggs/cream/cream-specialities/free-from-lactose-free-mascarpone/p/6100306,250g,4.5,3.85,,,dairy-products-eggs,cream,cream-specialities
Free From Lactose Free Natural Crème fraîche,/en/food/dairy-products-eggs/cream/cream-specialities/free-from-lactose-free-natural-creme-fraiche/p/4689928,200g,5.0,2.95,,,dairy-products-eggs,cream,cream-specialities
