title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Betty Bossi Butter Cake Pastry Dough Ø32cm,/en/food/bread-baked-goods/dough-cake-base/cake-dough/betty-bossi-butter-cake-pastry-dough-32cm/p/4694043,270g,5.0,2.5,,,bread-baked-goods,dough-cake-base,cake-dough
Betty Bossi Cake Base 2x310g,/en/food/bread-baked-goods/dough-cake-base/cake-dough/betty-bossi-cake-base-2x310g/p/6668457,620g,5.0,2.95,,,bread-baked-goods,dough-cake-base,cake-dough
Betty Bossi Cake Base 35% Less Fat,/en/inspiration-gifts/specific-diets/vegan/bread-baked-goods/betty-bossi-cake-base-35-less-fat/p/6668455,270g,3.5,1.95,,,specific-diets,vegan,bread-baked-goods
Betty Bossi Fairtrade Choco Cookie Base,/en/food/bread-baked-goods/dough-cake-base/cake-bases-tarts/betty-bossi-fairtrade-choco-cookie-base/p/6102498,340g,5.0,3.4,,,bread-baked-goods,dough-cake-base,cake-bases-tarts
Betty Bossi Flan Case light,/en/food/bread-baked-goods/dough-cake-base/cake-bases-tarts/betty-bossi-flan-case-light/p/5653528,320g,5.0,3.2,,,bread-baked-goods,dough-cake-base,cake-bases-tarts
"Betty Bossi Naturaplan Organic Pizza Dough round, ready-rolled Ø 28cm",/en/food/bread-baked-goods/dough-cake-base/betty-bossi-naturaplan-organic-pizza-dough-round-ready-rolled--28cm/p/3541890,330g,4.0,3.2,,,bread-baked-goods,dough-cake-base,betty-bossi-naturaplan-organic-pizza-dough-round-ready-rolled--28cm
Betty Bossi Naturaplan Organic Rolled Out Pizza Dough 28x38cm,/en/food/bread-baked-goods/dough-cake-base/betty-bossi-naturaplan-organic-rolled-out-pizza-dough-28x38cm/p/3390905,550g,4.0,4.2,,,bread-baked-goods,dough-cake-base,betty-bossi-naturaplan-organic-rolled-out-pizza-dough-28x38cm
Betty Bossi Naturaplan Organic Rolled Out Puffed Pastry,/en/inspiration-gifts/specific-diets/vegan/bread-baked-goods/betty-bossi-naturaplan-organic-rolled-out-puffed-pastry/p/6627621,320g,3.0,2.15,,,specific-diets,vegan,bread-baked-goods
Betty Bossi Naturaplan Organic Rolled Round Cake Dough Ø32cm,/en/inspiration-gifts/specific-diets/vegan/bread-baked-goods/betty-bossi-naturaplan-organic-rolled-round-cake-dough-32cm/p/3378512,270g,3.0,1.9,,,specific-diets,vegan,bread-baked-goods
Betty Bossi Naturaplan Organic Rustico Pizza Dough Ø28cm,/en/inspiration-gifts/specific-diets/vegan/bread-baked-goods/betty-bossi-naturaplan-organic-rustico-pizza-dough-28cm/p/4522047,270g,4.0,3.2,,,specific-diets,vegan,bread-baked-goods
Betty Bossi Naturaplan Organic Spelt Pie Crust Ø32cm,/en/inspiration-gifts/specific-diets/vegan/bread-baked-goods/betty-bossi-naturaplan-organic-spelt-pie-crust-32cm/p/3930737,270g,4.0,2.45,,,specific-diets,vegan,bread-baked-goods
Betty Bossi Pasta Dough,/en/food/bread-baked-goods/dough-cake-base/betty-bossi-pasta-dough/p/3504615,250g,5.0,2.5,,,bread-baked-goods,dough-cake-base,betty-bossi-pasta-dough
Betty Bossi Pizza Dough,/en/food/bread-baked-goods/dough-cake-base/betty-bossi-pizza-dough/p/5620342,800g,4.5,2.95,3.7,20%,bread-baked-goods,dough-cake-base,betty-bossi-pizza-dough
Betty Bossi Pizza Dough Ø28cm,/en/food/bread-baked-goods/dough-cake-base/betty-bossi-pizza-dough-28cm/p/5671230,300g,4.0,2.75,,,bread-baked-goods,dough-cake-base,betty-bossi-pizza-dough-28cm
Betty Bossi Puff Pastry rolled round,/en/food/bread-baked-goods/dough-cake-base/puff-pastry/betty-bossi-puff-pastry-rolled-round/p/6823900,270g,0.0,1.4,,,bread-baked-goods,dough-cake-base,puff-pastry
Betty Bossi Puff Pastry with Mould 130g,/en/food/bread-baked-goods/dough-cake-base/betty-bossi-puff-pastry-with-mould/p/3951702,130g,4.5,2.95,,,bread-baked-goods,dough-cake-base,betty-bossi-puff-pastry-with-mould
Betty Bossi Rolled Butter Puff Pastry 25x42cm,/en/food/bread-baked-goods/dough-cake-base/betty-bossi-rolled-butter-puff-pastry-25x42cm/p/5669487,320g,4.5,3.55,,,bread-baked-goods,dough-cake-base,betty-bossi-rolled-butter-puff-pastry-25x42cm
Betty Bossi Rolled Out Cake Base,/en/inspiration-gifts/specific-diets/vegan/bread-baked-goods/betty-bossi-rolled-out-cake-base/p/6668458,270g,0.0,1.5,,,specific-diets,vegan,bread-baked-goods
Betty Bossi Rolled Out Pie Crust in a Baking Pan,/en/food/bread-baked-goods/dough-cake-base/betty-bossi-rolled-out-pie-crust-in-a-baking-pan/p/3378613,140g,5.0,2.4,,,bread-baked-goods,dough-cake-base,betty-bossi-rolled-out-pie-crust-in-a-baking-pan
Betty Bossi Strudel Dough,/en/food/bread-baked-goods/dough-cake-base/betty-bossi-strudel-dough/p/3405421,120g,4.5,2.5,,,bread-baked-goods,dough-cake-base,betty-bossi-strudel-dough
Betty Bossi tarte flambée dough 2x290g,/en/food/bread-baked-goods/dough-cake-base/cake-dough/betty-bossi-tarte-flambee-dough-2x290g/p/6763705,580g,5.0,4.95,,,bread-baked-goods,dough-cake-base,cake-dough
Buitoni 5 Grain Pizza Dough Ø24cm,/en/food/bread-baked-goods/dough-cake-base/buitoni-5-grain-pizza-dough-24cm/p/6036925,280g,5.0,4.5,,,bread-baked-goods,dough-cake-base,buitoni-5-grain-pizza-dough-24cm
Buitoni Gluten Free Round Pizza Dough Ø25cm,/en/inspiration-gifts/specific-diets/vegetarian/buitoni-gluten-free-round-pizza-dough-25cm/p/5722124,260g,3.5,4.95,,,specific-diets,vegetarian,buitoni-gluten-free-round-pizza-dough-25cm
Buitoni Pizza Dough with Olive Oil,/en/food/bread-baked-goods/dough-cake-base/buitoni-pizza-dough-with-olive-oil/p/6348879,280g,4.0,3.95,,,bread-baked-goods,dough-cake-base,buitoni-pizza-dough-with-olive-oil
Buitoni Rolled Out Rectangular Pizza Dough 25x38cm,/en/food/bread-baked-goods/dough-cake-base/buitoni-rolled-out-rectangular-pizza-dough-25x38cm/p/4275096,350g,4.5,4.2,,,bread-baked-goods,dough-cake-base,buitoni-rolled-out-rectangular-pizza-dough-25x38cm
Buitoni Rolled Out Round Focaccia Dough Ø24cm,/en/food/bread-baked-goods/dough-cake-base/buitoni-rolled-out-round-focaccia-dough-24cm/p/3715589,375g,4.5,4.4,,,bread-baked-goods,dough-cake-base,buitoni-rolled-out-round-focaccia-dough-24cm
Buitoni rolled pizza dough rectangular 25x33cm,/en/food/bread-baked-goods/dough-cake-base/buitoni-rolled-pizza-dough-rectangular-25x33cm/p/3041330,570g,4.5,5.4,,,bread-baked-goods,dough-cake-base,buitoni-rolled-pizza-dough-rectangular-25x33cm
