title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Barebells Hazelnut & Nougat Bar 3x73ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/barebells-hazelnut-nougat-bar-3x73ml/p/6860622,219ml,3.0,8.95,,,frozen,ice-cream-desserts,ice-cream-portions
Barebells Salty Peanut Bar 3x73ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/barebells-salty-peanut-bar-3x73ml/p/6860623,219ml,0.0,8.95,,,frozen,ice-cream-desserts,ice-cream-portions
Ben&Jerry's Blondie Brownie ice cream,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-blondie-brownie-ice-cream/p/6828325,465ml,0.0,7.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Chocolate Fudge Brownie Ice Cream,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-chocolate-fudge-brownie-ice-cream/p/6552511,465ml,5.0,9.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Cookie Dough,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-cookie-dough/p/6552128,465ml,4.5,9.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Cookies vegan,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-cookies-vegan/p/6860564,100ml,0.0,3.5,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Fairtrade Cookie Dough Ice Cream,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-fairtrade-cookie-dough-ice-cream/p/4227708,150ml,5.0,5.3,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Half Baked Cookies,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-half-baked-cookies/p/6552478,465ml,5.0,9.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Netflix Chill'd,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-netflix-chill-d/p/6552476,465ml,3.5,9.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Peanut Butter Cup,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-peanut-butter-cup/p/6552130,465ml,5.0,9.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Peanut Butter Cup Ice Cream,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/specialities/ben-jerry-s-peanut-butter-cup-ice-cream/p/4622908,500ml,4.5,10.75,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Salted Caramel Brownie vegan,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-salted-caramel-brownie-vegan/p/6860566,465ml,0.0,11.1,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Sundae Banoffee Pie ice cream,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-sundae-banoffee-pie-ice-cream/p/6875032,427ml,0.0,7.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Sundae Cookie Vermon,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-sundae-cookie-vermon/p/6877768,427ml,5.0,9.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Sundae Hazel-nuttin',/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-sundae-hazel-nuttin-/p/6877767,427ml,2.5,9.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Ben&Jerry's Vegan Chocolate Fudge Brownie Ice Cream,/en/inspiration-gifts/specific-diets/vegan/frozen-food-ready-made-meals/ben-jerry-s-vegan-chocolate-fudge-brownie-ice-cream/p/6552129,465ml,4.5,11.1,,,specific-diets,vegan,frozen-food-ready-made-meals
Ben&Jerry's Vegan Cookies on Cookie Dough Ice Cream,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/ben-jerry-s-vegan-cookies-on-cookie-dough-ice-cream/p/6552473,465ml,4.5,11.1,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Big Cappuccino Ice Cream Lollies 6x120ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/big-cappuccino-ice-cream-lollies-6x120ml/p/6529616,720ml,5.0,9.2,,,frozen,ice-cream-desserts,ice-cream-portions
Big Fairtrade Almond ice creams 6x120 ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/big-fairtrade-almond-ice-creams-6x120-ml/p/6627660,720ml,0.0,9.2,,,frozen,ice-cream-desserts,ice-cream-portions
Big Ice Cream Sticks Caramello 6x120ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/big-ice-cream-sticks-caramello-6x120ml/p/6783462,720ml,4.0,9.2,,,frozen,ice-cream-desserts,ice-cream-portions
Bounty Ice Cream Bars 6 Pieces,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/bounty-ice-cream-bars-6-pieces/p/5626528,300ml,4.5,4.95,,,frozen,ice-cream-desserts,ice-cream-portions
Brunsli ice cream tub,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/specialities/brunsli-ice-cream-tub/p/6615692,900ml,4.0,7.95,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Calippo Orange & Lemon Mini Ice Lolly assorted 6-pack,/en/food/frozen/ice-cream-desserts/ice-cream-portions/sorbet-popsicles/calippo-orange-lemon-mini-ice-lolly-assorted-6-pack/p/3819143,480ml,5.0,7.95,,,frozen,ice-cream-desserts,ice-cream-portions
Cassata Ice Cream Roulade,/en/food/frozen/ice-cream-desserts/desserts/ice-cream-desserts/cassata-ice-cream-roulade/p/4143582,750ml,4.5,6.95,,,frozen,ice-cream-desserts,desserts
Chiefs Raspberry & Cream Bar 4x73ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/chiefs-raspberry-cream-bar-4x73ml/p/6574047,292ml,5.0,8.95,,,frozen,ice-cream-desserts,ice-cream-portions
Chiefs Salted Caramel Ice Cream,/en/inspiration-gifts/specific-diets/high-protein/chiefs-salted-caramel-ice-cream/p/6362583,500ml,4.5,8.5,,,specific-diets,high-protein,chiefs-salted-caramel-ice-cream
Chocolate Ice Cream,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/choco-stracciatella/chocolate-ice-cream/p/4920212,900ml,5.0,8.2,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Chocolate Ice Cream Pops 12 Pieces,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/chocolate-ice-cream-pops-12-pieces/p/5874519,684ml,5.0,7.3,,,frozen,ice-cream-desserts,ice-cream-portions
Colombian Coffee Ice Cream,/en/food/frozen/ice-cream-desserts/ice-cream-in-tubs/specialities/colombian-coffee-ice-cream/p/4920119,900ml,5.0,8.2,,,frozen,ice-cream-desserts,ice-cream-in-tubs
Cornetto Caruso 4x90ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-cones/cornetto-caruso-4x90ml/p/6881920,360ml,0.0,6.35,7.95,20%,frozen,ice-cream-desserts,ice-cream-portions
Cornetto Poti 4x90ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-cones/cornetto-poti-4x90ml/p/6882022,360ml,0.0,6.35,7.95,20%,frozen,ice-cream-desserts,ice-cream-portions
Daim Balltop Cone 4x110ml,/en/food/frozen/ice-cream-desserts/ice-cream-portions/ice-cream-bars/daim-balltop-cone-4x110ml/p/6692134,440ml,5.0,7.95,,,frozen,ice-cream-desserts,ice-cream-portions
