title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Alsace mini tarte flambée,/en/food/frozen/ready-made-products/frozen-snacks/alsace-mini-tarte-flambee/p/6715123,360g,5.0,5.3,,,frozen,ready-made-products,frozen-snacks
Buitoni Bella Napoli Diavola Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-bella-napoli-diavola-pizza/p/6338414,430g,4.5,6.95,,,frozen,ready-made-products,frozen-pizza
BUITONI BELLA NAPOLI Margherita frozen pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-bella-napoli-margherita-frozen-pizza/p/6574999,425g,5.0,6.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Bella Napoli Prosciutto & Funghi Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-bella-napoli-prosciutto-funghi-pizza/p/6338329,415g,4.0,6.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Bella Napoli Verdure Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-bella-napoli-verdure-pizza/p/6338417,470g,3.5,6.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Bella Pinsa Margherita,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-bella-pinsa-margherita/p/6814892,340g,5.0,6.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Bella Pinsa Prosciutto,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-bella-pinsa-prosciutto/p/6814893,340g,3.0,6.95,,,frozen,ready-made-products,frozen-pizza
Buitoni La Classica Duo Formaggi 2 Pieces,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-la-classica-duo-formaggi-2-pieces/p/3010560,640g,4.5,7.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Piccolinis Frozen Mini Tomato & Mozzarella Pizzas 9 Pieces,/en/food/frozen/ready-made-products/frozen-snacks/buitoni-piccolinis-frozen-mini-tomato-mozzarella-pizzas-9-pieces/p/3508232,270g,4.5,4.5,,,frozen,ready-made-products,frozen-snacks
Buitoni Piccolinis Frozen Salami Pizzas 9 Pieces,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-piccolinis-frozen-salami-pizzas-9-pieces/p/6485140,270g,2.5,4.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Piccolinis Pizza Prosciutto 9 pieces,/en/food/frozen/ready-made-products/frozen-snacks/buitoni-piccolinis-pizza-prosciutto-9-pieces/p/3496075,270g,4.5,4.5,,,frozen,ready-made-products,frozen-snacks
Buitoni Piccolinis Pizza Spinach Vegan,/en/food/frozen/ready-made-products/frozen-snacks/buitoni-piccolinis-pizza-spinach-vegan/p/6726567,270g,4.0,4.95,,,frozen,ready-made-products,frozen-snacks
Buitoni Pizza Forno di Pietra Diavola,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizza-forno-di-pietra-diavola/p/3699586,340g,4.5,4.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Pizza Forno di Pietra Mozzarella,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizza-forno-di-pietra-mozzarella/p/3456953,350g,4.5,4.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Pizza Forno di Pietra Prosciutto & Funghi,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizza-forno-di-pietra-prosciutto-funghi/p/6285804,340g,4.5,5.6,,,frozen,ready-made-products,frozen-pizza
Buitoni Pizza Forno di Pietra Prosciutto & Pesto,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizza-forno-di-pietra-prosciutto-pesto/p/3456957,350g,4.5,4.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Pizza Forno di Pietra Salami,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizza-forno-di-pietra-salami/p/5910279,315g,4.0,5.6,,,frozen,ready-made-products,frozen-pizza
Buitoni Pizza Forno di Pietra Verdure,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizza-forno-di-pietra-verdure/p/3456958,380g,4.5,4.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Pizza Napoli Tonno MSC,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizza-napoli-tonno-msc/p/6667949,450g,5.0,6.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Pizzetta Frozen Verdure Pizzas 2x185g,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizzetta-frozen-verdure-pizzas-2x185g/p/6564958,370g,5.0,5.95,,,frozen,ready-made-products,frozen-pizza
Buitoni Pizzetta Prosciutto 2x185g,/en/food/frozen/ready-made-products/frozen-pizza/pizza/buitoni-pizzetta-prosciutto-2x185g/p/6564957,370g,3.5,5.95,,,frozen,ready-made-products,frozen-pizza
Chäs-Chüechli TK 12x70g,/en/food/frozen/ready-made-products/frozen-snacks/chaes-chueechli-tk-12x70g/p/6554291,840g,4.0,7.5,,,frozen,ready-made-products,frozen-snacks
Champignons-Chüechli 4x70g,/en/food/frozen/ready-made-products/frozen-snacks/champignons-chueechli-4x70g/p/6538242,280g,3.0,3.8,,,frozen,ready-made-products,frozen-snacks
Chiefs Protein Pizza Margherita,/en/food/frozen/ready-made-products/frozen-pizza/pizza/chiefs-protein-pizza-margherita/p/6726827,310g,5.0,6.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Bistro Frozen Ham Croissants,/en/food/frozen/ready-made-products/frozen-snacks/dr-oetker-bistro-frozen-ham-croissants/p/4081056,320g,3.0,6.7,,,frozen,ready-made-products,frozen-snacks
Dr. Oetker Bistro Frozen Tomato & Cheese Baguette,/en/food/frozen/ready-made-products/frozen-pizza/baguette/dr-oetker-bistro-frozen-tomato-cheese-baguette/p/3637621,250g,4.5,3.8,,,frozen,ready-made-products,frozen-pizza
Dr.Oetker Bistro Tarte Flambée,/en/food/frozen/ready-made-products/frozen-pizza/pizza/droetker-bistro-tarte-flambee/p/6977099,265g,0.0,4.8,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Casa di Mama Frozen Diavola Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-casa-di-mama-frozen-diavola-pizza/p/4900909,405g,5.0,5.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Casa di Mama Frozen Proscuitto Mushroom Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-casa-di-mama-frozen-proscuitto-mushroom-pizza/p/4900914,405g,5.0,5.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Casa di Mama Frozen Special Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-casa-di-mama-frozen-special-pizza/p/4900752,415g,4.5,5.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Casa di Mama Margharita,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-casa-di-mama-margharita/p/6726788,365g,3.5,5.95,,,frozen,ready-made-products,frozen-pizza
Dr.Oetker Casa di Mama Pizza Hawaii,/en/food/frozen/ready-made-products/frozen-pizza/pizza/droetker-casa-di-mama-pizza-hawaii/p/6977100,415g,0.0,5.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Frozen Hawaiian Baguette,/en/food/frozen/ready-made-products/frozen-pizza/baguette/dr-oetker-frozen-hawaiian-baguette/p/3758633,250g,4.5,3.85,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Frozen Provencale Baguette,/en/food/frozen/ready-made-products/frozen-pizza/baguette/dr-oetker-frozen-provencale-baguette/p/5993512,250g,5.0,3.85,,,frozen,ready-made-products,frozen-pizza
Dr.Oetker Good Baker Margherita 2x280g,/en/food/frozen/ready-made-products/frozen-pizza/pizza/droetker-good-baker-margherita-2x280g/p/6829005,,0.0,13.9,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker La Mia Grande Frozen 4 Cheese Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-la-mia-grande-frozen-4-cheese-pizza/p/6484714,400g,5.0,6.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker La Mia Grande Frozen Margherita Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-la-mia-grande-frozen-margherita-pizza/p/6484713,360g,4.5,6.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker La Mia Grande Frozen Salami Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-la-mia-grande-frozen-salami-pizza/p/6484711,380g,4.5,6.95,,,frozen,ready-made-products,frozen-pizza
Dr.Oetker La Mia Grande Rucola,/en/food/frozen/ready-made-products/frozen-pizza/pizza/droetker-la-mia-grande-rucola/p/6878043,410g,0.0,6.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker La Mia Pinsa Mozzarella,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-la-mia-pinsa-mozzarella/p/6878045,340g,0.0,6.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker La Mia Pinsa Salami,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-la-mia-pinsa-salami/p/6878044,305g,0.0,6.95,,,frozen,ready-made-products,frozen-pizza
Dr.Oetker Pizza Ristorante Piccolo Margherita,/en/food/frozen/ready-made-products/frozen-pizza/pizza/droetker-pizza-ristorante-piccolo-margherita/p/6977101,270g,0.0,4.8,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Ristorante Frozen Four Cheese Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-ristorante-frozen-four-cheese-pizza/p/3616222,340g,5.0,5.8,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Ristorante Frozen Gluten Free Prosciutto Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-ristorante-frozen-gluten-free-prosciutto-pizza/p/6484652,345g,3.5,6.95,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Ristorante Frozen Mozzarella Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-ristorante-frozen-mozzarella-pizza/p/3010816,335g,4.5,5.8,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Ristorante Frozen Mushroom Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-ristorante-frozen-mushroom-pizza/p/3010569,365g,4.5,5.8,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Ristorante Frozen Prosciutto Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-ristorante-frozen-prosciutto-pizza/p/3422836,330g,4.5,5.8,,,frozen,ready-made-products,frozen-pizza
Dr. Oetker Ristorante Frozen Spinach Pizza,/en/food/frozen/ready-made-products/frozen-pizza/pizza/dr-oetker-ristorante-frozen-spinach-pizza/p/3397051,390g,4.5,5.8,,,frozen,ready-made-products,frozen-pizza
