title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Baby Potatoes,/en/food/fruit-vegetables/root-vegetables/potatoes/baby-potatoes/p/6377188,600g,3.5,1.95,,,fruit-vegetables,root-vegetables,potatoes
Betty Bossi Naturaplan Organic Cooked Beets,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-cooked-beets/p/5936551,500g,3.0,2.5,,,fruit-vegetables,root-vegetables,beetroots
Betty Bossi Naturaplan Organic Cooked Beet Salad,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-cooked-beet-salad/p/3388907,500g,4.5,2.4,,,fruit-vegetables,root-vegetables,beetroots
Betty Bossi Naturaplan Organic Red Root Vegetable Cubes,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-red-root-vegetable-cubes/p/4441686,400g,5.0,3.5,,,fruit-vegetables,root-vegetables,beetroots
Betty Bossi Naturaplan Organic Red Root Vegetable Sticks,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-red-root-vegetable-sticks/p/5610199,300g,4.5,2.8,,,fruit-vegetables,root-vegetables,beetroots
Bracher Emmental Red Beet Salad,/en/food/fruit-vegetables/root-vegetables/beetroots/bracher-emmental-red-beet-salad/p/3091412,500g,4.5,2.6,,,fruit-vegetables,root-vegetables,beetroots
Carrots,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/carrots/p/3091031,1kg,4.0,1.9,,,fruit-vegetables,root-vegetables,carrots-parsnips
Carrots,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/carrots/p/6359605,600g,4.5,1.8,,,fruit-vegetables,root-vegetables,carrots-parsnips
Carrots ca. 500g,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/carrots-ca/p/3091029,500g,0.0,1.0,,,fruit-vegetables,root-vegetables,carrots-parsnips
Carrot Snacks,/en/food/fruit-vegetables/root-vegetables/carrots-parsnips/carrot-snacks/p/5670477,200g,4.5,2.95,,,fruit-vegetables,root-vegetables,carrots-parsnips
Celery ca. 500g,/en/food/fruit-vegetables/root-vegetables/celeriac-kohlrabi/celery-ca/p/3090928,500g,4.0,1.15,,,fruit-vegetables,root-vegetables,celeriac-kohlrabi
Fairtrade Sweet Potatoes ca. 500g,/en/food/fruit-vegetables/root-vegetables/potatoes/fairtrade-sweet-potatoes-ca/p/4922281,500g,5.0,2.5,,,fruit-vegetables,root-vegetables,potatoes
