title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Alvalle Green Gazpacho,/en/food/inventories/soups/vegetable-mushroom-soups/alvalle-green-gazpacho/p/4445084,1l,3.5,6.95,,,inventories,soups,vegetable-mushroom-soups
Betty Bossi carrot & coconut soup,/en/food/inventories/soups/vegetable-mushroom-soups/betty-bossi-carrot-coconut-soup/p/6379228,310g,5.0,3.8,,,inventories,soups,vegetable-mushroom-soups
Betty Bossi Cream of Mushroom Dehydrated Soup 4 Portions,/en/food/inventories/soups/vegetable-mushroom-soups/betty-bossi-cream-of-mushroom-dehydrated-soup-4-portions/p/6376883,73g,0.0,1.6,,,inventories,soups,vegetable-mushroom-soups
Betty Bossi Cream of Mushroom Instant Soup 4 Portions,/en/food/inventories/soups/vegetable-mushroom-soups/betty-bossi-cream-of-mushroom-instant-soup-4-portions/p/6376931,68g,5.0,2.2,,,inventories,soups,vegetable-mushroom-soups
Betty Bossi Gazpacho Soup,/en/food/inventories/soups/tomato-soup/betty-bossi-gazpacho-soup/p/3870611,320g,4.5,4.5,,,inventories,soups,tomato-soup
Betty Bossi Graubünden Barley Soup,/en/food/inventories/soups/grain-spicy-soup/betty-bossi-graubuenden-barley-soup/p/6644643,415g,3.5,2.3,,,inventories,soups,grain-spicy-soup
Betty Bossi Instant Soup Flädli 4Prt,/en/food/inventories/soups/clear-soup/betty-bossi-instant-soup-flaedli-4prt/p/6376920,68g,1.0,2.2,,,inventories,soups,clear-soup
Betty Bossi Instant Soup Tom Ka,/en/food/inventories/soups/tomato-soup/betty-bossi-instant-soup-tom-ka/p/6376936,68g,3.5,2.4,,,inventories,soups,tomato-soup
Betty Bossi Instant Tomato Soup 4 portions,/en/food/inventories/soups/tomato-soup/betty-bossi-instant-tomato-soup-4-portions/p/6749266,68g,1.0,2.45,,,inventories,soups,tomato-soup
Betty Bossi Noodle Meatball Dehydrated Soup 4 Portions,/en/food/inventories/soups/clear-soup/betty-bossi-noodle-meatball-dehydrated-soup-4-portions/p/6376881,76g,3.0,1.6,,,inventories,soups,clear-soup
Betty Bossi pea & ricotta soup,/en/food/inventories/soups/vegetable-mushroom-soups/betty-bossi-pea-ricotta-soup/p/6625226,310g,4.0,3.8,,,inventories,soups,vegetable-mushroom-soups
Betty Bossi pumpkin curry soup,/en/food/inventories/soups/vegetable-mushroom-soups/betty-bossi-pumpkin-curry-soup/p/6379200,310g,3.5,3.8,,,inventories,soups,vegetable-mushroom-soups
Betty Bossi Squash Dehydrated Soup 4 Portions,/en/food/inventories/soups/vegetable-mushroom-soups/betty-bossi-squash-dehydrated-soup-4-portions/p/6376886,80g,1.5,1.7,,,inventories,soups,vegetable-mushroom-soups
Betty Bossi Vegetable Instant Soup Portions,/en/food/inventories/soups/vegetable-mushroom-soups/betty-bossi-vegetable-instant-soup-portions/p/6376916,68g,1.0,2.2,,,inventories,soups,vegetable-mushroom-soups
Betty Bossi Vegetables Dehydrated Soup 4 Portions,/en/food/inventories/soups/vegetable-mushroom-soups/betty-bossi-vegetables-dehydrated-soup-4-portions/p/6376892,90g,2.0,1.7,,,inventories,soups,vegetable-mushroom-soups
Blue Elephant Thai Tom Kha Soup Kit,/en/food/inventories/soups/grain-spicy-soup/blue-elephant-thai-tom-kha-soup-kit/p/4446256,110g,5.0,4.8,,,inventories,soups,grain-spicy-soup
Blue Elephant Tom Kha Soup,/en/food/inventories/soups/grain-spicy-soup/blue-elephant-tom-kha-soup/p/6585732,250g,2.5,4.95,,,inventories,soups,grain-spicy-soup
Blue Elephant Tom Yam Soup,/en/food/inventories/soups/grain-spicy-soup/blue-elephant-tom-yam-soup/p/6585731,250g,3.0,4.95,,,inventories,soups,grain-spicy-soup
Cream of Butternut Squash Soup,/en/food/inventories/soups/vegetable-mushroom-soups/cream-of-butternut-squash-soup/p/6613766,800g,2.5,5.95,,,inventories,soups,vegetable-mushroom-soups
Fish Tales MSC Fish Soup,/en/food/inventories/soups/fish-meat-soup/fish-tales-msc-fish-soup/p/4887825,500g,4.0,6.95,,,inventories,soups,fish-meat-soup
Gefen Kosher Instant Chicken Noodle Soup Mix,/en/food/inventories/soups/clear-soup/gefen-kosher-instant-chicken-noodle-soup-mix/p/3541518,66g,4.5,2.4,,,inventories,soups,clear-soup
Gefen Kosher Instant Chicken Noodle Soup Mix,/en/food/inventories/soups/clear-soup/gefen-kosher-instant-chicken-noodle-soup-mix/p/3541532,66g,3.5,2.4,,,inventories,soups,clear-soup
