title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
1664 Blanc beer 6x33cl,/en/food/drinks/beer/beer-multipacks/1664-blanc-beer-6x33cl/p/6867762,198cl,5.0,10.95,,,drinks,beer,beer-multipacks
1664 Blonde Lager Beer 12x25cl,/en/food/drinks/beer/beer-multipacks/1664-blonde-lager-beer-12x25cl/p/6506829,300cl,5.0,11.95,,,drinks,beer,beer-multipacks
1664 Blonde Lager Beer 6x50cl,/en/food/drinks/beer/beer-multipacks/1664-blonde-lager-beer-6x50cl/p/3389814,300cl,5.0,10.5,,,drinks,beer,beer-multipacks
Abbaye de St-Maurice Candide Beer 2x  33cl,/en/food/drinks/beer/blonde-lager/bottles/abbaye-de-st-maurice-candide-beer/p/6543737,2x 33cl,5.0,7.9,,,drinks,beer,blonde-lager
Abbaye de St-Maurice DXV Beer 2x  33cl,/en/food/drinks/beer/blonde-lager/bottles/abbaye-de-st-maurice-dxv-beer/p/6543736,2x 33cl,0.0,9.0,,,drinks,beer,blonde-lager
Abbaye de St-Maurice Febris Beer 2x  33cl,/en/food/drinks/beer/blonde-lager/bottles/abbaye-de-st-maurice-febris-beer/p/6543738,2x 33cl,5.0,7.9,,,drinks,beer,blonde-lager
Aecht Schlenkerla Smoky Beer 3x  50cl,/en/food/drinks/beer/dark-beer/bottles/aecht-schlenkerla-smoky-beer/p/3652399,3x 50cl,4.5,10.35,,,drinks,beer,dark-beer
Amboss Amber Beer 8x33cl,/en/food/drinks/beer/beer-multipacks/amboss-amber-beer-8x33cl/p/4015403,264cl,4.5,17.95,,,drinks,beer,beer-multipacks
Amsterdam Maximator Extra Strong Beer 3x  50cl,/en/food/drinks/beer/beer-multipacks/amsterdam-maximator-extra-strong-beer/p/3697393,3x 50cl,4.0,7.2,,,drinks,beer,beer-multipacks
Amundsen Ink and Dagger Beer 2x  33cl,/en/food/drinks/beer/blonde-lager/cans/amundsen-ink-and-dagger-beer/p/6316717,2x 33cl,5.0,7.0,,,drinks,beer,blonde-lager
Anker Lager Beer 24x50cl,/en/food/drinks/beer/multipacks-more-than-12x50cl/anker-lager-beer-24x50cl/p/3458809,1200cl,4.5,27.6,,,drinks,beer,multipacks-more-than-12x50cl
Apostel Weizen Beer Dose 24x50cl,/en/food/drinks/beer/wheat/cans/apostel-weizen-beer-dose-24x50cl/p/3599658,1200cl,4.5,14.4,,,drinks,beer,wheat
Appenzeller Alcohol Free Sonnwendlig Beer 6x33cl,/en/food/drinks/beer/beer-multipacks/appenzeller-alcohol-free-sonnwendlig-beer-6x33cl/p/4949444,198cl,4.5,7.5,,,drinks,beer,beer-multipacks
Appenzeller Alcohol Free Wheat Beer 4x50cl,/en/food/drinks/beer/wheat/bottles/appenzeller-alcohol-free-wheat-beer-4x50cl/p/6387411,200cl,5.0,7.8,,,drinks,beer,wheat
Appenzeller Bschorle Beer 6x33cl,/en/food/drinks/beer/beer-multipacks/appenzeller-bschorle-beer-6x33cl/p/5854812,198cl,5.0,7.8,,,drinks,beer,beer-multipacks
Appenzeller Bschorle Non-alcoholic 6x50cl,/en/food/drinks/beer/blended-beer-cider/appenzeller-bschorle-non-alcoholic-6x50cl/p/6679843,300cl,4.5,10.5,,,drinks,beer,blended-beer-cider
Appenzeller Bünzli Büx beer 6x50 l,/en/food/drinks/beer/blonde-lager/cans/appenzeller-buenzli-buex-beer-6x50-l/p/6834732,300cl,5.0,11.95,,,drinks,beer,blonde-lager
Appenzeller Castégna Beer 6x33cl,/en/food/drinks/beer/beer-multipacks/appenzeller-castegna-beer-6x33cl/p/3479390,198cl,4.5,9.95,,,drinks,beer,beer-multipacks
Appenzeller Ginger Beer 6x33cl,/en/food/drinks/beer/blended-beer-cider/appenzeller-ginger-beer-6x33cl/p/6092119,198cl,4.5,14.95,,,drinks,beer,blended-beer-cider
