title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
A. Vogel Bambu Instant Coffee,/en/food/drinks/coffee/instant-coffee/a-vogel-bambu-instant-coffee/p/3030901,200g,5.0,8.5,,,drinks,coffee,instant-coffee
Amici Coffee Cream 40 Portions,/en/food/drinks/coffee/coffee-capsules/other-systems/amici-coffee-cream-40-portions/p/4120798,40PCE,4.5,23.95,,,drinks,coffee,coffee-capsules
Amici Espresso Coffee 40 Portions,/en/food/drinks/coffee/coffee-capsules/other-systems/amici-espresso-coffee-40-portions/p/3443826,40PCE,4.5,23.95,,,drinks,coffee,coffee-capsules
Caffè Chicco d'Oro Caffè Crème Coffee 10 Capsules,/en/food/drinks/coffee/coffee-capsules/other-systems/caffe-chicco-d-oro-caffe-creme-coffee-10-capsules/p/4863272,10PCE,4.5,4.3,,,drinks,coffee,coffee-capsules
Caffè Chicco d'Oro l'italiano Espresso Coffee 10 Capsules,/en/food/drinks/coffee/coffee-capsules/other-systems/caffe-chicco-d-oro-l-italiano-espresso-coffee-10-capsules/p/4365676,10PCE,5.0,4.3,,,drinks,coffee,coffee-capsules
"Caffè Hag Coffee, decaffeinated, ground",/en/food/drinks/coffee/ground-coffee/caffe-hag-coffee-decaffeinated-ground/p/3031942,250g,4.5,5.95,,,drinks,coffee,ground-coffee
"Caffè Hag Instant Coffee, decaffeinated",/en/food/drinks/coffee/instant-coffee/caffe-hag-instant-coffee-decaffeinated/p/3031950,100g,4.5,7.9,,,drinks,coffee,instant-coffee
Chicco d'Oro Caffitaly Arabica Coffee 10 Capsules,/en/food/drinks/coffee/coffee-capsules/other-systems/chicco-d-oro-caffitaly-arabica-coffee-10-capsules/p/4365671,10PCE,4.0,4.3,,,drinks,coffee,coffee-capsules
Chicco d'Oro Cremino Ground Coffee,/en/food/drinks/coffee/ground-coffee/chicco-d-oro-cremino-ground-coffee/p/3032220,250g,0.0,5.5,,,drinks,coffee,ground-coffee
Chicco d'Oro Cremino ground Coffee 3x  500g,/en/food/drinks/coffee/ground-coffee/chicco-d-oro-cremino-ground-coffee/p/3030783,3x 500g,5.0,22.95,32.7,29%,drinks,coffee,ground-coffee
Chicco d'Oro Naturaplan Organic Fairtrade Coffee Beans,/en/food/drinks/coffee/coffee-beans/chicco-d-oro-naturaplan-organic-fairtrade-coffee-beans/p/4845508,500g,4.5,11.95,,,drinks,coffee,coffee-beans
Chicco d'Oro Tradition Beans,/en/food/drinks/coffee/coffee-beans/chicco-d-oro-tradition-beans/p/3030643,1000g,4.5,16.95,,,drinks,coffee,coffee-beans
Chicco d'Oro Tradition ground Coffee 3x  500g,/en/food/drinks/coffee/ground-coffee/chicco-d-oro-tradition-ground-coffee/p/3032286,3x 500g,5.0,22.95,32.7,29%,drinks,coffee,ground-coffee
Chicco d'Oro Tradition whole Bean 3x  500g,/en/food/drinks/coffee/coffee-beans/chicco-d-oro-tradition-whole-bean/p/3032219,3x 500g,4.5,22.95,32.7,29%,drinks,coffee,coffee-beans
