title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Brossard Honey Gingerbread,/en/food/bread-baked-goods/crackers-crispbreads/melba-toast/brossard-honey-gingerbread/p/4490655,350g,4.0,3.95,,,bread-baked-goods,crackers-crispbreads,melba-toast
Country carrot crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/country-carrot-crackers/p/6659615,228g,5.0,3.6,,,bread-baked-goods,crackers-crispbreads,crackers
Country Cheese Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/country-cheese-crackers/p/6564543,228g,5.0,3.6,,,bread-baked-goods,crackers-crispbreads,crackers
Country Chocolate Banana Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/sweet/country-chocolate-banana-crackers/p/6630295,228g,5.0,3.6,,,bread-baked-goods,crackers-crispbreads,crackers
Country Honey Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/country-honey-crackers/p/6338743,228g,4.5,3.5,,,bread-baked-goods,crackers-crispbreads,crackers
Country Plain Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/natural/country-plain-crackers/p/5910012,228g,5.0,3.3,,,bread-baked-goods,crackers-crispbreads,crackers
Country Plain Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/natural/country-plain-crackers/p/6338742,285g,4.5,3.3,,,bread-baked-goods,crackers-crispbreads,crackers
Country Sesame Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/country-sesame-crackers/p/6338746,295g,5.0,3.3,,,bread-baked-goods,crackers-crispbreads,crackers
Country Sesame Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/country-sesame-crackers/p/5910015,228g,5.0,3.3,,,bread-baked-goods,crackers-crispbreads,crackers
Country Spelt Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/natural/country-spelt-crackers/p/6558121,228g,5.0,3.75,,,bread-baked-goods,crackers-crispbreads,crackers
Country Thyme Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/country-thyme-crackers/p/6338761,228g,4.5,3.5,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Break Chocolate Cocoa Nibs Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/sweet/dar-vida-break-chocolate-cocoa-nibs-crackers/p/6550814,132g,5.0,2.95,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Cheese Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-cheese-crackers/p/4449195,184g,5.0,3.95,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Cheese Herb Cracker Sandwiches,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-cheese-herb-cracker-sandwiches/p/4859110,195g,4.5,4.95,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Chia Seed Quinoa Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-chia-seed-quinoa-crackers/p/5719276,184g,5.0,3.8,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Chocolate Hazelnut Cream Filled Cracker Sandwiches,/en/food/bread-baked-goods/crackers-crispbreads/crackers/sweet/dar-vida-chocolate-hazelnut-cream-filled-cracker-sandwiches/p/4950628,195g,4.5,4.95,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Cranberry Apple Break Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/sweet/dar-vida-cranberry-apple-break-crackers/p/5873269,132g,4.5,2.95,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Dark Chocolate Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/sweet/dar-vida-dark-chocolate-crackers/p/4445114,184g,5.0,4.8,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida extra fin corn taco,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-extra-fin-corn-taco/p/6738706,184g,5.0,3.8,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Family Pack Plain Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/natural/dar-vida-family-pack-plain-crackers/p/3739066,375g,4.5,3.95,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Flax Seed Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/natural/dar-vida-flax-seed-crackers/p/4886676,208g,4.5,3.6,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Honey Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/sweet/dar-vida-honey-crackers/p/4842206,184g,4.5,3.8,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Milk Chocolate Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/sweet/dar-vida-milk-chocolate-crackers/p/4299673,184g,5.0,4.8,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Naturaplan Organic Pumpkin Seed Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-naturaplan-organic-pumpkin-seed-crackers/p/5909397,184g,4.5,3.95,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Oliven extra fin,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-oliven-extra-fin/p/4689879,184g,4.5,3.8,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Plain Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/natural/dar-vida-plain-crackers/p/4886668,208g,4.5,3.4,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Simply Sesame,/en/food/bread-baked-goods/crackers-crispbreads/crackers/natural/dar-vida-simply-sesame/p/6345143,160g,5.0,3.5,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Spelt Grain Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/natural/dar-vida-spelt-grain-crackers/p/4886674,208g,5.0,3.95,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Thyme Salt Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-thyme-salt-crackers/p/4682445,184g,4.5,3.8,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Tomato Basil Crackers,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-tomato-basil-crackers/p/6116952,184g,4.5,3.8,,,bread-baked-goods,crackers-crispbreads,crackers
Dar-Vida Tomato Basil Cracker Sandwiches,/en/food/bread-baked-goods/crackers-crispbreads/crackers/spicy/dar-vida-tomato-basil-cracker-sandwiches/p/4859018,195g,3.5,4.95,,,bread-baked-goods,crackers-crispbreads,crackers
Fairtrade Dark Chocolate Rice Cakes 2x45g,/en/food/bread-baked-goods/crackers-crispbreads/rice-cakes/fairtrade-dark-chocolate-rice-cakes-2x45g/p/4145231,90g,4.5,2.8,,,bread-baked-goods,crackers-crispbreads,rice-cakes
