title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Baergfeuer Chili Sauce,/en/food/inventories/dressings-cold-sauces/cold-sauces/chutney-special-sauces/baergfeuer-chili-sauce/p/4459480,50ml,5.0,3.8,,,inventories,dressings-cold-sauces,cold-sauces
Baergfeuer Mayonnaise,/en/food/inventories/dressings-cold-sauces/mayonnaise/baergfeuer-mayonnaise/p/6726899,170g,5.0,3.95,,,inventories,dressings-cold-sauces,mayonnaise
Baergfeuer Mustard,/en/food/inventories/dressings-cold-sauces/mustard/baergfeuer-mustard/p/6726898,100g,5.0,2.2,,,inventories,dressings-cold-sauces,mustard
Béarnaise Sauce,/en/food/inventories/dressings-cold-sauces/cold-sauces/barbecue-chinoise-sauces/bearnaise-sauce/p/3959317,110g,2.5,1.95,,,inventories,dressings-cold-sauces,cold-sauces
Betty Bossi Balsamico Dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/other-dressings/betty-bossi-balsamico-dressing/p/6720553,330ml,0.0,3.95,,,inventories,dressings-cold-sauces,salad-dressing
Betty Bossi High Protein Poulet Curry,/en/food/inventories/dressings-cold-sauces/cold-sauces/dip-appetizer-sauces/betty-bossi-high-protein-poulet-curry/p/6844423,175g,0.0,4.95,,,inventories,dressings-cold-sauces,cold-sauces
Betty Bossi Honey Mustard,/en/food/inventories/dressings-cold-sauces/salad-dressing/other-dressings/betty-bossi-honey-mustard/p/6720557,330ml,4.0,3.95,,,inventories,dressings-cold-sauces,salad-dressing
Betty Bossi House Dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/other-dressings/betty-bossi-house-dressing/p/6720554,330ml,4.5,3.95,,,inventories,dressings-cold-sauces,salad-dressing
Betty Bossi House Salad Dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/other-dressings/betty-bossi-house-salad-dressing/p/6360378,75ml,4.0,0.7,,,inventories,dressings-cold-sauces,salad-dressing
Betty Bossi Thousand Island Dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/other-dressings/betty-bossi-thousand-island-dressing/p/6720558,330ml,4.0,3.95,,,inventories,dressings-cold-sauces,salad-dressing
Blini Tzatziki,/en/food/inventories/dressings-cold-sauces/cold-sauces/dip-appetizer-sauces/blini-tzatziki/p/4311367,200g,5.0,4.95,,,inventories,dressings-cold-sauces,cold-sauces
Blue Elephant Thai Oyster Sauce,/en/food/inventories/dressings-cold-sauces/cold-sauces/chutney-special-sauces/blue-elephant-thai-oyster-sauce/p/3698171,190ml,4.0,3.95,,,inventories,dressings-cold-sauces,cold-sauces
Blue Elephant Thai Peanut Sauce,/en/food/inventories/dressings-cold-sauces/cold-sauces/chutney-special-sauces/blue-elephant-thai-peanut-sauce/p/3698177,190ml,4.5,4.2,,,inventories,dressings-cold-sauces,cold-sauces
Bourguignonne Sauce,/en/food/inventories/dressings-cold-sauces/cold-sauces/barbecue-chinoise-sauces/bourguignonne-sauce/p/3020012,120g,5.0,1.75,,,inventories,dressings-cold-sauces,cold-sauces
Brunos Fitness salad dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/other-dressings/brunos-fitness-salad-dressing/p/5720789,500ml,4.5,5.9,,,inventories,dressings-cold-sauces,salad-dressing
Brunos French salad dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/french/brunos-french-salad-dressing/p/3601801,500ml,5.0,5.5,,,inventories,dressings-cold-sauces,salad-dressing
Brunos French salad dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/french/brunos-french-salad-dressing/p/3601799,1l,5.0,9.5,,,inventories,dressings-cold-sauces,salad-dressing
Brunos French salad dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/french/brunos-french-salad-dressing/p/6340862,55ml,4.5,0.95,,,inventories,dressings-cold-sauces,salad-dressing
Brunos Italian salad dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/italian/brunos-italian-salad-dressing/p/3854161,500ml,4.5,6.5,,,inventories,dressings-cold-sauces,salad-dressing
Brunos Italian salad dressing,/en/food/inventories/dressings-cold-sauces/salad-dressing/italian/brunos-italian-salad-dressing/p/6340863,55ml,0.0,0.95,,,inventories,dressings-cold-sauces,salad-dressing
