title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Alvalle Gazpacho,/en/food/drinks/fruit-vegetable-juices/fruit-juices/vegetable-juice/alvalle-gazpacho/p/4477109,250ml,5.0,2.95,,20% on 2 or more,drinks,fruit-vegetable-juices,fruit-juices
Alvalle Gazpacho,/en/food/drinks/fruit-vegetable-juices/fruit-juices/vegetable-juice/alvalle-gazpacho/p/6107712,500ml,5.0,4.95,,20% on 2 or more,drinks,fruit-vegetable-juices,fruit-juices
Alvalle Gazpacho Soup,/en/food/drinks/fruit-vegetable-juices/fruit-juices/vegetable-juice/alvalle-gazpacho-soup/p/3637498,1l,4.5,6.95,,20% on 2 or more,drinks,fruit-vegetable-juices,fruit-juices
Alvalle Gazpacho Suave,/en/food/drinks/fruit-vegetable-juices/alvalle-gazpacho-suave/p/4971788,1l,4.5,6.95,,20% on 2 or more,drinks,fruit-vegetable-juices,alvalle-gazpacho-suave
Alvalle Tomato Mint Gazpacho,/en/food/drinks/fruit-vegetable-juices/fruit-juices/vegetable-juice/alvalle-tomato-mint-gazpacho/p/4971809,1l,5.0,6.95,,20% on 2 or more,drinks,fruit-vegetable-juices,fruit-juices
Andros Ananas Juice,/en/food/drinks/fruit-vegetable-juices/fresh-juices-smoothies/other-fresh-juices/andros-ananas-juice/p/3643499,1000ml,5.0,5.95,,,drinks,fruit-vegetable-juices,fresh-juices-smoothies
Andros Blonde Orange Juice,/en/food/drinks/fruit-vegetable-juices/fresh-juices-smoothies/fresh-orange-juice/andros-blonde-orange-juice/p/3050480,1000ml,5.0,4.95,,,drinks,fruit-vegetable-juices,fresh-juices-smoothies
Andros Blood Orange Juice,/en/food/drinks/fruit-vegetable-juices/fresh-juices-smoothies/fresh-orange-juice/andros-blood-orange-juice/p/3050481,1000ml,5.0,4.95,,,drinks,fruit-vegetable-juices,fresh-juices-smoothies
Andros Cashew & Apple Juice,/en/food/drinks/fruit-vegetable-juices/andros-cashew-apple-juice/p/6742307,750ml,3.5,6.95,,,drinks,fruit-vegetable-juices,andros-cashew-apple-juice
Andros Clementine Juice,/en/food/drinks/fruit-vegetable-juices/fresh-juices-smoothies/other-fresh-juices/andros-clementine-juice/p/3878695,1000ml,5.0,4.95,,,drinks,fruit-vegetable-juices,fresh-juices-smoothies
Andros Exotic Multifruit Juice,/en/food/drinks/fruit-vegetable-juices/fresh-juices-smoothies/other-fresh-juices/andros-exotic-multifruit-juice/p/6706967,1500ml,4.0,5.95,,,drinks,fruit-vegetable-juices,fresh-juices-smoothies
Andros Exotic Multi-Fruit Juice 2x  250ml,/en/food/drinks/fruit-vegetable-juices/fresh-juices-smoothies/other-fresh-juices/andros-exotic-multi-fruit-juice/p/4814629,2x 250ml,4.0,4.6,,,drinks,fruit-vegetable-juices,fresh-juices-smoothies
Andros Fruit Juice 3 citrus fruits,/en/food/drinks/fruit-vegetable-juices/fresh-juices-smoothies/other-fresh-juices/andros-fruit-juice-3-citrus-fruits/p/3050303,1l,5.0,4.95,,,drinks,fruit-vegetable-juices,fresh-juices-smoothies
