title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Apricot Halves no added sugar,/en/food/frozen/fruits-vegetables/fruit-berries/fruechte/apricot-halves-no-added-sugar/p/3010789,750g,4.5,5.4,,,frozen,fruits-vegetables,fruit-berries
Backofen Rösti-Kroketten,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/backofen-roesti-kroketten/p/6481937,600g,5.0,4.7,,,frozen,fruits-vegetables,vegetables-potato-products
Bio Johannisbeeren,/en/food/frozen/fruits-vegetables/fruit-berries/bio-johannisbeeren/p/6783812,500g,5.0,3.95,,,frozen,fruits-vegetables,fruit-berries
Blueberries no added sugar 3x  350g,/en/food/frozen/fruits-vegetables/fruit-berries/beeren/blueberries-no-added-sugar/p/3368957,3x 350g,4.5,10.4,15.6,33%,frozen,fruits-vegetables,fruit-berries
Borlotti-Bohnen,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/borlotti-bohnen/p/4281155,450g,5.0,6.2,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Asian Mixed Vegetables,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/findus-frozen-asian-mixed-vegetables/p/3408528,600g,4.0,7.6,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Creamed Spinach,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/findus-frozen-creamed-spinach/p/3408526,800g,5.0,5.6,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Lactose Free Creamed Spinach,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/findus-frozen-lactose-free-creamed-spinach/p/6034487,500g,4.5,6.2,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Minestrone Soup Vegetables,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/findus-frozen-minestrone-soup-vegetables/p/6650321,450g,3.5,4.5,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Oven Bake Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/findus-frozen-oven-bake-fries/p/4030490,600g,4.0,6.2,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Prepared Spinach,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/findus-frozen-prepared-spinach/p/3408524,800g,5.0,5.7,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Romanesco Vegetable Mix,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/findus-frozen-romanesco-vegetable-mix/p/3533217,600g,4.5,7.6,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Royal Vegetable Mix,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/findus-frozen-royal-vegetable-mix/p/3408650,600g,4.5,7.6,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Spinach Branches,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/findus-frozen-spinach-branches/p/3408525,800g,4.5,6.8,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Frozen Thai Vegetable Mix,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/findus-frozen-thai-vegetable-mix/p/5832526,600g,4.5,7.6,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Garden Tendre Green Peas,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/findus-garden-tendre-green-peas/p/3010458,800g,5.0,7.6,,,frozen,fruits-vegetables,vegetables-potato-products
Findus Marché Ratatouille Vegetables,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/findus-marche-ratatouille-vegetables/p/3445030,600g,3.5,7.6,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Broccoli,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/frozen-broccoli/p/5821161,750g,4.5,4.75,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Brunoise Vegetable Mix,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/frozen-brunoise-vegetable-mix/p/6432039,500g,4.5,3.95,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Brussel Sprouts,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/frozen-brussel-sprouts/p/4952469,400g,4.5,2.8,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Chopped Runner Beans,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/frozen-chopped-runner-beans/p/6635315,500g,5.0,2.95,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Extra Fine Peas & Young Carrots,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/frozen-extra-fine-peas-young-carrots/p/3409231,600g,4.5,2.35,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen French Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/frozen-french-fries/p/3010099,1kg,4.5,4.25,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen French Fry Nuggets,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/frozen-french-fry-nuggets/p/3495004,600g,5.0,4.5,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Fried Potatoes,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/frozen-fried-potatoes/p/3010818,700g,4.5,3.95,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Green & Yellow String Beans,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/frozen-green-yellow-string-beans/p/5784791,350g,4.5,2.2,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Grilled Vegetables,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/frozen-grilled-vegetables/p/6566542,450g,4.5,4.8,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Mini Green Peas,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/frozen-mini-green-peas/p/4786998,700g,4.5,3.7,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Oven Baked Duchess Potatoes,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/frozen-oven-baked-duchess-potatoes/p/3409263,600g,5.0,4.7,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Oven Baked Potato Bites,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/frozen-oven-baked-potato-bites/p/3409261,600g,4.5,3.95,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Oven Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/frozen-oven-fries/p/3070039,1kg,4.5,4.95,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Peeled Chestnuts,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/frozen-peeled-chestnuts/p/3888583,500g,4.5,6.95,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Pommes Duchesse,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/frozen-pommes-duchesse/p/3407864,1kg,4.5,6.2,7.95,22%,frozen,fruits-vegetables,vegetables-potato-products
Frozen Shelled Edamame,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/frozen-shelled-edamame/p/6500167,500g,3.5,5.5,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen Skinny Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/frozen-skinny-fries/p/3448400,600g,4.5,3.5,,,frozen,fruits-vegetables,vegetables-potato-products
"Frozen Spinach Leaves, unseasoned",/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/frozen-spinach-leaves-unseasoned/p/3010791,600g,4.5,2.95,,,frozen,fruits-vegetables,vegetables-potato-products
Frozen String Beans,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables/frozen-string-beans/p/4786997,1000g,4.5,4.8,,,frozen,fruits-vegetables,vegetables-potato-products
Grillmix,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/grillmix/p/4281158,450g,4.5,7.2,,,frozen,fruits-vegetables,vegetables-potato-products
JaMaDu Frozen Vegetable Duchesse,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/jamadu-frozen-vegetable-duchesse/p/5975368,600g,5.0,5.95,,,frozen,fruits-vegetables,vegetables-potato-products
Karma Cauliflower like Rice,/en/food/frozen/fruits-vegetables/vegetables-potato-products/vegetables-mixes/karma-cauliflower-like-rice/p/6432038,600g,5.0,3.95,,,frozen,fruits-vegetables,vegetables-potato-products
Karma Frozen Sweet Potato Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/karma-frozen-sweet-potato-fries/p/6006175,450g,4.5,4.5,,,frozen,fruits-vegetables,vegetables-potato-products
Karma Yellow Smoothies 3x200g,/en/food/frozen/fruits-vegetables/fruit-berries/fruechte/karma-yellow-smoothies-3x200g/p/6422889,600g,5.0,5.95,,,frozen,fruits-vegetables,fruit-berries
McCain 1.2.3 Frozen Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/mccain-123-frozen-fries/p/3010793,750g,4.5,6.8,,,frozen,fruits-vegetables,vegetables-potato-products
McCain 1.2.3 Frozen Western Spicy Potatoe Wedges,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/mccain-123-frozen-western-spicy-potatoe-wedges/p/3010795,750g,4.5,6.8,,,frozen,fruits-vegetables,vegetables-potato-products
McCain Frozen Curvers Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/mccain-frozen-curvers-fries/p/6654065,500g,4.5,5.3,,,frozen,fruits-vegetables,vegetables-potato-products
McCain Frozen Golden Longs Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/mccain-frozen-golden-longs-fries/p/3409654,600g,4.5,5.95,,,frozen,fruits-vegetables,vegetables-potato-products
McCain Frozen Golden Sprinter Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/mccain-frozen-golden-sprinter-fries/p/3010794,600g,4.5,5.8,,,frozen,fruits-vegetables,vegetables-potato-products
McCain Frozen Rustico Fries,/en/food/frozen/fruits-vegetables/vegetables-potato-products/potato-products/mccain-frozen-rustico-fries/p/6016560,600g,4.0,5.7,,,frozen,fruits-vegetables,vegetables-potato-products
