title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
3K Chocolate Banana Protein Muesli,/en/food/inventories/muesli-cereals/muesli/muesli-with-chocolate/3k-chocolate-banana-protein-muesli/p/6566049,390g,0.0,9.95,,,inventories,muesli-cereals,muesli
3K Chocolate Nut Protein Muesli,/en/food/inventories/muesli-cereals/muesli/muesli-with-chocolate/3k-chocolate-nut-protein-muesli/p/6566050,390g,3.5,9.95,,,inventories,muesli-cereals,muesli
3K Red Berry Protein Muesli,/en/food/inventories/muesli-cereals/muesli/muesli-without-chocolate/3k-red-berry-protein-muesli/p/6566048,360g,4.0,9.95,,,inventories,muesli-cereals,muesli
Alpro Protein Drink Chocolate 2x  1l,/en/food/drinks/frozen-milk-drinks/chocolate-milk-drinks/alpro-protein-drink-chocolate/p/6706775,2x 1l,4.5,6.6,,,drinks,frozen-milk-drinks,chocolate-milk-drinks
Barebells Protein Bar Hazelnut Nougat 3x  55g,/en/food/sweets-snacks/health-and-sports/proteins/barebells-protein-bar-hazelnut-nougat/p/6390979,3x 55g,5.0,9.75,,,sweets-snacks,health-and-sports,proteins
Barebells Salty Peanut Protein Bar 3x  55g,/en/food/sweets-snacks/health-and-sports/proteins/barebells-salty-peanut-protein-bar/p/6131390,3x 55g,5.0,9.75,,,sweets-snacks,health-and-sports,proteins
Barebells White Chocolate Protein Bar 3x  55g,/en/food/sweets-snacks/health-and-sports/proteins/barebells-white-chocolate-protein-bar/p/6301443,3x 55g,5.0,9.75,,,sweets-snacks,health-and-sports,proteins
BE-KIND Protein Crunchy Peanut Butter,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/be-kind-protein-crunchy-peanut-butter/p/6622772,50g,4.0,3.5,,,sweets-snacks,crisps-snacks,cereal-bars
BE-KIND Protein Dark Chocolate Nut,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/be-kind-protein-dark-chocolate-nut/p/6622771,50g,4.0,3.5,,,sweets-snacks,crisps-snacks,cereal-bars
Chiefs Banana Beach Protein Milk 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/chiefs-banana-beach-protein-milk/p/6548472,2x 330ml,5.0,5.9,,,drinks,frozen-milk-drinks,milkshakes-lassi
Chiefs Choc & Nuts Bar 4x73ml,/en/food/sweets-snacks/health-and-sports/proteins/chiefs-choc-nuts-bar-4x73ml/p/6574044,292ml,5.0,8.95,,,sweets-snacks,health-and-sports,proteins
Chiefs Chocolate Protein Pudding,/en/food/dairy-products-eggs/desserts-cream/pudding-flan/chiefs-chocolate-protein-pudding/p/6009575,200g,4.5,2.65,,,dairy-products-eggs,desserts-cream,pudding-flan
Chiefs Choco Mountain Milk Protein Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/chiefs-choco-mountain-milk-protein-drink/p/5668359,2x 330ml,5.0,5.9,,,drinks,frozen-milk-drinks,milkshakes-lassi
Chiefs High Protein Meal Pot Mexican Chili,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/chiefs-high-protein-meal-pot-mexican-chili/p/6659454,69g,3.0,2.95,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Chiefs High Protein Meal Pot Mushroom Risotto,/en/food/ready-made-meals/conserved-ready-made-meals/noodles-soups-and-more/chiefs-high-protein-meal-pot-mushroom-risotto/p/6659452,66g,2.5,2.95,,,ready-made-meals,conserved-ready-made-meals,noodles-soups-and-more
Chiefs Milk Protein Coffee County Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/chiefs-milk-protein-coffee-county-drink/p/5849496,2x 330ml,4.5,5.9,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Chiefs Protein Bar Crispy Cookie,/en/food/sweets-snacks/health-and-sports/proteins/chiefs-protein-bar-crispy-cookie/p/6610629,55g,5.0,2.95,,,sweets-snacks,health-and-sports,proteins
Chiefs Protein Bar Crispy Cookie,/en/food/sweets-snacks/crisps-snacks/cereal-bars/bars-without-chocolate/chiefs-protein-bar-crispy-cookie/p/6807847,165g,5.0,7.95,,,sweets-snacks,crisps-snacks,cereal-bars
Chiefs Protein Bar Salty Caramel,/en/food/sweets-snacks/health-and-sports/proteins/chiefs-protein-bar-salty-caramel/p/6610630,55g,5.0,2.95,,,sweets-snacks,health-and-sports,proteins
Chiefs Protein Bar Salty Caramel,/en/food/sweets-snacks/health-and-sports/proteins/chiefs-protein-bar-salty-caramel/p/6807846,165g,4.5,7.95,,,sweets-snacks,health-and-sports,proteins
Chiefs Protein Bar Strawberry,/en/food/sweets-snacks/health-and-sports/proteins/chiefs-protein-bar-strawberry/p/6822719,55g,4.5,2.95,,,sweets-snacks,health-and-sports,proteins
Chiefs Protein Bar White Mocha,/en/food/sweets-snacks/health-and-sports/proteins/chiefs-protein-bar-white-mocha/p/6610628,55g,5.0,2.95,,,sweets-snacks,health-and-sports,proteins
Chiefs Protein Pizza Margherita,/en/food/frozen/ready-made-products/frozen-pizza/pizza/chiefs-protein-pizza-margherita/p/6726827,310g,5.0,6.95,,,frozen,ready-made-products,frozen-pizza
Chiefs Salted Caramel Ice Cream,/en/inspiration-gifts/specific-diets/high-protein/chiefs-salted-caramel-ice-cream/p/6362583,500ml,4.5,8.5,,,specific-diets,high-protein,chiefs-salted-caramel-ice-cream
Chiefs Strawberry Protein Milk Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/yogurt-drinks-buttermilk/chiefs-strawberry-protein-milk-drink/p/6118987,2x 330ml,5.0,5.9,,,drinks,frozen-milk-drinks,yogurt-drinks-buttermilk
Chiefs Vanilla Drive Milk Protein Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/chiefs-vanilla-drive-milk-protein-drink/p/5668401,2x 330ml,4.5,5.9,,,drinks,frozen-milk-drinks,milkshakes-lassi
Chiefs Vanilla Protein Pudding,/en/food/dairy-products-eggs/desserts-cream/pudding-flan/chiefs-vanilla-protein-pudding/p/6009577,200g,4.5,2.65,,,dairy-products-eggs,desserts-cream,pudding-flan
Chocolate Energy Cake,/en/food/sweets-snacks/health-and-sports/energy/chocolate-energy-cake/p/5973137,120g,4.5,2.5,,,sweets-snacks,health-and-sports,energy
CLIF BAR Builder's Protein Chocolate,/en/food/sweets-snacks/health-and-sports/energy/clif-bar-builder-s-protein-chocolate/p/6406923,68g,5.0,3.5,,,sweets-snacks,health-and-sports,energy
Emmi Chocolate High Protein Energy Milk Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/emmi-chocolate-high-protein-energy-milk-drink/p/5876778,2x 330ml,5.0,5.6,,,drinks,frozen-milk-drinks,milkshakes-lassi
Emmi Chocolate Nut Whey Energy Milk Drink,/en/food/sweets-snacks/health-and-sports/proteins/emmi-chocolate-nut-whey-energy-milk-drink/p/6606293,330ml,4.0,2.95,,,sweets-snacks,health-and-sports,proteins
Emmi Coffee High Energy Protein Milk Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/emmi-coffee-high-energy-protein-milk-drink/p/6041974,2x 330ml,4.0,5.6,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Emmi Energy Drink Plant Protein Choco,/en/food/sweets-snacks/health-and-sports/proteins/emmi-energy-drink-plant-protein-choco/p/6726447,330ml,4.0,2.95,,,sweets-snacks,health-and-sports,proteins
Emmi Energy Milk High Protein Coco & Raspberry,/en/food/sweets-snacks/health-and-sports/proteins/emmi-energy-milk-high-protein-coco-raspberry/p/6869142,330ml,5.0,2.95,,,sweets-snacks,health-and-sports,proteins
Emmi Energy Milk High Protein Pudding Choco,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/chocolate-stracciatella/emmi-energy-milk-high-protein-pudding-choco/p/6237961,200g,4.5,2.7,,,dairy-products-eggs,yogurt,flavoured-yogurt
Emmi Energy Milk High Protein Raspberry Rice Pot Cereal,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/raspberry/emmi-energy-milk-high-protein-raspberry-rice-pot-cereal/p/6629152,200g,3.5,2.7,,,dairy-products-eggs,yogurt,flavoured-yogurt
Emmi Energy Milk Whey Drink Vanilla & Strawberry,/en/food/sweets-snacks/health-and-sports/proteins/emmi-energy-milk-whey-drink-vanilla-strawberry/p/6788540,330ml,2.5,2.95,,,sweets-snacks,health-and-sports,proteins
Emmi Energy Milk Whey Yoghurt Berries,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/forest-garden-berries/emmi-energy-milk-whey-yoghurt-berries/p/6700376,170g,4.5,2.15,,,dairy-products-eggs,yogurt,flavoured-yogurt
Emmi Energy Milk Whey Yoghurt Mango & Passion Fruit,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/exotic-citrus-fruit/emmi-energy-milk-whey-yoghurt-mango-passion-fruit/p/6700375,170g,4.5,2.15,,,dairy-products-eggs,yogurt,flavoured-yogurt
Emmi good day Protein Milk UHT,/en/food/dairy-products-eggs/milk/milk-specialities/emmi-good-day-protein-milk-uht/p/6747812,1l,4.5,2.7,,,dairy-products-eggs,milk,milk-specialities
Emmi High Protein Caffé Latte 2x  370ml,/en/food/drinks/frozen-milk-drinks/coffee-drinks-chai-latte/emmi-high-protein-caffe-latte/p/6548560,2x 370ml,4.5,6.6,,,drinks,frozen-milk-drinks,coffee-drinks-chai-latte
Emmi Peach YoQua,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/garden-fruit/emmi-peach-yoqua/p/4931086,150g,4.5,1.55,,,dairy-products-eggs,yogurt,flavoured-yogurt
Emmi Raspberry YoQua,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/raspberry/emmi-raspberry-yoqua/p/4931082,150g,4.5,1.55,,,dairy-products-eggs,yogurt,flavoured-yogurt
Emmi Strawberry High Protein Energy Milk Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/emmi-strawberry-high-protein-energy-milk-drink/p/5694769,2x 330ml,4.5,5.6,,,drinks,frozen-milk-drinks,milkshakes-lassi
Emmi Vanilla High Protein Energy Milk Drink 2x  330ml,/en/food/drinks/frozen-milk-drinks/milkshakes-lassi/emmi-vanilla-high-protein-energy-milk-drink/p/5694766,2x 330ml,4.5,5.6,,,drinks,frozen-milk-drinks,milkshakes-lassi
Essento Insect Protein Bar Berry Almond,/en/food/sweets-snacks/crisps-snacks/cereal-bars/essento-insect-protein-bar-berry-almond/p/6760156,35g,0.0,2.95,,,sweets-snacks,crisps-snacks,cereal-bars
Essento Insect Protein Bar Raw Cacao,/en/food/sweets-snacks/crisps-snacks/cereal-bars/essento-insect-protein-bar-raw-cacao/p/6760184,35g,0.0,2.95,,,sweets-snacks,crisps-snacks,cereal-bars
Essento Locust Insect Snacks with Herbs,/en/food/sweets-snacks/health-and-sports/proteins/essento-locust-insect-snacks-with-herbs/p/6615087,8g,5.0,4.2,,,sweets-snacks,health-and-sports,proteins
Essento Paprika Insect Snacks,/en/food/sweets-snacks/health-and-sports/proteins/essento-paprika-insect-snacks/p/6615181,15g,4.5,3.7,,,sweets-snacks,health-and-sports,proteins
Fairtrade Chocolate Cream Dessert High Protein,/en/food/dairy-products-eggs/desserts-cream/cream-mousse/fairtrade-chocolate-cream-dessert-high-protein/p/6660422,200g,4.5,1.95,,,dairy-products-eggs,desserts-cream,cream-mousse
Fairtrade High Protein Vanilla Cream,/en/food/dairy-products-eggs/desserts-cream/cream-mousse/fairtrade-high-protein-vanilla-cream/p/6660452,200g,4.5,1.95,,,dairy-products-eggs,desserts-cream,cream-mousse
familia c.m.plus Choco Protein,/en/food/inventories/muesli-cereals/muesli/muesli-with-chocolate/familia-cmplus-choco-protein/p/6786623,600g,5.0,6.95,,,inventories,muesli-cereals,muesli
familia Champion High Protein Muesli,/en/food/inventories/muesli-cereals/muesli/muesli-without-chocolate/familia-champion-high-protein-muesli/p/6538815,500g,5.0,7.2,,,inventories,muesli-cereals,muesli
familia organic bud label Protein Choco,/en/food/inventories/muesli-cereals/muesli/muesli-with-chocolate/familia-organic-bud-label-protein-choco/p/6737539,375g,5.0,4.95,,,inventories,muesli-cereals,muesli
foodspring Protein bar Cookie Dough,/en/food/sweets-snacks/health-and-sports/proteins/foodspring-protein-bar-cookie-dough/p/6964014,60g,5.0,3.5,,,sweets-snacks,health-and-sports,proteins
