title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
BBQ Pepper Beef Steak ca. 230g,/en/food/meat-fish/packaged-fresh-meat/beef/bbq-pepper-beef-steak-ca/p/5756053,230g,4.0,13.3,,,meat-fish,packaged-fresh-meat,beef
Beef Entrecôte 900g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-entrecote/p/3700361,900g,3.5,35.55,,,meat-fish,packaged-fresh-meat,beef
Beef Entrecote ca. 640g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-entrecote-ca/p/3729755,640g,4.0,25.25,,,meat-fish,packaged-fresh-meat,beef
Beef Fillet ca. 200g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-fillet-ca/p/3592127,200g,0.0,9.3,,,meat-fish,packaged-fresh-meat,beef
Beef Fillet Medallion 2 Piece 260g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-fillet-medallion-2-piece/p/3064543,260g,4.5,25.85,,,meat-fish,packaged-fresh-meat,beef
Beef Minute Steaks 3-pack 300g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-minute-steaks-3-pack/p/3064466,300g,0.0,15.65,,,meat-fish,packaged-fresh-meat,beef
Beef Rib 1 Piece ca. 220g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-rib-1-piece-ca/p/3064494,220g,4.0,13.75,,,meat-fish,packaged-fresh-meat,beef
Beef Rib Steak 1 Piece ca. 230g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-rib-steak-1-piece-ca/p/3064496,230g,4.5,17.25,,,meat-fish,packaged-fresh-meat,beef
Beef Rumpsteak 2 Pieces ca. 280g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-rumpsteak-2-pieces-ca/p/3064493,280g,0.0,21.25,,,meat-fish,packaged-fresh-meat,beef
Beef Steaks 2 Pieces ca. 450g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-steaks-2-pieces-ca/p/3592121,450g,4.5,16.85,,,meat-fish,packaged-fresh-meat,beef
Beef Strips ca. 320g,/en/food/meat-fish/packaged-fresh-meat/beef/beef-strips-ca/p/3064470,320g,3.5,14.4,,,meat-fish,packaged-fresh-meat,beef
Bell BBQ Beef-Steak pepper ca. 230g,/en/food/meat-fish/packaged-fresh-meat/beef/bell-bbq-beef-steak-pepper-ca/p/6977531,230g,0.0,13.55,,,meat-fish,packaged-fresh-meat,beef
Bell BBQ Cooked Ribs ca. 500g,/en/food/meat-fish/packaged-fresh-meat/pork/bell-bbq-cooked-ribs-ca/p/5898259,500g,2.5,17.5,,,meat-fish,packaged-fresh-meat,pork
Bell BBQ Marinated Pork Ribs 2 Pieces 1.2kg,/en/food/meat-fish/packaged-fresh-meat/pork/bell-bbq-marinated-pork-ribs-2-pieces/p/4847185,1.2kg,5.0,19.2,33.0,41%,meat-fish,packaged-fresh-meat,pork
Bell BBQ Marinated Pork Spareribs ca. 580g,/en/food/meat-fish/packaged-fresh-meat/pork/bell-bbq-marinated-pork-spareribs-ca/p/6092479,580g,4.5,15.95,,,meat-fish,packaged-fresh-meat,pork
Bell BBQ Pulled Beef ca. 621g,/en/food/meat-fish/packaged-fresh-meat/beef/bell-bbq-pulled-beef-ca/p/5780148,621g,3.5,21.4,,,meat-fish,packaged-fresh-meat,beef
Bell BBQ Pulled Pork ca. 621g,/en/food/meat-fish/packaged-fresh-meat/pork/bell-bbq-pulled-pork-ca/p/5780149,621g,4.5,16.75,,,meat-fish,packaged-fresh-meat,pork
Bell Cheese-filled Chicken Breast with Bacon approx. 360g,/en/food/meat-fish/packaged-fresh-meat/poultry/bell-cheese-filled-chicken-breast-with-bacon-approx/p/6862027,360g,0.0,14.2,,,meat-fish,packaged-fresh-meat,poultry
Bell Chicken Breast filled with Olives & Cheese approx. 140g,/en/food/meat-fish/packaged-fresh-meat/poultry/bell-chicken-breast-filled-with-olives-cheese-approx/p/6862022,140g,0.0,5.5,,,meat-fish,packaged-fresh-meat,poultry
Bell Chicken Burger,/en/food/meat-fish/packaged-fresh-meat/poultry/bell-chicken-burger/p/6862008,200g,0.0,4.95,,,meat-fish,packaged-fresh-meat,poultry
Bell Chicken Thighs stuffed with Mozzarella & Pesto approx. 360g,/en/food/meat-fish/packaged-fresh-meat/poultry/bell-chicken-thighs-stuffed-with-mozzarella-pesto-approx/p/6862010,360g,0.0,8.8,,,meat-fish,packaged-fresh-meat,poultry
