title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Arctic Char Fillet with Skin,/en/food/meat-fish/seafood-market/arctic-char-fillet-with-skin/p/3062957,150g,4.5,5.9,,,meat-fish,seafood-market,arctic-char-fillet-with-skin
ASC Crevetten Cocktail mit Dill,/en/food/meat-fish/seafood-market/asc-crevetten-cocktail-mit-dill/p/6466967,200g,0.0,11.0,,,meat-fish,seafood-market,asc-crevetten-cocktail-mit-dill
ASC Crevetten ganz gekocht,/en/food/meat-fish/seafood-market/asc-crevetten-ganz-gekocht/p/6725116,200g,0.0,6.4,,,meat-fish,seafood-market,asc-crevetten-ganz-gekocht
Bio Lachs Butterflysteak Knoblauch,/en/food/meat-fish/seafood-market/bio-lachs-butterflysteak-knoblauch/p/6133404,180g,0.0,10.6,,,meat-fish,seafood-market,bio-lachs-butterflysteak-knoblauch
Black Halibut Fillet MSC,/en/food/meat-fish/seafood-market/black-halibut-fillet-msc/p/6222697,150g,4.5,5.9,,,meat-fish,seafood-market,black-halibut-fillet-msc
Deep sea scallops MSC,/en/food/meat-fish/seafood-market/deep-sea-scallops-msc/p/5852226,200g,4.5,17.9,19.9,10%,meat-fish,seafood-market,deep-sea-scallops-msc
Fine Food Cooked Lobster,/en/food/meat-fish/seafood-market/fine-food-cooked-lobster/p/5685455,525g,3.5,39.35,,,meat-fish,seafood-market,fine-food-cooked-lobster
Fine Food Fresh Swiss Alpine Caviar,/en/food/meat-fish/seafood-market/fine-food-fresh-swiss-alpine-caviar/p/6367917,50g,0.0,139.0,,,meat-fish,seafood-market,fine-food-fresh-swiss-alpine-caviar
Fine Food Fresh Swiss Alpine Caviar,/en/food/meat-fish/seafood-market/fine-food-fresh-swiss-alpine-caviar/p/6455037,125g,0.0,319.0,,,meat-fish,seafood-market,fine-food-fresh-swiss-alpine-caviar
Fine Food Fresh Swiss Alpine Caviar,/en/food/meat-fish/seafood-market/fine-food-fresh-swiss-alpine-caviar/p/6367913,30g,5.0,89.0,,,meat-fish,seafood-market,fine-food-fresh-swiss-alpine-caviar
Fine Food Raw Rock Lobster,/en/food/meat-fish/seafood-market/fine-food-raw-rock-lobster/p/4772203,400g,5.0,34.0,,,meat-fish,seafood-market,fine-food-raw-rock-lobster
Fine Food Sea Bass,/en/food/meat-fish/seafood-market/fine-food-sea-bass/p/5648630,1500g,3.5,100.5,,,meat-fish,seafood-market,fine-food-sea-bass
Fine Food Sea Bass,/en/food/meat-fish/seafood-market/fine-food-sea-bass/p/5648623,2500g,2.5,178.75,,,meat-fish,seafood-market,fine-food-sea-bass
Gilthead Sea Bream,/en/food/meat-fish/seafood-market/gilthead-sea-bream/p/5645890,1100g,4.0,38.5,,,meat-fish,seafood-market,gilthead-sea-bream
Gilthead Sea Bream,/en/food/meat-fish/seafood-market/gilthead-sea-bream/p/5645660,1500g,4.0,100.5,,,meat-fish,seafood-market,gilthead-sea-bream
Lemon Sole Fillets,/en/food/meat-fish/seafood-market/lemon-sole-fillets/p/3066718,150g,4.5,10.4,,,meat-fish,seafood-market,lemon-sole-fillets
Mackerel,/en/food/meat-fish/seafood-market/mackerel/p/4196033,250g,4.0,4.85,,,meat-fish,seafood-market,mackerel
Mini Spiessli mit Crevetten & Jakobsnüsse ,/en/food/meat-fish/seafood-market/mini-spiessli-mit-crevetten-jakobsnuesse-/p/5627318,50g,0.0,3.45,,,meat-fish,seafood-market,mini-spiessli-mit-crevetten-jakobsnuesse-
Mini Spiessli mit Crevetten & Jakobsnüsse mariniert,/en/food/meat-fish/seafood-market/mini-spiessli-mit-crevetten-jakobsnuesse-mariniert/p/6825170,50g,0.0,3.75,,,meat-fish,seafood-market,mini-spiessli-mit-crevetten-jakobsnuesse-mariniert
MSC Monkfish Fillet,/en/food/meat-fish/seafood-market/msc-monkfish-fillet/p/6141234,350g,5.0,26.25,,,meat-fish,seafood-market,msc-monkfish-fillet
MSC Nordstar Cod Fillet,/en/food/meat-fish/seafood-market/msc-nordstar-cod-fillet/p/4248535,150g,5.0,7.4,,,meat-fish,seafood-market,msc-nordstar-cod-fillet
MSC Plaice Fillet,/en/food/meat-fish/seafood-market/msc-plaice-fillet/p/3886526,150g,4.5,5.55,,,meat-fish,seafood-market,msc-plaice-fillet
MSC Pollack Fillet,/en/food/meat-fish/seafood-market/msc-pollack-fillet/p/3943801,200g,5.0,7.0,,,meat-fish,seafood-market,msc-pollack-fillet
MSC Red Scorpion Fish Fillet,/en/food/meat-fish/seafood-market/msc-red-scorpion-fish-fillet/p/4864422,150g,3.5,7.4,,,meat-fish,seafood-market,msc-red-scorpion-fish-fillet
MSC Royal Cod Dorsal Fillet,/en/food/meat-fish/seafood-market/msc-royal-cod-dorsal-fillet/p/4249251,200g,4.5,11.9,,,meat-fish,seafood-market,msc-royal-cod-dorsal-fillet
MSC Sole Fillet,/en/food/meat-fish/seafood-market/msc-sole-fillet/p/4105868,180g,5.0,23.3,,,meat-fish,seafood-market,msc-sole-fillet
MSC Sole Fillet boned,/en/food/meat-fish/seafood-market/msc-sole-fillet-boned/p/4105847,250g,4.5,26.25,,,meat-fish,seafood-market,msc-sole-fillet-boned
Naturaplan Organic Cooked Shrimp Tails,/en/food/meat-fish/seafood-market/naturaplan-organic-cooked-shrimp-tails/p/5742023,150g,4.0,12.75,,,meat-fish,seafood-market,naturaplan-organic-cooked-shrimp-tails
Naturaplan Organic Raw Shrimp Tails,/en/food/meat-fish/seafood-market/naturaplan-organic-raw-shrimp-tails/p/5742357,200g,4.5,17.0,,,meat-fish,seafood-market,naturaplan-organic-raw-shrimp-tails
Naturaplan Organic Salmon Fillet with Skin,/en/food/meat-fish/seafood-market/naturaplan-organic-salmon-fillet-with-skin/p/4399891,150g,4.5,8.25,9.75,15%,meat-fish,seafood-market,naturaplan-organic-salmon-fillet-with-skin
Naturaplan Organic Sea Bream,/en/food/meat-fish/seafood-market/naturaplan-organic-sea-bream/p/5645889,450g,5.0,16.2,,,meat-fish,seafood-market,naturaplan-organic-sea-bream
Naturaplan Organic Trout,/en/food/meat-fish/seafood-market/naturaplan-organic-trout/p/3510961,250g,4.5,9.25,,,meat-fish,seafood-market,naturaplan-organic-trout
Octopus whole,/en/food/meat-fish/seafood-market/octopus-whole/p/4774458,150g,3.0,2.9,,,meat-fish,seafood-market,octopus-whole
Pangasius Fillet ASC,/en/food/meat-fish/seafood-market/pangasius-fillet-asc/p/5965680,250g,5.0,6.1,,,meat-fish,seafood-market,pangasius-fillet-asc
Perch Fillet with Skin,/en/food/meat-fish/seafood-market/perch-fillet-with-skin/p/4097392,120g,5.0,10.05,,,meat-fish,seafood-market,perch-fillet-with-skin
Pike Perch Fillet without Skin,/en/food/meat-fish/seafood-market/pike-perch-fillet-without-skin/p/3063672,200g,5.0,11.9,,,meat-fish,seafood-market,pike-perch-fillet-without-skin
Pulpo Salat,/en/food/meat-fish/seafood-market/pulpo-salat/p/6622192,200g,0.0,11.9,,,meat-fish,seafood-market,pulpo-salat
Salmon fillet ASC,/en/food/meat-fish/seafood-market/salmon-fillet-asc/p/6875419,150g,0.0,10.4,,,meat-fish,seafood-market,salmon-fillet-asc
Scampi MSC,/en/food/meat-fish/seafood-market/scampi-msc/p/5795573,300g,5.0,14.85,,,meat-fish,seafood-market,scampi-msc
Sea Bream Fillet,/en/food/meat-fish/seafood-market/sea-bream-fillet/p/3805835,125g,4.5,4.8,,,meat-fish,seafood-market,sea-bream-fillet
Sepia,/en/food/meat-fish/seafood-market/sepia/p/4772206,300g,5.0,8.85,,,meat-fish,seafood-market,sepia
Skinless salmon fillet ASC,/en/food/meat-fish/seafood-market/skinless-salmon-fillet-asc/p/6875414,200g,0.0,11.0,,,meat-fish,seafood-market,skinless-salmon-fillet-asc
Skinless Turbot Fillet,/en/food/meat-fish/seafood-market/skinless-turbot-fillet/p/3874706,150g,5.0,12.5,,,meat-fish,seafood-market,skinless-turbot-fillet
"Spiny Lobster cooked, halfed",/en/food/meat-fish/seafood-market/spiny-lobster-cooked-halfed/p/4528199,250g,4.0,14.85,,,meat-fish,seafood-market,spiny-lobster-cooked-halfed
Squid Rings,/en/food/meat-fish/seafood-market/squid-rings/p/4774213,150g,4.5,3.75,,,meat-fish,seafood-market,squid-rings
Trout Fillet with Skin ASC,/en/food/meat-fish/seafood-market/trout-fillet-with-skin-asc/p/6287304,180g,4.0,6.45,,,meat-fish,seafood-market,trout-fillet-with-skin-asc
Turbot,/en/food/meat-fish/seafood-market/turbot/p/3874699,750g,4.5,26.25,,,meat-fish,seafood-market,turbot
Veraci Clams,/en/food/meat-fish/seafood-market/veraci-clams/p/6018504,500g,4.5,17.5,,,meat-fish,seafood-market,veraci-clams
Yellowfin Tuna Fillets,/en/food/meat-fish/seafood-market/yellowfin-tuna-fillets/p/5690161,200g,4.5,11.9,13.9,14%,meat-fish,seafood-market,yellowfin-tuna-fillets
