title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Actimel Blueberry Yoghurt 4x115g,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/forest-garden-berries/actimel-blueberry-yoghurt-4x115g/p/6764748,460g,0.0,3.95,,,dairy-products-eggs,yogurt,flavoured-yogurt
Actimel Raspberry & Pomegranate Yoghurt 4x115g,/en/food/drinks/frozen-milk-drinks/yogurt-drinks-buttermilk/actimel-raspberry-pomegranate-yoghurt-4x115g/p/6764770,460g,0.0,3.95,,,drinks,frozen-milk-drinks,yogurt-drinks-buttermilk
Activia Jog.Erd.-Heid.-Dat. o.Z. 4x115g,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/strawberry/activia-jogerd-heid-dat-oz-4x115g/p/6871530,460g,4.5,3.95,,,dairy-products-eggs,yogurt,flavoured-yogurt
Activia probiotic cereal yoghurt 4x115g,/en/food/dairy-products-eggs/yogurt/special-yogurt-muesli/activia-probiotic-cereal-yoghurt-4x115g/p/6080683,460g,5.0,3.75,,,dairy-products-eggs,yogurt,special-yogurt-muesli
Activia probiotic classic yoghurt 4x115g,/en/food/dairy-products-eggs/yogurt/natural-yogurt/activia-probiotic-classic-yoghurt-4x115g/p/6080733,460g,5.0,3.75,,,dairy-products-eggs,yogurt,natural-yogurt
Activia probiotic fig & oat yoghurt 4x115g,/en/food/dairy-products-eggs/yogurt/special-yogurt-muesli/activia-probiotic-fig-oat-yoghurt-4x115g/p/6080772,460g,5.0,3.85,,,dairy-products-eggs,yogurt,special-yogurt-muesli
Activia probiotic mixed cereal yoghurt economy pack 8x115g,/en/food/dairy-products-eggs/yogurt/special-yogurt-muesli/activia-probiotic-mixed-cereal-yoghurt-economy-pack-8x115g/p/6080802,920g,4.5,6.95,,,dairy-products-eggs,yogurt,special-yogurt-muesli
Activia probiotic oat chia & date yoghurt no added sugar 4x115g,/en/food/dairy-products-eggs/yogurt/special-yogurt-muesli/activia-probiotic-oat-chia-date-yoghurt-no-added-sugar-4x115g/p/6636364,460g,5.0,4.15,,,dairy-products-eggs,yogurt,special-yogurt-muesli
Activia probiotic peach & passion fruit yoghurt 4x115g,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/exotic-citrus-fruit/activia-probiotic-peach-passion-fruit-yoghurt-4x115g/p/6080731,460g,4.5,3.75,,,dairy-products-eggs,yogurt,flavoured-yogurt
Activia probiotic prune yoghurt 4x115g,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/garden-fruit/activia-probiotic-prune-yoghurt-4x115g/p/6080687,460g,5.0,3.85,,,dairy-products-eggs,yogurt,flavoured-yogurt
Activia probiotic strawberry yoghurt 4x115g,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/strawberry/activia-probiotic-strawberry-yoghurt-4x115g/p/6080684,460g,5.0,3.75,,,dairy-products-eggs,yogurt,flavoured-yogurt
Activia probiotischer Joghurt Granola Amaranth 4x115g,/en/food/dairy-products-eggs/yogurt/special-yogurt-muesli/activia-probiotischer-joghurt-granola-amaranth-4x115g/p/6423750,460g,5.0,3.85,,,dairy-products-eggs,yogurt,special-yogurt-muesli
Activia probiotischer Joghurt Vorratspack Fruchtmix 8x115g,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/garden-fruit/activia-probiotischer-joghurt-vorratspack-fruchtmix-8x115g/p/6156938,920g,5.0,6.95,,,dairy-products-eggs,yogurt,flavoured-yogurt
Activia Yoghurt Bircher Muesli no added sugar 4x115g,/en/food/dairy-products-eggs/yogurt/special-yogurt-muesli/activia-yoghurt-bircher-muesli-no-added-sugar-4x115g/p/6860540,460g,4.0,3.95,,,dairy-products-eggs,yogurt,special-yogurt-muesli
Alpro Raspberry no added sugar,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/raspberry/alpro-raspberry-no-added-sugar/p/6345474,400g,5.0,2.95,,,dairy-products-eggs,yogurt,flavoured-yogurt
Alpro Vanilla Skyr Yogurt,/en/food/dairy-products-eggs/yogurt/flavoured-yogurt/vanilla-caramel-honey/alpro-vanilla-skyr-yogurt/p/6370431,400g,4.0,2.95,,,dairy-products-eggs,yogurt,flavoured-yogurt
