title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Bio Chrustenkranz Mehrkorn,/en/food/bread-baked-goods/bakery/bio-chrustenkranz-mehrkorn/p/6727872,400g,5.0,3.5,,,bread-baked-goods,bakery,bio-chrustenkranz-mehrkorn
Butter Tresse,/en/food/bread-baked-goods/bakery/butter-tresse/p/4913403,320g,4.0,2.6,,,bread-baked-goods,bakery,butter-tresse
Butter Tresse,/en/food/bread-baked-goods/bakery/butter-tresse/p/4859939,500g,4.5,3.6,,,bread-baked-goods,bakery,butter-tresse
Butter Tresse,/en/food/bread-baked-goods/bakery/butter-tresse/p/4913406,700g,4.5,4.7,,,bread-baked-goods,bakery,butter-tresse
DUNKIN' DONUTS Rings Mix 4 Pieces,/en/food/bread-baked-goods/bakery/dunkin-donuts-rings-mix-4-pieces/p/6797336,288g,4.5,8.95,,,bread-baked-goods,bakery,dunkin-donuts-rings-mix-4-pieces
DUNKIN' DONUTS Strawberry 2 pieces,/en/food/bread-baked-goods/bakery/dunkin-donuts-strawberry-2-pieces/p/6797332,146g,5.0,4.5,,,bread-baked-goods,bakery,dunkin-donuts-strawberry-2-pieces
Fairtrade Chocolate Roll,/en/food/bread-baked-goods/bakery/fairtrade-chocolate-roll/p/4282730,72g,5.0,1.75,,,bread-baked-goods,bakery,fairtrade-chocolate-roll
Naturaplan organic bread roll,/en/food/bread-baked-goods/bakery/naturaplan-organic-bread-roll/p/6737607,80g,3.5,0.95,,,bread-baked-goods,bakery,naturaplan-organic-bread-roll
Naturaplan Organic Butter Roll,/en/food/bread-baked-goods/bakery/naturaplan-organic-butter-roll/p/6100799,65g,4.5,0.85,,,bread-baked-goods,bakery,naturaplan-organic-butter-roll
Naturaplan Organic Dark Homemade Bread,/en/food/bread-baked-goods/bakery/naturaplan-organic-dark-homemade-bread/p/6033603,450g,4.5,2.6,,,bread-baked-goods,bakery,naturaplan-organic-dark-homemade-bread
