title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
A Mano Anchovy Fillets,/en/food/inventories/canned-conserved/fish/pickled-fish-mussels/a-mano-anchovy-fillets/p/6557929,130g,5.0,5.95,,,inventories,canned-conserved,fish
Andros Apfel Compote 4x90g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-apfel-compote-4x90g/p/6076718,360g,5.0,3.95,,,inventories,canned-conserved,fruits
Andros Apple Banana Strawberry Compote 4x90g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-apple-banana-strawberry-compote-4x90g/p/6024954,360g,3.5,3.95,,,inventories,canned-conserved,fruits
Andros Apple Compote 8x100g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-apple-compote-8x100g/p/3370971,800g,4.5,6.3,,,inventories,canned-conserved,fruits
Andros Apple Compote Pockets 8x100g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-apple-compote-pockets-8x100g/p/6098825,800g,5.0,5.8,,,inventories,canned-conserved,fruits
Andros Apple Compote with Mango 4x90g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-apple-compote-with-mango-4x90g/p/6024942,360g,4.5,3.95,,,inventories,canned-conserved,fruits
Andros Apple Compote with Red Fruit Pouches 4x90g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-apple-compote-with-red-fruit-pouches-4x90g/p/6548528,360g,5.0,3.95,,,inventories,canned-conserved,fruits
Andros Apple Raspberry Compote 4x100g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-apple-raspberry-compote-4x100g/p/4884680,400g,5.0,3.6,,,inventories,canned-conserved,fruits
Andros Apple Strawberry Compote 8x100g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-apple-strawberry-compote-8x100g/p/4884812,800g,4.0,6.3,,,inventories,canned-conserved,fruits
Andros Dessert Apple & Plum no added sugar 4x100g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-dessert-apple-plum-no-added-sugar-4x100g/p/6098824,400g,5.0,3.6,,,inventories,canned-conserved,fruits
Andros Fruit Compote Pouches 18x90g,/en/food/inventories/canned-conserved/fruits/fruit/andros-fruit-compote-pouches-18x90g/p/6024978,1620g,5.0,14.95,,,inventories,canned-conserved,fruits
Andros Fruit Dessert Apple no added sugar 4x100g,/en/food/inventories/canned-conserved/fruits/apple-puree-sauce/andros-fruit-dessert-apple-no-added-sugar-4x100g/p/6098635,400g,4.5,3.6,,,inventories,canned-conserved,fruits
