title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Abate Fetel pears ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/abate-fetel-pears-ca/p/6572356,1kg,5.0,4.2,,,fruit-vegetables,fruit,apples-pears
Äpfel Envy I ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/aepfel-envy-i-ca/p/5764053,1kg,5.0,4.95,,,fruit-vegetables,fruit,apples-pears
Äpfel Gala,/en/food/fruit-vegetables/fruit/apples-pears/aepfel-gala/p/6610713,750g,5.0,2.7,,,fruit-vegetables,fruit,apples-pears
Apricot ca. 500g,/en/food/fruit-vegetables/fruit/more-garden-fruit/apricot-ca/p/3090131,500g,2.5,3.75,,,fruit-vegetables,fruit,more-garden-fruit
Betty Bossi Cubed Watermelon,/en/food/fruit-vegetables/fruit/kiwi-melons/betty-bossi-cubed-watermelon/p/6720316,250g,0.0,3.95,,,fruit-vegetables,fruit,kiwi-melons
Betty Bossi Fairtrade Golden Sweet Diced Pineapple,/en/food/fruit-vegetables/fruit/pineapple-mangoes/betty-bossi-fairtrade-golden-sweet-diced-pineapple/p/3700909,330g,4.5,5.8,,,fruit-vegetables,fruit,pineapple-mangoes
Bio mini Wassermelone,/en/food/fruit-vegetables/fruit/kiwi-melons/bio-mini-wassermelone/p/6986451,1PCE,0.0,7.95,,,fruit-vegetables,fruit,kiwi-melons
Birnen Conference ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/birnen-conference-ca/p/6575845,1kg,4.5,2.8,,,fruit-vegetables,fruit,apples-pears
Blond Oranges,/en/food/fruit-vegetables/fruit/citrus-fruit/blond-oranges/p/3090304,2kg,4.5,3.1,,,fruit-vegetables,fruit,citrus-fruit
Blond Oranges ca. 1kg,/en/food/fruit-vegetables/fruit/citrus-fruit/blond-oranges-ca/p/6521519,1kg,3.5,2.2,,,fruit-vegetables,fruit,citrus-fruit
Blueberries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/blueberries/p/3727419,250g,4.0,3.3,,,fruit-vegetables,fruit,grapes-berries
Blueberries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/blueberries/p/3090122,500g,4.5,3.95,6.6,40%,fruit-vegetables,fruit,grapes-berries
Boskoop Category I Apples ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/boskoop-category-i-apples-ca/p/3090415,1kg,4.5,3.95,,,fruit-vegetables,fruit,apples-pears
Braeburn Apples 4-6 Pieces ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/braeburn-apples-4-6-pieces-ca/p/3542108,1kg,4.5,3.3,,,fruit-vegetables,fruit,apples-pears
Cantaloup 1 Piece,/en/food/fruit-vegetables/fruit/kiwi-melons/cantaloup-1-piece/p/3090785,1PCE,3.5,4.2,,,fruit-vegetables,fruit,kiwi-melons
Charentais melon 1 Piece,/en/food/fruit-vegetables/fruit/kiwi-melons/charentais-melon-1-piece/p/3090782,1PCE,4.0,3.95,,,fruit-vegetables,fruit,kiwi-melons
Cherries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/cherries/p/3440433,500g,3.0,7.95,11.5,30%,fruit-vegetables,fruit,grapes-berries
Fairtrade Bananas ca. 1kg,/en/food/fruit-vegetables/fruit/bananas/fairtrade-bananas-ca/p/6495789,1kg,4.5,2.4,,,fruit-vegetables,fruit,bananas
