title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
"Betty Bossi Basil, 1 bunch",/en/food/fruit-vegetables/herbs-spices/fresh-herbs/betty-bossi-basil-1-bunch/p/3406005,20g,4.0,2.3,,,fruit-vegetables,herbs-spices,fresh-herbs
Betty Bossi BBQ Mix,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/betty-bossi-bbq-mix/p/6760813,20g,0.0,2.5,,,fruit-vegetables,herbs-spices,fresh-herbs
Betty Bossi Hot Chili,/en/food/fruit-vegetables/herbs-spices/chilli-lemongrass-ginger/betty-bossi-hot-chili/p/3402222,15g,4.5,2.3,,,fruit-vegetables,herbs-spices,chilli-lemongrass-ginger
Betty Bossi Lemon Grass,/en/food/fruit-vegetables/herbs-spices/chilli-lemongrass-ginger/betty-bossi-lemon-grass/p/3406199,35g,4.5,2.95,,,fruit-vegetables,herbs-spices,chilli-lemongrass-ginger
Betty Bossi Naturaplan Organic Alfalfa Arugula Sprouts,/en/food/fruit-vegetables/herbs-spices/sprouts-watercress/betty-bossi-naturaplan-organic-alfalfa-arugula-sprouts/p/3410801,60g,5.0,2.95,,,fruit-vegetables,herbs-spices,sprouts-watercress
Betty Bossi Naturaplan Organic Fresh Watercress,/en/food/fruit-vegetables/herbs-spices/sprouts-watercress/betty-bossi-naturaplan-organic-fresh-watercress/p/3120235,30g,4.5,2.95,,,fruit-vegetables,herbs-spices,sprouts-watercress
Betty Bossi Naturaplan Organic Mungo Bean Sprouts,/en/food/fruit-vegetables/herbs-spices/sprouts-watercress/betty-bossi-naturaplan-organic-mungo-bean-sprouts/p/4542934,250g,4.5,2.2,,,fruit-vegetables,herbs-spices,sprouts-watercress
Betty Bossi Naturaplan Organic Mungo Bean Sprouts,/en/food/fruit-vegetables/herbs-spices/sprouts-watercress/betty-bossi-naturaplan-organic-mungo-bean-sprouts/p/4941473,250g,4.5,2.2,,,fruit-vegetables,herbs-spices,sprouts-watercress
Betty Bossi Pizza Mix,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/betty-bossi-pizza-mix/p/6760814,20g,5.0,2.5,,,fruit-vegetables,herbs-spices,fresh-herbs
Betty Bossi Rosemary 1 Bunch,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/betty-bossi-rosemary-1-bunch/p/3406192,20g,4.5,2.3,,,fruit-vegetables,herbs-spices,fresh-herbs
Betty Bossi Sage 1 Bunch,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/betty-bossi-sage-1-bunch/p/3406196,20g,3.0,2.3,,,fruit-vegetables,herbs-spices,fresh-herbs
Bundle of Red Onions,/en/food/fruit-vegetables/herbs-spices/onions-garlic/bundle-of-red-onions/p/4903552,1Bd,5.0,2.2,,,fruit-vegetables,herbs-spices,onions-garlic
Chives 1 Bag,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/chives-1-bag/p/3406200,10g,4.0,1.0,,,fruit-vegetables,herbs-spices,fresh-herbs
Curly Parsley 1 Bag,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/curly-parsley-1-bag/p/3406186,20g,4.5,1.0,,,fruit-vegetables,herbs-spices,fresh-herbs
Flat Parsley 1 Bunch,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/flat-parsley-1-bunch/p/3406188,20g,5.0,1.0,,,fruit-vegetables,herbs-spices,fresh-herbs
Fresh Garlic,/en/food/fruit-vegetables/herbs-spices/onions-garlic/fresh-garlic/p/4826443,1PCE,4.5,1.4,,,fruit-vegetables,herbs-spices,onions-garlic
Garden Cress 1 Box,/en/food/fruit-vegetables/herbs-spices/sprouts-watercress/garden-cress-1-box/p/3413719,50g,4.5,1.95,,,fruit-vegetables,herbs-spices,sprouts-watercress
Garlic 1 Piece,/en/food/fruit-vegetables/herbs-spices/onions-garlic/garlic-1-piece/p/3753601,1PCE,4.5,0.55,,,fruit-vegetables,herbs-spices,onions-garlic
Ginger ca. 200g,/en/food/fruit-vegetables/herbs-spices/chilli-lemongrass-ginger/ginger-ca/p/6864087,200g,2.0,1.0,,,fruit-vegetables,herbs-spices,chilli-lemongrass-ginger
Naturaplan Organic Bay Leaves,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/naturaplan-organic-bay-leaves/p/6412045,18g,0.0,2.6,,,fruit-vegetables,herbs-spices,fresh-herbs
Naturaplan Organic Betty Bossi Peppermint 1 Box,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/naturaplan-organic-betty-bossi-peppermint-1-box/p/3406191,20g,0.0,2.3,,,fruit-vegetables,herbs-spices,fresh-herbs
Naturaplan organic curly parsley,/en/food/fruit-vegetables/herbs-spices/fresh-herbs/naturaplan-organic-curly-parsley/p/3406187,20g,0.0,1.6,,,fruit-vegetables,herbs-spices,fresh-herbs
Naturaplan organic garlic,/en/food/fruit-vegetables/herbs-spices/onions-garlic/naturaplan-organic-garlic/p/6407676,150g,4.0,1.95,,,fruit-vegetables,herbs-spices,onions-garlic
Naturaplan Organic Jerusalem Artichoke 500g,/en/food/fruit-vegetables/herbs-spices/chilli-lemongrass-ginger/naturaplan-organic-jerusalem-artichoke/p/4234715,500g,5.0,3.95,,,fruit-vegetables,herbs-spices,chilli-lemongrass-ginger
Naturaplan Organic Shallots,/en/food/fruit-vegetables/herbs-spices/onions-garlic/naturaplan-organic-shallots/p/3091254,250g,5.0,1.95,,,fruit-vegetables,herbs-spices,onions-garlic
Naturaplan Organic Spring Onions,/en/food/fruit-vegetables/herbs-spices/onions-garlic/naturaplan-organic-spring-onions/p/3575990,120g,5.0,3.6,,,fruit-vegetables,herbs-spices,onions-garlic
Naturaplan Organic Turmeric ca. 100g,/en/food/fruit-vegetables/herbs-spices/chilli-lemongrass-ginger/naturaplan-organic-turmeric-ca/p/6114998,100g,4.5,2.95,,,fruit-vegetables,herbs-spices,chilli-lemongrass-ginger
Naturaplan Organic Yellow Onions,/en/food/fruit-vegetables/herbs-spices/onions-garlic/naturaplan-organic-yellow-onions/p/3955468,500g,2.5,2.2,,,fruit-vegetables,herbs-spices,onions-garlic
Pearl Onions,/en/food/fruit-vegetables/herbs-spices/onions-garlic/pearl-onions/p/3352965,500g,3.5,1.6,,,fruit-vegetables,herbs-spices,onions-garlic
Prix Garantie Garlic,/en/food/fruit-vegetables/herbs-spices/onions-garlic/prix-garantie-garlic/p/6577382,400g,4.5,1.5,,,fruit-vegetables,herbs-spices,onions-garlic
Prix Garantie Knoblauch,/en/food/fruit-vegetables/herbs-spices/onions-garlic/prix-garantie-knoblauch/p/7002042,250g,0.0,0.95,,,fruit-vegetables,herbs-spices,onions-garlic
Prix Garantie onions,/en/food/fruit-vegetables/herbs-spices/onions-garlic/prix-garantie-onions/p/6799744,1.5kg,4.5,1.15,,,fruit-vegetables,herbs-spices,onions-garlic
Prix Garantie Schalotten,/en/food/fruit-vegetables/herbs-spices/onions-garlic/prix-garantie-schalotten/p/4827283,500g,4.0,1.5,,,fruit-vegetables,herbs-spices,onions-garlic
Pro Montagna Organic Alpine Chili,/en/food/fruit-vegetables/herbs-spices/chilli-lemongrass-ginger/pro-montagna-organic-alpine-chili/p/4829868,6g,4.5,4.95,,,fruit-vegetables,herbs-spices,chilli-lemongrass-ginger
Red Chili Peppers ca. 50g,/en/food/fruit-vegetables/herbs-spices/chilli-lemongrass-ginger/red-chili-peppers-ca/p/3091051,50g,4.5,0.75,,,fruit-vegetables,herbs-spices,chilli-lemongrass-ginger
