title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Apple Flavoured Fruit Tea 50 Bags,/en/food/drinks/hot-drinks/tea/fruit-tea/apple-flavoured-fruit-tea-50-bags/p/4815151,50PCE,5.0,2.35,,,drinks,hot-drinks,tea
Assorted Flavoured Fruit Tea 24 Bags,/en/food/drinks/hot-drinks/tea/fruit-tea/assorted-flavoured-fruit-tea-24-bags/p/4815157,24PCE,4.5,2.35,,,drinks,hot-drinks,tea
Cailler Le Chocolat Chocolate Beverage Powder Mix,/en/food/drinks/hot-drinks/chocolate/cailler-le-chocolat-chocolate-beverage-powder-mix/p/3463927,500g,4.5,7.95,,,drinks,hot-drinks,chocolate
Caotina Chocolate Powder Beverage Mix 2x1kg,/en/food/drinks/hot-drinks/chocolate/caotina-chocolate-powder-beverage-mix-2x1kg/p/3381664,2000g,0.0,22.95,28.7,20%,drinks,hot-drinks,chocolate
Caotina Dark Chocolate Powder Beverage Mix,/en/food/drinks/hot-drinks/chocolate/caotina-dark-chocolate-powder-beverage-mix/p/3477382,500g,5.0,9.2,,20% on 2 or more,drinks,hot-drinks,chocolate
Caotina original,/en/food/drinks/hot-drinks/chocolate/caotina-original/p/3030231,750g,5.0,10.8,,20% on 2 or more,drinks,hot-drinks,chocolate
Caotina original,/en/food/drinks/hot-drinks/chocolate/caotina-original/p/3031994,500g,5.0,8.35,,20% on 2 or more,drinks,hot-drinks,chocolate
Caotina original Stick,/en/food/drinks/hot-drinks/chocolate/caotina-original-stick/p/3349932,150g,5.0,5.7,,20% on 2 or more,drinks,hot-drinks,chocolate
Caotina Surfin ohne Zucker,/en/food/drinks/hot-drinks/chocolate/caotina-surfin-ohne-zucker/p/4045779,350g,3.0,8.95,,20% on 2 or more,drinks,hot-drinks,chocolate
Caotina White Chocolate Powder Beverage Mix,/en/food/drinks/hot-drinks/chocolate/caotina-white-chocolate-powder-beverage-mix/p/3468767,500g,5.0,9.95,,20% on 2 or more,drinks,hot-drinks,chocolate
Chai Latte Instant 8 bags,/en/food/drinks/hot-drinks/tea/instant-tea-punch/chai-latte-instant-8-bags/p/3656364,200g,4.5,3.95,,,drinks,hot-drinks,tea
Coop Chai Latte Ingwer-Zitronengras,/en/food/drinks/hot-drinks/tea/spiced-tea-chai-rooibos/coop-chai-latte-ingwer-zitronengras/p/4950963,160g,3.0,4.35,,,drinks,hot-drinks,tea
Echt Entlebuch Glücksmomente,/en/food/drinks/hot-drinks/tea/tea-blends/echt-entlebuch-gluecksmomente/p/4365674,40g,0.0,5.95,,,drinks,hot-drinks,tea
Echt Entlebuch Teegenuss,/en/food/drinks/hot-drinks/tea/tea-blends/echt-entlebuch-teegenuss/p/4365741,40g,0.0,5.95,,,drinks,hot-drinks,tea
Fine Food MH Jasmin Tea,/en/food/drinks/hot-drinks/tea/green-tea-white-tea/fine-food-mh-jasmin-tea/p/6706545,100g,0.0,9.95,,,drinks,hot-drinks,tea
Floramed Calming Herbal Tea 20 Bags,/en/food/drinks/hot-drinks/tea/tea-blends/floramed-calming-herbal-tea-20-bags/p/4828847,26g,4.5,2.6,,,drinks,hot-drinks,tea
