title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
A. Vogel Herbamare Original Vegetable & Herb Sea Salt,/en/food/inventories/stocks-spices/salt-pepper/salt/a-vogel-herbamare-original-vegetable-herb-sea-salt/p/3022396,250g,5.0,4.8,,,inventories,stocks-spices,salt-pepper
"A. Vogel Herbamare Spicy Vegetable, Herb & Spices Sea Salt",/en/food/inventories/stocks-spices/salt-pepper/salt/a-vogel-herbamare-spicy-vegetable-herb-spices-sea-salt/p/3628880,250g,5.0,6.45,,,inventories,stocks-spices,salt-pepper
A. Vogel Herbamare Spicy Vegetable & Herb Sea Salt,/en/food/inventories/stocks-spices/salt-pepper/seasoning/a-vogel-herbamare-spicy-vegetable-herb-sea-salt/p/6660445,125g,0.0,3.95,,,inventories,stocks-spices,salt-pepper
A. Vogel Herbamare Stock 8x11g,/en/food/inventories/stocks-spices/bouillons-stocks/vegetable-stock/a-vogel-herbamare-stock-8x11g/p/6570121,88g,0.0,4.15,,,inventories,stocks-spices,bouillons-stocks
A. Vogel Herbamare Vegetable & Herb Sea Salt,/en/food/inventories/stocks-spices/salt-pepper/seasoning/a-vogel-herbamare-vegetable-herb-sea-salt/p/6690363,500g,0.0,8.45,,,inventories,stocks-spices,salt-pepper
A.Vogel Herbamare Vegetable Herb Sea Salt,/en/food/inventories/stocks-spices/salt-pepper/salt/avogel-herbamare-vegetable-herb-sea-salt/p/3712922,1kg,5.0,14.9,,,inventories,stocks-spices,salt-pepper
A. Vogel Original Herbamare Seasoning,/en/food/inventories/stocks-spices/salt-pepper/salt/a-vogel-original-herbamare-seasoning/p/6660443,125g,3.0,3.4,,,inventories,stocks-spices,salt-pepper
A. Vogel Trocomare Vegetable & Herb Sea Salt,/en/food/inventories/stocks-spices/salt-pepper/salt/a-vogel-trocomare-vegetable-herb-sea-salt/p/3023083,250g,5.0,5.2,,,inventories,stocks-spices,salt-pepper
A. Vogel Trocomare Vegetable & Herb Sea Salt,/en/food/inventories/stocks-spices/salt-pepper/seasoning/a-vogel-trocomare-vegetable-herb-sea-salt/p/6660444,125g,0.0,3.65,,,inventories,stocks-spices,salt-pepper
A.Vogel Trocomare Vegetable Herb Sea Salt,/en/food/inventories/stocks-spices/salt-pepper/salt/avogel-trocomare-vegetable-herb-sea-salt/p/3712923,1kg,0.0,15.9,,,inventories,stocks-spices,salt-pepper
Achva Kosher Tahini Sesame Sauce,/en/inspiration-gifts/specific-diets/kosher/achva-kosher-tahini-sesame-sauce/p/3021031,500g,5.0,7.7,,,specific-diets,kosher,achva-kosher-tahini-sesame-sauce
All'italiana Herb Mix,/en/food/inventories/stocks-spices/dried-herbs/all-italiana-herb-mix/p/6539786,5g,5.0,1.45,,,inventories,stocks-spices,dried-herbs
Al Wadi Tahine Sesame Paste,/en/food/inventories/stocks-spices/liquid-seasoning-pastes/al-wadi-tahine-sesame-paste/p/3021403,454g,3.5,5.95,7.95,25%,inventories,stocks-spices,liquid-seasoning-pastes
Aquila Pure Saffron,/en/food/inventories/stocks-spices/seasoning/dried-spices/aquila-pure-saffron/p/3021188,750mg,5.0,3.3,4.95,33%,inventories,stocks-spices,seasoning
Aquila Saffron Threads,/en/food/inventories/stocks-spices/seasoning/dried-spices/aquila-saffron-threads/p/6662065,500mg,0.0,5.95,,,inventories,stocks-spices,seasoning
Avopri Sambal Oelek,/en/food/inventories/stocks-spices/liquid-seasoning-pastes/avopri-sambal-oelek/p/3444596,100g,5.0,2.4,,,inventories,stocks-spices,liquid-seasoning-pastes
Bell Original Seasoning,/en/food/inventories/stocks-spices/seasoning/meat-seasoning-marinades/bell-original-seasoning/p/4486711,80g,5.0,2.3,,,inventories,stocks-spices,seasoning
Betty Bossi Beef Stock,/en/food/inventories/stocks-spices/bouillons-stocks/meat-stock/betty-bossi-beef-stock/p/6442370,250g,0.0,4.95,,,inventories,stocks-spices,bouillons-stocks
Betty Bossi Vegetable Stock,/en/food/inventories/stocks-spices/bouillons-stocks/vegetable-stock/betty-bossi-vegetable-stock/p/6442366,250g,1.0,4.95,,,inventories,stocks-spices,bouillons-stocks
