title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Antica Modena Balsamic Vinegar,/en/food/inventories/vinegars-oils/vinegars/balsamic/antica-modena-balsamic-vinegar/p/3020912,250ml,4.5,6.5,,30% on 2 or more,inventories,vinegars-oils,vinegars
Antica Modena Balsamic Vinegar,/en/food/inventories/vinegars-oils/vinegars/balsamic/antica-modena-balsamic-vinegar/p/4834055,500ml,4.5,6.8,,30% on 2 or more,inventories,vinegars-oils,vinegars
Antica Modena Balsamic Vinegar 2 Blatt,/en/food/inventories/vinegars-oils/vinegars/balsamic/antica-modena-balsamic-vinegar-2-blatt/p/3020911,500ml,4.5,4.7,,30% on 2 or more,inventories,vinegars-oils,vinegars
Antica Modena Balsamic Vinegar 3 Blatt,/en/food/inventories/vinegars-oils/vinegars/balsamic/antica-modena-balsamic-vinegar-3-blatt/p/3816345,1000ml,4.5,19.95,,30% on 2 or more,inventories,vinegars-oils,vinegars
Antica Modena Crema Balsamic Vinegar,/en/food/inventories/vinegars-oils/vinegars/balsamic/antica-modena-crema-balsamic-vinegar/p/6653087,250ml,5.0,6.3,,30% on 2 or more,inventories,vinegars-oils,vinegars
Antica Modena Superiore Balsamic Vinegar,/en/food/inventories/vinegars-oils/vinegars/balsamic/antica-modena-superiore-balsamic-vinegar/p/3366784,250ml,5.0,16.95,,30% on 2 or more,inventories,vinegars-oils,vinegars
Antica Modena Sweet Balsamic Vinegar,/en/food/inventories/vinegars-oils/vinegars/balsamic/antica-modena-sweet-balsamic-vinegar/p/4058127,500ml,5.0,6.4,,30% on 2 or more,inventories,vinegars-oils,vinegars
Antica Modena White Balsamic Vinegar,/en/food/inventories/vinegars-oils/vinegars/balsamic/antica-modena-white-balsamic-vinegar/p/4058126,500ml,4.5,6.2,,30% on 2 or more,inventories,vinegars-oils,vinegars
Becel Vita-3 Vegetable Oil,/en/food/inventories/vinegars-oils/oil/sunflower-vegetable-oil/becel-vita-3-vegetable-oil/p/3022345,500ml,5.0,6.25,,,inventories,vinegars-oils,oil
Bio Himbeeren Essigzubereitung 250ml,/en/food/inventories/vinegars-oils/vinegars/speciality-vinegars/bio-himbeeren-essigzubereitung-250ml/p/6628263,250ml,0.0,4.95,,,inventories,vinegars-oils,vinegars
Chirat Kressi Dressing Balsamico,/en/food/inventories/vinegars-oils/vinegars/balsamic/chirat-kressi-dressing-balsamico/p/6377267,500ml,5.0,3.95,,20% on 2 or more,inventories,vinegars-oils,vinegars
Chirat Kressi Wine Vinegar with Herbs,/en/food/inventories/vinegars-oils/vinegars/wine-vinegar/chirat-kressi-wine-vinegar-with-herbs/p/3022365,1l,5.0,2.95,,20% on 2 or more,inventories,vinegars-oils,vinegars
Chirat Naturaplan Organic Kressi Herb Vinegar,/en/food/inventories/vinegars-oils/vinegars/speciality-vinegars/chirat-naturaplan-organic-kressi-herb-vinegar/p/6085360,1l,4.5,3.95,,20% on 2 or more,inventories,vinegars-oils,vinegars
Cider Vinegar,/en/food/inventories/vinegars-oils/vinegars/speciality-vinegars/cider-vinegar/p/3020563,1l,5.0,1.95,,,inventories,vinegars-oils,vinegars
Don Felipe Extra Virgin Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/don-felipe-extra-virgin-olive-oil/p/5869824,1l,4.0,10.95,,,inventories,vinegars-oils,oil
Extra Virgin Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/extra-virgin-olive-oil/p/5863711,1l,4.5,7.95,,,inventories,vinegars-oils,oil
Filippo Berio Cooking Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/filippo-berio-cooking-olive-oil/p/3366609,1l,4.5,10.0,12.5,20%,inventories,vinegars-oils,oil
Filippo Berio Extra Vierge Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/filippo-berio-extra-vierge-olive-oil/p/3024013,500ml,4.0,6.35,7.95,20%,inventories,vinegars-oils,oil
Filippo Berio Extra Virgin Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/filippo-berio-extra-virgin-olive-oil/p/3402259,2l,4.5,19.95,24.95,20%,inventories,vinegars-oils,oil
Filippo Berio Extra Virgin Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/filippo-berio-extra-virgin-olive-oil/p/4827271,3l,4.0,28.75,35.95,20%,inventories,vinegars-oils,oil
Filippo Berio Extra Virgin Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/filippo-berio-extra-virgin-olive-oil/p/3024017,1l,4.5,11.95,14.95,20%,inventories,vinegars-oils,oil
Filippo Berio Extra Virgin Olive Oil in Aerosol Spray,/en/food/inventories/vinegars-oils/oil/olive-oil/filippo-berio-extra-virgin-olive-oil-in-aerosol-spray/p/3690190,200ml,3.5,5.55,6.95,20%,inventories,vinegars-oils,oil
Filippo Berio IGP Tuscan Extra Virgin Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/filippo-berio-igp-tuscan-extra-virgin-olive-oil/p/3366592,500ml,0.0,11.95,14.95,20%,inventories,vinegars-oils,oil
Filippo Berio Mild Extra Virgin Olive Oil,/en/food/inventories/vinegars-oils/oil/olive-oil/filippo-berio-mild-extra-virgin-olive-oil/p/4060772,500ml,3.5,6.35,7.95,20%,inventories,vinegars-oils,oil
