title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Almonds Ground,/en/food/inventories/baking-ingredients/classic-baking-ingredients/nuts/almonds-ground/p/3030107,200g,4.5,3.3,,,inventories,baking-ingredients,classic-baking-ingredients
Almond Slivers,/en/food/inventories/baking-ingredients/classic-baking-ingredients/nuts/almond-slivers/p/3590536,200g,5.0,3.95,,,inventories,baking-ingredients,classic-baking-ingredients
Almond sticks,/en/food/inventories/baking-ingredients/classic-baking-ingredients/nuts/almond-sticks/p/6753753,200g,0.0,3.95,,,inventories,baking-ingredients,classic-baking-ingredients
Betty Bossi Almond Paste,/en/food/inventories/baking-ingredients/decorations/marzipan/betty-bossi-almond-paste/p/5939720,250g,4.0,3.2,,,inventories,baking-ingredients,decorations
Betty Bossi Baking Powder 4x15g,/en/food/inventories/baking-ingredients/classic-baking-ingredients/staples/betty-bossi-baking-powder-4x15g/p/4927504,60g,5.0,0.95,,,inventories,baking-ingredients,classic-baking-ingredients
Betty Bossi Bourbon Vanilla 3x5g,/en/food/inventories/baking-ingredients/classic-baking-ingredients/fruit-flavourings/betty-bossi-bourbon-vanilla-3x5g/p/6603497,15g,0.0,12.95,,,inventories,baking-ingredients,classic-baking-ingredients
Betty Bossi Bourbon Vanilla Paste,/en/food/inventories/baking-ingredients/classic-baking-ingredients/staples/betty-bossi-bourbon-vanilla-paste/p/4927565,60ml,3.5,7.95,,,inventories,baking-ingredients,classic-baking-ingredients
Betty Bossi Bourbon Vanilla Sugar 4x8g,/en/food/inventories/baking-ingredients/classic-baking-ingredients/staples/betty-bossi-bourbon-vanilla-sugar-4x8g/p/6333148,32g,0.0,3.4,,,inventories,baking-ingredients,classic-baking-ingredients
Betty Bossi Braided Butter Bread Mix,/en/food/inventories/baking-ingredients/baking-mixes/bread-mixes/betty-bossi-braided-butter-bread-mix/p/5622116,500g,4.0,2.6,,,inventories,baking-ingredients,baking-mixes
Betty Bossi Caramel Cubes,/en/food/inventories/baking-ingredients/decorations/icing-glazes-toppings/betty-bossi-caramel-cubes/p/5875701,100g,5.0,3.4,,,inventories,baking-ingredients,decorations
Betty Bossi Chocolate Letters & Numbers,/en/food/inventories/baking-ingredients/decorations/decorations-lettering/betty-bossi-chocolate-letters-numbers/p/5627423,84PCE,4.0,3.4,,,inventories,baking-ingredients,decorations
Betty Bossi chocolate silver balls,/en/food/inventories/baking-ingredients/decorations/decorations-lettering/betty-bossi-chocolate-silver-balls/p/6612586,110g,5.0,4.95,,,inventories,baking-ingredients,decorations
Betty Bossi Chopped Pistachio Nuts,/en/food/inventories/baking-ingredients/classic-baking-ingredients/nuts/betty-bossi-chopped-pistachio-nuts/p/4943564,25g,5.0,2.95,,,inventories,baking-ingredients,classic-baking-ingredients
