title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
A. Vogel Salvia Sage Lozenges,/en/food/sweets-snacks/chocolate-confectionery/sweets/herbal-cough-sweets/a-vogel-salvia-sage-lozenges/p/6765760,75g,0.0,3.35,,,sweets-snacks,chocolate-confectionery,sweets
A.Vogel Santasapina Bonbons,/en/food/sweets-snacks/chocolate-confectionery/sweets/herbal-cough-sweets/avogel-santasapina-bonbons/p/3000443,100g,5.0,3.4,,,sweets-snacks,chocolate-confectionery,sweets
Balisto Chocolate Coated Cereal Bars 8 Pieces,/en/food/sweets-snacks/chocolate-confectionery/chocolate-sticks-snacks/chocolate-bars/balisto-chocolate-coated-cereal-bars-8-pieces/p/4742695,148g,4.5,2.7,,3 for 2,sweets-snacks,chocolate-confectionery,chocolate-sticks-snacks
Balisto Yoberry-Mix Cereal Bars 8 Pieces,/en/food/sweets-snacks/chocolate-confectionery/chocolate-sticks-snacks/chocolate-bars/balisto-yoberry-mix-cereal-bars-8-pieces/p/4742698,148g,5.0,2.7,,3 for 2,sweets-snacks,chocolate-confectionery,chocolate-sticks-snacks
Bazooka Juicy Drop Blasts Gummies,/en/food/sweets-snacks/chocolate-confectionery/sweets/gummies/bazooka-juicy-drop-blasts-gummies/p/6622512,120g,0.0,2.5,,,sweets-snacks,chocolate-confectionery,sweets
Bites Ragusa For Friends Classique,/en/food/sweets-snacks/chocolate-confectionery/chocolate-sticks-snacks/chocolate-snacks/bites-ragusa-for-friends-classique/p/5617059,132g,5.0,5.8,,,sweets-snacks,chocolate-confectionery,chocolate-sticks-snacks
Bounty Milk Snack 6x30g,/en/food/sweets-snacks/chocolate-confectionery/chocolate-sticks-snacks/bounty-milk-snack-6x30g/p/6875474,180g,0.0,3.95,,,sweets-snacks,chocolate-confectionery,chocolate-sticks-snacks
Bubblicious Chewing Gum Kids Bubble no added sugar 30-pack,/en/food/sweets-snacks/chocolate-confectionery/chewing-gum/bubblicious-chewing-gum-kids-bubble-no-added-sugar-30-pack/p/3453131,135g,4.5,3.95,,,sweets-snacks,chocolate-confectionery,chewing-gum
Cailler Airy Milk Chocolate Bar,/en/food/sweets-snacks/chocolate-confectionery/chocolate-bars/milk/cailler-airy-milk-chocolate-bar/p/3532745,100g,5.0,2.3,,,sweets-snacks,chocolate-confectionery,chocolate-bars
CAILLER Ambassador Pralines,/en/food/sweets-snacks/chocolate-confectionery/chocolate-pralines/classic-pralines/cailler-ambassador-pralines/p/4821337,490g,0.0,26.95,,,sweets-snacks,chocolate-confectionery,chocolate-pralines
Cailler Assorted Dark Fémina Pralines,/en/food/sweets-snacks/chocolate-confectionery/chocolate-pralines/classic-pralines/cailler-assorted-dark-femina-pralines/p/5821631,250g,4.5,17.95,,,sweets-snacks,chocolate-confectionery,chocolate-pralines
Cailler Blond Almond Chocolate Bar,/en/food/sweets-snacks/chocolate-confectionery/chocolate-bars/white/cailler-blond-almond-chocolate-bar/p/6088409,100g,5.0,2.6,,,sweets-snacks,chocolate-confectionery,chocolate-bars
Cailler Cailler Riegel Milch 4x35g,/en/food/sweets-snacks/chocolate-confectionery/chocolate-sticks-snacks/chocolate-bars/cailler-cailler-riegel-milch-4x35g/p/6814273,140g,5.0,3.95,,,sweets-snacks,chocolate-confectionery,chocolate-sticks-snacks
Cailler Chocmel,/en/food/sweets-snacks/chocolate-confectionery/chocolate-bars/milk-with-ingredients/cailler-chocmel/p/3532748,100g,5.0,2.3,,,sweets-snacks,chocolate-confectionery,chocolate-bars
