title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3
Baby Salat 3 Pieces,/en/food/fruit-vegetables/salads/leaf-lettuce/baby-salat-3-pieces/p/6627114,1PCE,4.0,4.5,,,fruit-vegetables,salads,leaf-lettuce
Betty Bossi Arugula,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-arugula/p/3895954,100g,4.5,2.95,,,fruit-vegetables,salads,cut-salads
Betty Bossi Butterhead Lettuce with Hearts,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-butterhead-lettuce-with-hearts/p/5756809,300g,0.0,4.95,6.5,23%,fruit-vegetables,salads,cut-salads
Betty Bossi Caesar Salad,/en/food/ready-made-meals/fresh-ready-made-meals/ready-to-eat-salads/betty-bossi-caesar-salad/p/3391348,230g,4.5,5.95,,,ready-made-meals,fresh-ready-made-meals,ready-to-eat-salads
Betty Bossi chicken curry salad,/en/food/ready-made-meals/fresh-ready-made-meals/ready-to-eat-salads/betty-bossi-chicken-curry-salad/p/6638722,335g,5.0,4.95,,,ready-made-meals,fresh-ready-made-meals,ready-to-eat-salads
Betty Bossi Cindarella Salad,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-cindarella-salad/p/6303848,250g,5.0,3.2,,,fruit-vegetables,salads,cut-salads
Betty Bossi classic macaroni salad,/en/food/ready-made-meals/fresh-ready-made-meals/ready-to-eat-salads/betty-bossi-classic-macaroni-salad/p/6638719,325g,3.5,3.8,,,ready-made-meals,fresh-ready-made-meals,ready-to-eat-salads
Betty Bossi Coleslaw Salad,/en/food/ready-made-meals/fresh-ready-made-meals/ready-to-eat-salads/betty-bossi-coleslaw-salad/p/6638724,310g,0.0,3.95,,,ready-made-meals,fresh-ready-made-meals,ready-to-eat-salads
Betty Bossi Coleslaw Tricolore,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-coleslaw-tricolore/p/6719196,250g,0.0,2.6,,,fruit-vegetables,salads,cut-salads
Betty Bossi Country Salad Shaker with French Salad Dressing,/en/food/ready-made-meals/fresh-ready-made-meals/ready-to-eat-salads/betty-bossi-country-salad-shaker-with-french-salad-dressing/p/4448895,125g,4.0,2.95,,,ready-made-meals,fresh-ready-made-meals,ready-to-eat-salads
Betty Bossi Delicate/Crispy Salad,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-delicatecrispy-salad/p/4936950,200g,4.5,4.2,,,fruit-vegetables,salads,cut-salads
Betty Bossi Elsa Salat,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-elsa-salat/p/6499458,300g,0.0,3.95,,,fruit-vegetables,salads,cut-salads
Betty Bossi Heart Head Lettuce,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-heart-head-lettuce/p/5756806,180g,4.5,3.95,,,fruit-vegetables,salads,cut-salads
Betty Bossi insalata tricolore,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-insalata-tricolore/p/6984842,215g,0.0,3.95,,,fruit-vegetables,salads,cut-salads
Betty Bossi Kopfsalat,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-kopfsalat/p/6736192,100g,0.0,3.2,,,fruit-vegetables,salads,cut-salads
Betty Bossi MH Fruchtsalat,/en/food/ready-made-meals/fresh-ready-made-meals/ready-to-eat-salads/betty-bossi-mh-fruchtsalat/p/4624213,500g,0.0,6.4,,,ready-made-meals,fresh-ready-made-meals,ready-to-eat-salads
Betty Bossi Mini Red Lettuce Leaves,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-mini-red-lettuce-leaves/p/4655212,150g,5.0,2.95,,,fruit-vegetables,salads,cut-salads
Betty Bossi Mixed Salad,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-mixed-salad/p/3388940,450g,4.0,4.2,,,fruit-vegetables,salads,cut-salads
Betty Bossi Naturaplan Organic Cooked Beet Salad,/en/food/fruit-vegetables/root-vegetables/beetroots/betty-bossi-naturaplan-organic-cooked-beet-salad/p/3388907,500g,4.5,2.4,,,fruit-vegetables,root-vegetables,beetroots
Betty Bossi Naturaplan Organic fresh leaf salad,/en/food/ready-made-meals/fresh-ready-made-meals/ready-to-eat-salads/betty-bossi-naturaplan-organic-fresh-leaf-salad/p/4032298,200g,3.5,4.95,,,ready-made-meals,fresh-ready-made-meals,ready-to-eat-salads
Betty Bossi Naturaplan Organic Garden Salad,/en/food/fruit-vegetables/salads/cut-salads/betty-bossi-naturaplan-organic-garden-salad/p/3432776,200g,5.0,3.7,,,fruit-vegetables,salads,cut-salads
