title,href,quantity,rating,price,oldPrice,savingText,category_1,category_2,category_3,price per 100
Abate Fetel pears ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/abate-fetel-pears-ca/p/6572356,1000 g,5.0,3.6,,,fruit-vegetables,fruit,apples-pears,0.36
Äpfel Envy I ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/aepfel-envy-i-ca/p/5764053,1000 g,5.0,4.95,,,fruit-vegetables,fruit,apples-pears,0.5
Äpfel Gala,/en/food/fruit-vegetables/fruit/apples-pears/aepfel-gala/p/6610713,750g,5.0,2.5,,,fruit-vegetables,fruit,apples-pears,0.33
Apricot ca. 500g,/en/food/fruit-vegetables/fruit/more-garden-fruit/apricot-ca/p/3090131,500g,2.5,3.0,,,fruit-vegetables,fruit,more-garden-fruit,0.6
Betty Bossi Cubed Watermelon,/en/food/fruit-vegetables/fruit/kiwi-melons/betty-bossi-cubed-watermelon/p/6720316,250g,0.0,3.95,,,fruit-vegetables,fruit,kiwi-melons,1.58
Betty Bossi Fairtrade Golden Sweet Diced Pineapple,/en/food/fruit-vegetables/fruit/pineapple-mangoes/betty-bossi-fairtrade-golden-sweet-diced-pineapple/p/3700909,330g,4.5,5.8,,,fruit-vegetables,fruit,pineapple-mangoes,1.76
Betty Bossi Strawberry Blueberry Mix,/en/food/fruit-vegetables/fruit/grapes-berries/berries/betty-bossi-strawberry-blueberry-mix/p/4705414,120g,0.0,3.95,,,fruit-vegetables,fruit,grapes-berries,3.29
Bio Himbeeren 400g,/en/food/fruit-vegetables/fruit/grapes-berries/berries/bio-himbeeren-400g/p/7032071,400g,0.0,7.9,,,fruit-vegetables,fruit,grapes-berries,1.98
Birnen Conference ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/birnen-conference-ca/p/6575845,1000 g,4.0,2.95,,,fruit-vegetables,fruit,apples-pears,0.3
Blond Oranges,/en/food/fruit-vegetables/fruit/citrus-fruit/blond-oranges/p/3090304,2000 g,4.5,3.1,,,fruit-vegetables,fruit,citrus-fruit,0.15
Blond Oranges ca. 1kg,/en/food/fruit-vegetables/fruit/citrus-fruit/blond-oranges-ca/p/6521519,1000 g,3.5,2.2,,,fruit-vegetables,fruit,citrus-fruit,0.22
Blueberries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/blueberries/p/3090122,500g,4.5,3.95,5.9,33%,fruit-vegetables,fruit,grapes-berries,0.79
Blueberries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/blueberries/p/3727419,250g,4.0,2.95,,,fruit-vegetables,fruit,grapes-berries,1.18
Boskoop Apples class I approx. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/boskoop-apples-class-i-approx/p/3090415,1000 g,4.5,3.6,,,fruit-vegetables,fruit,apples-pears,0.36
Braeburn Apples 4-6 Pieces ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/braeburn-apples-4-6-pieces-ca/p/3542108,1000 g,4.5,3.3,,,fruit-vegetables,fruit,apples-pears,0.33
Charentais melon 1 Piece,/en/food/fruit-vegetables/fruit/kiwi-melons/charentais-melon-1-piece/p/3090782,1PCE,4.0,4.2,,,fruit-vegetables,fruit,kiwi-melons,4.2
Cherries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/cherries/p/3440433,500g,3.0,6.5,,,fruit-vegetables,fruit,grapes-berries,1.3
Cherries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/cherries/p/4864895,750g,4.5,11.9,,,fruit-vegetables,fruit,grapes-berries,1.59
Crimson Snow I Apples ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/crimson-snow-i-apples-ca/p/6001867,1000 g,4.5,3.95,,,fruit-vegetables,fruit,apples-pears,0.4
Fairtrade Bananas ca. 1kg,/en/food/fruit-vegetables/fruit/bananas/fairtrade-bananas-ca/p/6495789,1000 g,4.5,2.4,,,fruit-vegetables,fruit,bananas,0.24
Fairtrade Coconut 1 Piece,/en/food/fruit-vegetables/fruit/more-exotic-fruit/fairtrade-coconut-1-piece/p/4069878,1PCE,3.0,1.95,,,fruit-vegetables,fruit,more-exotic-fruit,1.95
Fairtrade Dates,/en/food/sweets-snacks/crisps-snacks/dried-fruit-nuts/dried-fruit/fairtrade-dates/p/5798453,300g,4.5,3.95,,,sweets-snacks,crisps-snacks,dried-fruit-nuts,1.32
Fairtrade limes 1 Piece,/en/food/fruit-vegetables/fruit/citrus-fruit/fairtrade-limes-1-piece/p/6860383,1PCE,5.0,0.55,,,fruit-vegetables,fruit,citrus-fruit,0.55
Fairtrade Passion Fruit ca. 200g,/en/food/fruit-vegetables/fruit/more-exotic-fruit/fairtrade-passion-fruit-ca/p/4343881,200g,4.5,3.0,,,fruit-vegetables,fruit,more-exotic-fruit,1.5
Fairtrade Physalis,/en/food/fruit-vegetables/fruit/more-exotic-fruit/fairtrade-physalis/p/4070340,100g,5.0,1.95,,,fruit-vegetables,fruit,more-exotic-fruit,1.95
Fairtrade Pineapple 1 Piece,/en/food/fruit-vegetables/fruit/pineapple-mangoes/fairtrade-pineapple-1-piece/p/3395610,1300 g,4.5,1.15,2.3,50%,fruit-vegetables,fruit,pineapple-mangoes,0.09
Fairtrade Pomegranate 1 Piece,/en/food/fruit-vegetables/fruit/more-exotic-fruit/fairtrade-pomegranate-1-piece/p/4665465,1PCE,4.0,1.9,,,fruit-vegetables,fruit,more-exotic-fruit,1.9
Fairtrade White Grapes,/en/food/fruit-vegetables/fruit/grapes-berries/grapes/fairtrade-white-grapes/p/5737354,500g,4.0,2.6,,,fruit-vegetables,fruit,grapes-berries,0.52
Faitrade Primagusto Mango 1 Piece,/en/food/fruit-vegetables/fruit/pineapple-mangoes/faitrade-primagusto-mango-1-piece/p/5930088,1PCE,4.5,5.6,,,fruit-vegetables,fruit,pineapple-mangoes,5.6
Flat Peaches 5-6 Pieces ca. 1kg,/en/food/fruit-vegetables/fruit/more-garden-fruit/flat-peaches-5-6-pieces-ca/p/3752518,1000 g,4.5,5.7,,,fruit-vegetables,fruit,more-garden-fruit,0.57
Forelle Pears 7-8 Pieces ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/forelle-pears-7-8-pieces-ca/p/3091141,1000 g,4.5,3.6,,,fruit-vegetables,fruit,apples-pears,0.36
Golden Apples 4-6 pieces ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/golden-apples-4-6-pieces-ca/p/3485435,1000 g,4.5,3.2,,,fruit-vegetables,fruit,apples-pears,0.32
Grapefruit rot ca. 1kg,/en/food/fruit-vegetables/fruit/citrus-fruit/grapefruit-rot-ca/p/6451618,1000 g,4.0,2.95,,,fruit-vegetables,fruit,citrus-fruit,0.3
Honeydew Melon 1 Piece,/en/food/fruit-vegetables/fruit/kiwi-melons/honeydew-melon-1-piece/p/3090786,1PCE,4.0,5.5,,,fruit-vegetables,fruit,kiwi-melons,5.5
JaMaDu Kids Apples 8 Pieces,/en/food/fruit-vegetables/fruit/apples-pears/jamadu-kids-apples-8-pieces/p/4170636,1000g,4.5,3.5,,,fruit-vegetables,fruit,apples-pears,0.35
JaMaDu Naturaplan Organic Kids Apples ca. 650g,/en/food/fruit-vegetables/fruit/apples-pears/jamadu-naturaplan-organic-kids-apples-ca/p/3627204,650g,3.5,3.75,,,fruit-vegetables,fruit,apples-pears,0.58
JaMaDu Organic Bananas Fairtrade,/en/food/fruit-vegetables/fruit/bananas/jamadu-organic-bananas-fairtrade/p/6754884,500g,4.5,1.95,,,fruit-vegetables,fruit,bananas,0.39
Kaiser pears approx. 700g,/en/food/fruit-vegetables/fruit/apples-pears/kaiser-pears-approx/p/6671942,700g,4.5,2.3,,,fruit-vegetables,fruit,apples-pears,0.33
Kaki persimmons ca. 1kg,/en/food/fruit-vegetables/fruit/more-exotic-fruit/kaki-persimmons-ca/p/6791984,1000 g,0.0,6.95,,,fruit-vegetables,fruit,more-exotic-fruit,0.7
Kiwi 1 Piece 1PCE,/en/food/fruit-vegetables/fruit/kiwi-melons/kiwi-1-piece/p/3091086,1PCE,4.0,0.8,,,fruit-vegetables,fruit,kiwi-melons,0.8
Lemon 1 Piece,/en/food/fruit-vegetables/fruit/citrus-fruit/lemon-1-piece/p/6521369,1PCE,3.5,0.5,,,fruit-vegetables,fruit,citrus-fruit,0.5
Max Havelaar Mango,/en/food/fruit-vegetables/fruit/pineapple-mangoes/max-havelaar-mango/p/6863273,1PCE,5.0,1.8,,,fruit-vegetables,fruit,pineapple-mangoes,1.8
Mini Watermelon,/en/food/fruit-vegetables/fruit/kiwi-melons/mini-watermelon/p/3355988,1PCE,4.0,4.8,,,fruit-vegetables,fruit,kiwi-melons,4.8
Muskmelon 1 Piece,/en/food/fruit-vegetables/fruit/kiwi-melons/muskmelon-1-piece/p/6445835,1PCE,0.0,4.2,,,fruit-vegetables,fruit,kiwi-melons,4.2
Naturaplan Organic Apples ca. 750g,/en/food/fruit-vegetables/fruit/apples-pears/naturaplan-organic-apples-ca/p/3425369,750g,4.5,4.7,,,fruit-vegetables,fruit,apples-pears,0.63
Naturaplan organic apples green variety 750g,/en/food/fruit-vegetables/fruit/apples-pears/naturaplan-organic-apples-green-variety/p/3425370,750g,3.5,4.7,,,fruit-vegetables,fruit,apples-pears,0.63
Naturaplan Organic Apricots,/en/food/fruit-vegetables/fruit/more-garden-fruit/naturaplan-organic-apricots/p/3659016,500g,2.5,4.5,,,fruit-vegetables,fruit,more-garden-fruit,0.9
Naturaplan Organic Blackberries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/naturaplan-organic-blackberries/p/3411687,170g,4.0,3.95,,,fruit-vegetables,fruit,grapes-berries,2.32
Naturaplan Organic Blond Oranges 4 Pieces 1kg,/en/food/fruit-vegetables/fruit/citrus-fruit/naturaplan-organic-blond-oranges-4-pieces/p/3371561,1000 g,4.0,2.65,,,fruit-vegetables,fruit,citrus-fruit,0.27
Naturaplan Organic Blueberries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/naturaplan-organic-blueberries/p/4466725,200g,4.5,3.95,,,fruit-vegetables,fruit,grapes-berries,1.98
Naturaplan organic Charentais melon 1 Piece,/en/food/fruit-vegetables/fruit/kiwi-melons/naturaplan-organic-charentais-melon-1-piece/p/3091433,1PCE,3.5,5.95,,,fruit-vegetables,fruit,kiwi-melons,5.95
Naturaplan Organic Cherries,/en/food/fruit-vegetables/fruit/grapes-berries/berries/naturaplan-organic-cherries/p/3090380,500g,4.0,8.95,,,fruit-vegetables,fruit,grapes-berries,1.79
Naturaplan Organic Fairtrade Bananas env. 1kg,/en/food/fruit-vegetables/fruit/bananas/naturaplan-organic-fairtrade-bananas-env/p/6495669,1000 g,4.5,2.95,,,fruit-vegetables,fruit,bananas,0.3
Naturaplan Organic Fairtrade Pineapple 1 Piece,/en/food/fruit-vegetables/fruit/pineapple-mangoes/naturaplan-organic-fairtrade-pineapple-1-piece/p/6323145,1PCE,3.5,3.95,,,fruit-vegetables,fruit,pineapple-mangoes,3.95
Naturaplan organic Figs,/en/food/fruit-vegetables/fruit/more-garden-fruit/naturaplan-organic-figs/p/6660162,400g,0.0,6.95,,20% on 2 or more,fruit-vegetables,fruit,more-garden-fruit,1.74
Naturaplan Organic Flat Peaches,/en/food/fruit-vegetables/fruit/more-garden-fruit/naturaplan-organic-flat-peaches/p/3643968,500g,2.5,4.5,,,fruit-vegetables,fruit,more-garden-fruit,0.9
Naturaplan Organic Gala Apples 4-6 Pieces ca. 1kg,/en/food/fruit-vegetables/fruit/apples-pears/naturaplan-organic-gala-apples-4-6-pieces-ca/p/3090520,1000 g,4.5,6.3,,,fruit-vegetables,fruit,apples-pears,0.63
Naturaplan Organic Gala Apples ca. 750g,/en/food/fruit-vegetables/fruit/apples-pears/naturaplan-organic-gala-apples-ca/p/3090545,750g,4.5,4.7,,,fruit-vegetables,fruit,apples-pears,0.63
Naturaplan Organic Kiwi,/en/food/fruit-vegetables/fruit/kiwi-melons/naturaplan-organic-kiwi/p/4111054,500g,4.5,3.6,,,fruit-vegetables,fruit,kiwi-melons,0.72
Naturaplan Organic Lemon 1 Piece,/en/food/fruit-vegetables/fruit/citrus-fruit/naturaplan-organic-lemon-1-piece/p/6308926,1PCE,4.0,0.6,,,fruit-vegetables,fruit,citrus-fruit,0.6
Naturaplan Organic Lemons ca. 750g,/en/food/fruit-vegetables/fruit/citrus-fruit/naturaplan-organic-lemons-ca/p/5906308,750g,4.0,3.95,,,fruit-vegetables,fruit,citrus-fruit,0.53
Naturaplan organic Limes 1 piece,/en/food/fruit-vegetables/fruit/citrus-fruit/naturaplan-organic-limes-1-piece/p/6869582,,0.0,0.8,,,fruit-vegetables,fruit,citrus-fruit,
